Datas,Geom-yeog
08/13/2020,3
08/14/2020,7
08/15/2020,2
08/16/2020,0
08/17/2020,2
08/18/2020,6
08/19/2020,2
08/20/2020,2
08/21/2020,3
08/22/2020,4
08/23/2020,4
08/24/2020,4
08/25/2020,3
08/26/2020,3
08/27/2020,3
08/28/2020,8
08/29/2020,5
08/30/2020,7
08/31/2020,3
09/01/2020,4
09/02/2020,3
09/03/2020,3
09/04/2020,4
09/05/2020,4
09/06/2020,4
09/07/2020,4
09/08/2020,4
09/09/2020,4
09/10/2020,4
09/11/2020,9
09/12/2020,10
09/13/2020,7
09/14/2020,5
09/15/2020,5
09/16/2020,2
09/17/2020,2
09/18/2020,2
09/19/2020,1
09/20/2020,6
09/21/2020,10
09/22/2020,2
09/23/2020,6
09/24/2020,5
09/25/2020,6
09/26/2020,9
09/27/2020,11
09/28/2020,7
09/29/2020,9
09/30/2020,5
10/01/2020,6
10/02/2020,6
10/03/2020,14
10/04/2020,9
10/05/2020,2
10/06/2020,5
10/07/2020,7
10/08/2020,3
10/09/2020,6
10/10/2020,5
10/11/2020,3
10/12/2020,9
10/13/2020,10
10/14/2020,14
10/15/2020,6
10/16/2020,3
10/17/2020,5
10/18/2020,13
10/19/2020,12
10/20/2020,3
10/21/2020,20
10/22/2020,9
10/23/2020,8
10/24/2020,6
10/25/2020,9
10/26/2020,17
10/27/2020,5
10/28/2020,2
10/29/2020,9
10/30/2020,4
10/31/2020,25
11/01/2020,14
11/02/2020,7
11/03/2020,12
11/04/2020,10
11/05/2020,6
11/06/2020,11
11/07/2020,8
11/08/2020,14
11/09/2020,11
11/10/2020,8
11/11/2020,7
11/12/2020,9
11/13/2020,14
11/14/2020,21
11/15/2020,18
11/16/2020,23
11/17/2020,8
11/18/2020,22
11/19/2020,21
11/20/2020,8
11/21/2020,9
11/22/2020,20
11/23/2020,5
11/24/2020,10
11/25/2020,7
11/26/2020,12
11/27/2020,17
11/28/2020,3
11/29/2020,17
11/30/2020,10
12/01/2020,14
12/02/2020,6
12/03/2020,13
12/04/2020,17
12/05/2020,6
12/06/2020,12
12/07/2020,10
12/08/2020,7
12/09/2020,9
12/10/2020,16
12/11/2020,7
12/12/2020,12
12/13/2020,14
12/14/2020,17
12/15/2020,8
12/16/2020,6
12/17/2020,7
12/18/2020,9
12/19/2020,4
12/20/2020,9
12/21/2020,9
12/22/2020,18
12/23/2020,9
12/24/2020,11
12/25/2020,6
12/26/2020,10
12/27/2020,10
12/28/2020,8
12/29/2020,5
12/30/2020,11
12/31/2020,13
01/01/2021,4
01/02/2021,14
01/03/2021,8
01/04/2021,11
01/05/2021,15
01/06/2021,6
01/07/2021,14
01/08/2021,6
01/09/2021,10
01/10/2021,14
01/11/2021,11
01/12/2021,8
01/13/2021,3
01/14/2021,11
01/15/2021,5
01/16/2021,8
01/17/2021,8
01/18/2021,10
01/19/2021,8
01/20/2021,1
01/21/2021,5
01/22/2021,9
01/23/2021,12
01/24/2021,9
01/25/2021,11
01/26/2021,6
01/27/2021,12
01/28/2021,7
01/29/2021,9
01/30/2021,15
01/31/2021,15
02/01/2021,6
02/02/2021,12
02/03/2021,17
02/04/2021,6
02/05/2021,7
02/06/2021,11
02/07/2021,27
02/08/2021,8
02/09/2021,11
02/10/2021,6
02/11/2021,15
02/12/2021,6
02/13/2021,5
02/14/2021,7
02/15/2021,6
02/16/2021,8
02/17/2021,6
02/18/2021,12
02/19/2021,10
02/20/2021,7
02/21/2021,8
02/22/2021,4
02/23/2021,5
02/24/2021,4
02/25/2021,10
02/26/2021,8
02/27/2021,3
02/28/2021,9
03/01/2021,5
03/02/2021,9
03/03/2021,2
03/04/2021,6
03/05/2021,4
03/06/2021,6
03/07/2021,5
03/08/2021,5
03/09/2021,4
03/10/2021,5
03/11/2021,10
03/12/2021,6
03/13/2021,6
03/14/2021,6
03/15/2021,7
03/16/2021,7
03/17/2021,9
03/18/2021,9
03/19/2021,7
03/20/2021,4
03/21/2021,9
03/22/2021,7
03/23/2021,8
03/24/2021,8
03/25/2021,5
03/26/2021,3
03/27/2021,3
03/28/2021,9
03/29/2021,4
03/30/2021,3
03/31/2021,7
04/01/2021,2
04/02/2021,11
04/03/2021,9
04/04/2021,10
04/05/2021,10
04/06/2021,5
04/07/2021,4
04/08/2021,7
04/09/2021,7
04/10/2021,4
04/11/2021,8
04/12/2021,8
04/13/2021,5
04/14/2021,12
04/15/2021,15
04/16/2021,11
04/17/2021,7
04/18/2021,9
04/19/2021,8
04/20/2021,10
04/21/2021,13
04/22/2021,5
04/23/2021,23
04/24/2021,11
04/25/2021,30
04/26/2021,20
04/27/2021,23
04/28/2021,7
04/29/2021,11
04/30/2021,5
05/01/2021,15
05/02/2021,6
05/03/2021,11
05/04/2021,7
05/05/2021,12
05/06/2021,8
05/07/2021,4
05/08/2021,17
05/09/2021,31
05/10/2021,13
05/11/2021,12
05/12/2021,13
05/13/2021,14
05/14/2021,9
05/15/2021,9
05/16/2021,20
05/17/2021,9
05/18/2021,12
05/19/2021,7
05/20/2021,16
05/21/2021,10
05/22/2021,21
05/23/2021,10
05/24/2021,11
05/25/2021,22
05/26/2021,13
05/27/2021,3
05/28/2021,11
05/29/2021,16
05/30/2021,7
05/31/2021,7
06/01/2021,4
06/02/2021,9
06/03/2021,3
06/04/2021,8
06/05/2021,5
06/06/2021,5
06/07/2021,10
06/08/2021,8
06/09/2021,5
06/10/2021,8
06/11/2021,4
06/12/2021,9
06/13/2021,17
06/14/2021,16
06/15/2021,9
06/16/2021,8
06/17/2021,8
06/18/2021,10
06/19/2021,12
06/20/2021,19
06/21/2021,12
06/22/2021,29
06/23/2021,13
06/24/2021,19
06/25/2021,13
06/26/2021,31
06/27/2021,34
06/28/2021,11
06/29/2021,16
06/30/2021,17
07/01/2021,31
07/02/2021,33
07/03/2021,23
07/04/2021,50
07/05/2021,25
07/06/2021,30
07/07/2021,20
07/08/2021,25
07/09/2021,39
07/10/2021,21
07/11/2021,12
07/12/2021,20
07/13/2021,29
07/14/2021,19
07/15/2021,28
07/16/2021,34
07/17/2021,24
07/18/2021,16
07/19/2021,14
07/20/2021,7
07/21/2021,21
07/22/2021,290
07/23/2021,20
07/24/2021,19
07/25/2021,31
07/26/2021,21
07/27/2021,45
07/28/2021,34
07/29/2021,18
07/30/2021,17
07/31/2021,25
08/01/2021,19
08/02/2021,25
08/03/2021,11
08/04/2021,30
08/05/2021,33
08/06/2021,28
08/07/2021,25
08/08/2021,16
08/09/2021,13
08/10/2021,13
08/11/2021,27
08/12/2021,16
08/13/2021,19
08/14/2021,24
08/15/2021,24
08/16/2021,31
08/17/2021,14
08/18/2021,14
08/19/2021,13
08/20/2021,13
08/21/2021,20
08/22/2021,9
08/23/2021,20
08/24/2021,12
08/25/2021,12
08/26/2021,23
08/27/2021,10
08/28/2021,11
08/29/2021,12
08/30/2021,29
08/31/2021,13
09/01/2021,5
09/02/2021,5
09/03/2021,11
09/04/2021,6
09/05/2021,9
09/06/2021,6
09/07/2021,9
09/08/2021,9
09/09/2021,11
09/10/2021,8
09/11/2021,19
09/12/2021,8
09/13/2021,10
09/14/2021,6
09/15/2021,5
09/16/2021,7
09/17/2021,16
09/18/2021,11
09/19/2021,7
09/20/2021,7
09/21/2021,14
09/22/2021,6
09/23/2021,3
09/24/2021,7
09/25/2021,8
09/26/2021,9
09/27/2021,12
09/28/2021,3
09/29/2021,9
09/30/2021,9
10/01/2021,7
10/02/2021,7
10/03/2021,6
10/04/2021,9
10/05/2021,8
10/06/2021,11
10/07/2021,13
10/08/2021,14
10/09/2021,6
10/10/2021,11
10/11/2021,6
10/12/2021,3
10/13/2021,5
10/14/2021,1
10/15/2021,3
10/16/2021,7
10/17/2021,8
10/18/2021,0
10/19/2021,5
10/20/2021,0
10/21/2021,2
10/22/2021,2
10/23/2021,4
10/24/2021,7
10/25/2021,8
10/26/2021,8
10/27/2021,6
10/28/2021,8
10/29/2021,8
10/30/2021,4
10/31/2021,4
11/01/2021,5
11/02/2021,1
11/03/2021,8
11/04/2021,11
11/05/2021,5
11/06/2021,8
11/07/2021,2
11/08/2021,4
11/09/2021,5
11/10/2021,3
11/11/2021,13
11/12/2021,4
11/13/2021,4
11/14/2021,3
11/15/2021,5
11/16/2021,1
11/17/2021,5
11/18/2021,7
11/19/2021,12
11/20/2021,6
11/21/2021,5
11/22/2021,7
11/23/2021,1
11/24/2021,7
11/25/2021,5
11/26/2021,4
11/27/2021,5
11/28/2021,10
11/29/2021,3
11/30/2021,8
12/01/2021,20
12/02/2021,4
12/03/2021,11
12/04/2021,4
12/05/2021,6
12/06/2021,6
12/07/2021,5
12/08/2021,7
12/09/2021,5
12/10/2021,8
12/11/2021,2
12/12/2021,7
12/13/2021,7
12/14/2021,15
12/15/2021,4
12/16/2021,3
12/17/2021,8
12/18/2021,8
12/19/2021,6
12/20/2021,13
12/21/2021,10
12/22/2021,5
12/23/2021,6
12/24/2021,8
12/25/2021,13
12/26/2021,5
12/27/2021,14
12/28/2021,10
12/29/2021,26
12/30/2021,33
12/31/2021,26
01/01/2022,24
01/02/2022,31
01/03/2022,42
01/04/2022,24
01/05/2022,48
01/06/2022,67
01/07/2022,38
01/08/2022,52
01/09/2022,53
01/10/2022,71
01/11/2022,70
01/12/2022,133
01/13/2022,92
01/14/2022,143
01/15/2022,94
01/16/2022,86
01/17/2022,58
01/18/2022,77
01/19/2022,64
01/20/2022,42
01/21/2022,36
01/22/2022,85
01/23/2022,60
01/24/2022,79
01/25/2022,31
01/26/2022,54
01/27/2022,56
01/28/2022,49
01/29/2022,46
01/30/2022,42
01/31/2022,50
02/01/2022,69
02/02/2022,31
02/03/2022,29
02/04/2022,51
02/05/2022,53
02/06/2022,51
02/07/2022,56
02/08/2022,41
02/09/2022,42
02/10/2022,23
02/11/2022,36
02/12/2022,55
02/13/2022,30
02/14/2022,40
02/15/2022,56
02/16/2022,38
02/17/2022,38
02/18/2022,39
02/19/2022,47
02/20/2022,20
02/21/2022,36
02/22/2022,29
02/23/2022,46
02/24/2022,53
02/25/2022,30
02/26/2022,19
02/27/2022,28
02/28/2022,39
03/01/2022,28
03/02/2022,28
03/03/2022,23
03/04/2022,35
03/05/2022,38
03/06/2022,30
03/07/2022,43
03/08/2022,31
03/09/2022,22
03/10/2022,28
03/11/2022,46
03/12/2022,39
03/13/2022,16
03/14/2022,36
03/15/2022,28
03/16/2022,60
03/17/2022,23
03/18/2022,22
03/19/2022,46
03/20/2022,15
03/21/2022,22
03/22/2022,33
03/23/2022,27
03/24/2022,38
03/25/2022,13
03/26/2022,36
03/27/2022,16
03/28/2022,15
03/29/2022,20
03/30/2022,20
03/31/2022,10
04/01/2022,33
04/02/2022,41
04/03/2022,8
04/04/2022,6
04/05/2022,10
04/06/2022,5
04/07/2022,10
04/08/2022,8
04/09/2022,19
04/10/2022,11
04/11/2022,7
04/12/2022,14
04/13/2022,17
04/14/2022,18
04/15/2022,4
04/16/2022,8
04/17/2022,10
04/18/2022,6
04/19/2022,6
04/20/2022,2
04/21/2022,23
04/22/2022,4
04/23/2022,12
04/24/2022,6
04/25/2022,10
04/26/2022,8
04/27/2022,10
04/28/2022,15
04/29/2022,4
04/30/2022,4
05/01/2022,5
05/02/2022,6
05/03/2022,11
05/04/2022,6
05/05/2022,10
05/06/2022,2
05/07/2022,6
05/08/2022,4
05/09/2022,8
05/10/2022,2
05/11/2022,4
05/12/2022,4
05/13/2022,3
05/14/2022,3
05/15/2022,5
05/16/2022,9
05/17/2022,6
05/18/2022,4
05/19/2022,2
05/20/2022,9
05/21/2022,4
05/22/2022,3
05/23/2022,2
05/24/2022,1
05/25/2022,2
05/26/2022,3
05/27/2022,7
05/28/2022,5
05/29/2022,8
05/30/2022,4
05/31/2022,7
06/01/2022,1
06/02/2022,4
06/03/2022,7
06/04/2022,2
06/05/2022,1
06/06/2022,0
06/07/2022,3
06/08/2022,4
06/09/2022,4
06/10/2022,3
06/11/2022,1
06/12/2022,4
06/13/2022,2
06/14/2022,1
06/15/2022,3
06/16/2022,4
06/17/2022,0
06/18/2022,22
06/19/2022,2
06/20/2022,4
06/21/2022,2
06/22/2022,0
06/23/2022,1
06/24/2022,11
06/25/2022,7
06/26/2022,11
06/27/2022,16
06/28/2022,7
06/29/2022,10
06/30/2022,9
07/01/2022,8
07/02/2022,14
07/03/2022,15
07/04/2022,9
07/05/2022,15
07/06/2022,9
07/07/2022,6
07/08/2022,17
07/09/2022,13
07/10/2022,13
07/11/2022,22
07/12/2022,16
07/13/2022,16
07/14/2022,15
07/15/2022,26
07/16/2022,20
07/17/2022,35
07/18/2022,32
07/19/2022,28
07/20/2022,15
07/21/2022,21
07/22/2022,25
07/23/2022,33
07/24/2022,11
07/25/2022,46
07/26/2022,17
07/27/2022,21
07/28/2022,23
07/29/2022,36
07/30/2022,12
07/31/2022,24
08/01/2022,27
08/02/2022,33
08/03/2022,17
08/04/2022,35
08/05/2022,34
08/06/2022,41
08/07/2022,28
08/08/2022,46
08/09/2022,35
08/10/2022,34
08/11/2022,28
08/12/2022,35
08/13/2022,10
08/14/2022,25
08/15/2022,21
08/16/2022,42
08/17/2022,20
08/18/2022,33
08/19/2022,33
08/20/2022,57
08/21/2022,12
08/22/2022,44
08/23/2022,18
08/24/2022,13
08/25/2022,17
08/26/2022,25
08/27/2022,18
08/28/2022,25
08/29/2022,24
08/30/2022,24
08/31/2022,12
09/01/2022,21
09/02/2022,9
09/03/2022,14
09/04/2022,25
09/05/2022,80
09/06/2022,32
09/07/2022,12
09/08/2022,14
09/09/2022,20
09/10/2022,25
09/11/2022,31
09/12/2022,45
09/13/2022,59
09/14/2022,19
09/15/2022,45
09/16/2022,25
09/17/2022,21
09/18/2022,36
09/19/2022,55
09/20/2022,15
09/21/2022,22
09/22/2022,21
09/23/2022,32
09/24/2022,33
09/25/2022,32
09/26/2022,35
09/27/2022,44
09/28/2022,17
09/29/2022,26
09/30/2022,23
10/01/2022,35
10/02/2022,17
10/03/2022,44
10/04/2022,59
10/05/2022,19
10/06/2022,28
10/07/2022,18
10/08/2022,25
10/09/2022,26
10/10/2022,37
10/11/2022,62
10/12/2022,27
10/13/2022,25
10/14/2022,20
10/15/2022,22
10/16/2022,46
10/17/2022,52
10/18/2022,29
10/19/2022,20
10/20/2022,29
10/21/2022,25
10/22/2022,13
10/23/2022,31
10/24/2022,29
10/25/2022,27
10/26/2022,28
10/27/2022,22
10/28/2022,27
10/29/2022,24
10/30/2022,26
10/31/2022,38
11/01/2022,32
11/02/2022,27
11/03/2022,23
11/04/2022,22
11/05/2022,28
11/06/2022,46
11/07/2022,46
11/08/2022,25
11/09/2022,16
11/10/2022,28
11/11/2022,32
11/12/2022,36
11/13/2022,45
11/14/2022,40
11/15/2022,23
11/16/2022,32
11/17/2022,24
11/18/2022,39
11/19/2022,23
11/20/2022,42
11/21/2022,54
11/22/2022,41
11/23/2022,32
11/24/2022,30
11/25/2022,22
11/26/2022,24
11/27/2022,52
11/28/2022,36
11/29/2022,40
11/30/2022,38
12/01/2022,24
12/02/2022,32
