Datas,Paris
2020/12/29,578.0
2020/12/30,514.0
2020/12/31,483.0
2021/01/01,76.0
2021/01/02,382.0
2021/01/03,176.0
2021/01/04,801.0
2021/01/05,664.0
2021/01/06,549.0
2021/01/07,582.0
2021/01/08,628.0
2021/01/09,444.0
2021/01/10,171.0
2021/01/11,820.0
2021/01/12,632.0
2021/01/13,673.0
2021/01/14,629.0
2021/01/15,616.0
2021/01/16,467.0
2021/01/17,167.0
2021/01/18,820.0
2021/01/19,603.0
2021/01/20,673.0
2021/01/21,680.0
2021/01/22,751.0
2021/01/23,417.0
2021/01/24,156.0
2021/01/25,789.0
2021/01/26,654.0
2021/01/27,732.0
2021/01/28,741.0
2021/01/29,740.0
2021/01/30,498.0
2021/01/31,229.0
2021/02/01,952.0
2021/02/02,759.0
2021/02/03,716.0
2021/02/04,662.0
2021/02/05,785.0
2021/02/06,411.0
2021/02/07,169.0
2021/02/08,954.0
2021/02/09,749.0
2021/02/10,821.0
2021/02/11,654.0
2021/02/12,774.0
2021/02/13,449.0
2021/02/14,206.0
2021/02/15,960.0
2021/02/16,840.0
2021/02/17,917.0
2021/02/18,926.0
2021/02/19,1024.0
2021/02/20,573.0
2021/02/21,234.0
2021/02/22,1239.0
2021/02/23,961.0
2021/02/24,874.0
2021/02/25,943.0
2021/02/26,902.0
2021/02/27,597.0
2021/02/28,231.0
2021/03/01,1233.0
2021/03/02,1012.0
2021/03/03,964.0
2021/03/04,970.0
2021/03/05,978.0
2021/03/06,668.0
2021/03/07,224.0
2021/03/08,1325.0
2021/03/09,1182.0
2021/03/10,1226.0
2021/03/11,1257.0
2021/03/12,1316.0
2021/03/13,869.0
2021/03/14,360.0
2021/03/15,1890.0
2021/03/16,1640.0
2021/03/17,1734.0
2021/03/18,1583.0
2021/03/19,1639.0
2021/03/20,1135.0
2021/03/21,532.0
2021/03/22,2356.0
2021/03/23,1890.0
2021/03/24,1846.0
2021/03/25,1686.0
2021/03/26,1825.0
2021/03/27,1240.0
2021/03/28,423.0
2021/03/29,2448.0
2021/03/30,1981.0
2021/03/31,1870.0
2021/04/01,1877.0
2021/04/02,1886.0
2021/04/03,1202.0
2021/04/04,382.0
2021/04/05,642.0
2021/04/06,2335.0
2021/04/07,1837.0
2021/04/08,1724.0
2021/04/09,1732.0
2021/04/10,1147.0
2021/04/11,419.0
2021/04/12,2068.0
2021/04/13,1559.0
2021/04/14,1528.0
2021/04/15,1459.0
2021/04/16,1560.0
2021/04/17,986.0
2021/04/18,400.0
2021/04/19,1783.0
2021/04/20,1377.0
2021/04/21,1410.0
2021/04/22,1261.0
2021/04/23,1209.0
2021/04/24,819.0
2021/04/25,333.0
2021/04/26,1363.0
2021/04/27,1024.0
2021/04/28,1040.0
2021/04/29,897.0
2021/04/30,969.0
2021/05/01,288.0
2021/05/02,321.0
2021/05/03,1191.0
2021/05/04,932.0
2021/05/05,898.0
2021/05/06,933.0
2021/05/07,845.0
2021/05/08,326.0
2021/05/09,280.0
2021/05/10,1084.0
2021/05/11,809.0
2021/05/12,794.0
2021/05/13,260.0
2021/05/14,689.0
2021/05/15,386.0
2021/05/16,203.0
2021/05/17,805.0
2021/05/18,649.0
2021/05/19,575.0
2021/05/20,557.0
2021/05/21,525.0
2021/05/22,310.0
2021/05/23,122.0
2021/05/24,287.0
2021/05/25,545.0
2021/05/26,468.0
2021/05/27,455.0
2021/05/28,453.0
2021/05/29,252.0
2021/05/30,102.0
2021/05/31,374.0
2021/06/01,302.0
2021/06/02,317.0
2021/06/03,266.0
2021/06/04,249.0
2021/06/05,158.0
2021/06/06,76.0
2021/06/07,299.0
2021/06/08,200.0
2021/06/09,213.0
2021/06/10,157.0
2021/06/11,177.0
2021/06/12,96.0
2021/06/13,43.0
2021/06/14,169.0
2021/06/15,146.0
2021/06/16,144.0
2021/06/17,118.0
2021/06/18,103.0
2021/06/19,64.0
2021/06/20,30.0
2021/06/21,103.0
2021/06/22,89.0
2021/06/23,108.0
2021/06/24,85.0
2021/06/25,101.0
2021/06/26,89.0
2021/06/27,64.0
2021/06/28,180.0
2021/06/29,148.0
2021/06/30,202.0
2021/07/01,182.0
2021/07/02,230.0
2021/07/03,189.0
2021/07/04,129.0
2021/07/05,300.0
2021/07/06,286.0
2021/07/07,355.0
2021/07/08,311.0
2021/07/09,304.0
2021/07/10,240.0
2021/07/11,132.0
2021/07/12,487.0
2021/07/13,437.0
2021/07/14,221.0
2021/07/15,693.0
2021/07/16,581.0
2021/07/17,487.0
2021/07/18,251.0
2021/07/19,913.0
2021/07/20,969.0
2021/07/21,999.0
2021/07/22,814.0
2021/07/23,858.0
2021/07/24,602.0
2021/07/25,304.0
2021/07/26,1017.0
2021/07/27,767.0
2021/07/28,773.0
2021/07/29,699.0
2021/07/30,719.0
2021/07/31,532.0
2021/08/01,248.0
2021/08/02,821.0
2021/08/03,652.0
2021/08/04,701.0
2021/08/05,656.0
2021/08/06,657.0
2021/08/07,466.0
2021/08/08,237.0
2021/08/09,728.0
2021/08/10,639.0
2021/08/11,621.0
2021/08/12,606.0
2021/08/13,547.0
2021/08/14,438.0
2021/08/15,179.0
2021/08/16,677.0
2021/08/17,501.0
2021/08/18,547.0
2021/08/19,478.0
2021/08/20,502.0
2021/08/21,376.0
2021/08/22,212.0
2021/08/23,722.0
2021/08/24,515.0
2021/08/25,516.0
2021/08/26,490.0
2021/08/27,501.0
2021/08/28,330.0
2021/08/29,191.0
2021/08/30,597.0
2021/08/31,466.0
2021/09/01,472.0
2021/09/02,397.0
2021/09/03,390.0
2021/09/04,318.0
2021/09/05,125.0
2021/09/06,394.0
2021/09/07,345.0
2021/09/08,317.0
2021/09/09,309.0
2021/09/10,300.0
2021/09/11,234.0
2021/09/12,104.0
2021/09/13,339.0
2021/09/14,279.0
2021/09/15,268.0
2021/09/16,252.0
2021/09/17,283.0
2021/09/18,215.0
2021/09/19,97.0
2021/09/20,327.0
2021/09/21,270.0
2021/09/22,253.0
2021/09/23,248.0
2021/09/24,257.0
2021/09/25,191.0
2021/09/26,85.0
2021/09/27,281.0
2021/09/28,209.0
2021/09/29,227.0
2021/09/30,273.0
2021/10/01,228.0
2021/10/02,194.0
2021/10/03,126.0
2021/10/04,359.0
2021/10/05,235.0
2021/10/06,228.0
2021/10/07,230.0
2021/10/08,251.0
2021/10/09,212.0
2021/10/10,96.0
2021/10/11,337.0
2021/10/12,277.0
2021/10/13,285.0
2021/10/14,393.0
2021/10/15,251.0
2021/10/16,190.0
2021/10/17,107.0
2021/10/18,315.0
2021/10/19,291.0
2021/10/20,335.0
2021/10/21,318.0
2021/10/22,291.0
2021/10/23,230.0
2021/10/24,97.0
2021/10/25,358.0
2021/10/26,304.0
2021/10/27,292.0
2021/10/28,277.0
2021/10/29,275.0
2021/10/30,253.0
2021/10/31,130.0
2021/11/01,157.0
2021/11/02,504.0
2021/11/03,454.0
2021/11/04,406.0
2021/11/05,420.0
2021/11/06,356.0
2021/11/07,160.0
2021/11/08,611.0
2021/11/09,447.0
2021/11/10,495.0
2021/11/11,219.0
2021/11/12,581.0
2021/11/13,419.0
2021/11/14,259.0
2021/11/15,976.0
2021/11/16,782.0
2021/11/17,917.0
2021/11/18,904.0
2021/11/19,996.0
2021/11/20,808.0
2021/11/21,381.0
2021/11/22,1512.0
2021/11/23,1379.0
2021/11/24,1563.0
2021/11/25,1601.0
2021/11/26,1683.0
2021/11/27,1321.0
2021/11/28,632.0
2021/11/29,2313.0
2021/11/30,1988.0
2021/12/01,2096.0
2021/12/02,2139.0
2021/12/03,2097.0
2021/12/04,1620.0
2021/12/05,788.0
2021/12/06,2782.0
2021/12/07,2354.0
2021/12/08,2395.0
2021/12/09,2233.0
2021/12/10,2032.0
2021/12/11,1621.0
2021/12/12,807.0
2021/12/13,3143.0
2021/12/14,3031.0
2021/12/15,3641.0
2021/12/16,3471.0
2021/12/17,3676.0
2021/12/18,3196.0
2021/12/19,1625.0
2021/12/20,6759.0
2021/12/21,7369.0
2021/12/22,8481.0
2021/12/23,9198.0
2021/12/24,8246.0
2021/12/25,2369.0
2021/12/26,3756.0
2021/12/27,14687.0
2021/12/28,12121.0
2021/12/29,11973.0
2021/12/30,12164.0
2021/12/31,10818.0
2022/01/01,2724.0
2022/01/02,5966.0
2022/01/03,20419.0
2022/01/04,15597.0
2022/01/05,14097.0
2022/01/06,12494.0
2022/01/07,11854.0
2022/01/08,9552.0
2022/01/09,5076.0
2022/01/10,16405.0
2022/01/11,12161.0
2022/01/12,12599.0
2022/01/13,11084.0
2022/01/14,10832.0
2022/01/15,8631.0
2022/01/16,4954.0
2022/01/17,14407.0
2022/01/18,11892.0
2022/01/19,12455.0
2022/01/20,10051.0
2022/01/21,9482.0
2022/01/22,7247.0
2022/01/23,4102.0
2022/01/24,11281.0
2022/01/25,8484.0
2022/01/26,8040.0
2022/01/27,6908.0
2022/01/28,6702.0
2022/01/29,4934.0
2022/01/30,2737.0
2022/01/31,7510.0
2022/02/01,5340.0
2022/02/02,5403.0
2022/02/03,4486.0
