Datas,Côtes-d'Armor
2021/01/01,5.0
2021/01/02,35.0
2021/01/03,10.0
2021/01/04,68.0
2021/01/05,59.0
2021/01/06,67.0
2021/01/07,62.0
2021/01/08,58.0
2021/01/09,38.0
2021/01/10,5.0
2021/01/11,74.0
2021/01/12,45.0
2021/01/13,55.0
2021/01/14,60.0
2021/01/15,63.0
2021/01/16,34.0
2021/01/17,5.0
2021/01/18,68.0
2021/01/19,58.0
2021/01/20,65.0
2021/01/21,53.0
2021/01/22,58.0
2021/01/23,27.0
2021/01/24,8.0
2021/01/25,71.0
2021/01/26,72.0
2021/01/27,55.0
2021/01/28,62.0
2021/01/29,59.0
2021/01/30,33.0
2021/01/31,2.0
2021/02/01,98.0
2021/02/02,77.0
2021/02/03,69.0
2021/02/04,61.0
2021/02/05,68.0
2021/02/06,40.0
2021/02/07,9.0
2021/02/08,78.0
2021/02/09,54.0
2021/02/10,49.0
2021/02/11,45.0
2021/02/12,52.0
2021/02/13,44.0
2021/02/14,5.0
2021/02/15,89.0
2021/02/16,86.0
2021/02/17,95.0
2021/02/18,70.0
2021/02/19,68.0
2021/02/20,41.0
2021/02/21,13.0
2021/02/22,113.0
2021/02/23,104.0
2021/02/24,78.0
2021/02/25,85.0
2021/02/26,125.0
2021/02/27,44.0
2021/02/28,16.0
2021/03/01,146.0
2021/03/02,104.0
2021/03/03,112.0
2021/03/04,90.0
2021/03/05,122.0
2021/03/06,74.0
2021/03/07,17.0
2021/03/08,137.0
2021/03/09,119.0
2021/03/10,122.0
2021/03/11,132.0
2021/03/12,126.0
2021/03/13,91.0
2021/03/14,10.0
2021/03/15,244.0
2021/03/16,189.0
2021/03/17,164.0
2021/03/18,156.0
2021/03/19,176.0
2021/03/20,98.0
2021/03/21,23.0
2021/03/22,221.0
2021/03/23,214.0
2021/03/24,177.0
2021/03/25,174.0
2021/03/26,188.0
2021/03/27,130.0
2021/03/28,27.0
2021/03/29,234.0
2021/03/30,217.0
2021/03/31,166.0
2021/04/01,171.0
2021/04/02,204.0
2021/04/03,82.0
2021/04/04,25.0
2021/04/05,65.0
2021/04/06,209.0
2021/04/07,211.0
2021/04/08,191.0
2021/04/09,209.0
2021/04/10,108.0
2021/04/11,22.0
2021/04/12,260.0
2021/04/13,244.0
2021/04/14,165.0
2021/04/15,193.0
2021/04/16,201.0
2021/04/17,152.0
2021/04/18,20.0
2021/04/19,214.0
2021/04/20,160.0
2021/04/21,162.0
2021/04/22,158.0
2021/04/23,153.0
2021/04/24,91.0
2021/04/25,9.0
2021/04/26,178.0
2021/04/27,120.0
2021/04/28,109.0
2021/04/29,109.0
2021/04/30,127.0
2021/05/01,29.0
2021/05/02,16.0
2021/05/03,139.0
2021/05/04,105.0
2021/05/05,90.0
2021/05/06,60.0
2021/05/07,79.0
2021/05/08,26.0
2021/05/09,8.0
2021/05/10,143.0
2021/05/11,82.0
2021/05/12,104.0
2021/05/13,39.0
2021/05/14,90.0
2021/05/15,62.0
2021/05/16,8.0
2021/05/17,99.0
2021/05/18,95.0
2021/05/19,81.0
2021/05/20,88.0
2021/05/21,76.0
2021/05/22,51.0
2021/05/23,10.0
2021/05/24,35.0
2021/05/25,75.0
2021/05/26,78.0
2021/05/27,61.0
2021/05/28,63.0
2021/05/29,51.0
2021/05/30,1.0
2021/05/31,63.0
2021/06/01,53.0
2021/06/02,46.0
2021/06/03,52.0
2021/06/04,50.0
2021/06/05,21.0
2021/06/06,1.0
2021/06/07,44.0
2021/06/08,19.0
2021/06/09,25.0
2021/06/10,25.0
2021/06/11,17.0
2021/06/12,20.0
2021/06/13,3.0
2021/06/14,17.0
2021/06/15,10.0
2021/06/16,12.0
2021/06/17,17.0
2021/06/18,12.0
2021/06/19,8.0
2021/06/20,2.0
2021/06/21,7.0
2021/06/22,7.0
2021/06/23,6.0
2021/06/24,8.0
2021/06/25,10.0
2021/06/26,7.0
2021/06/27,2.0
2021/06/28,15.0
2021/06/29,12.0
2021/06/30,19.0
2021/07/01,18.0
2021/07/02,20.0
2021/07/03,22.0
2021/07/04,1.0
2021/07/05,20.0
2021/07/06,19.0
2021/07/07,20.0
2021/07/08,23.0
2021/07/09,33.0
2021/07/10,12.0
2021/07/11,0.0
2021/07/12,20.0
2021/07/13,40.0
2021/07/14,10.0
2021/07/15,57.0
2021/07/16,42.0
2021/07/17,25.0
2021/07/18,5.0
2021/07/19,71.0
2021/07/20,79.0
2021/07/21,54.0
2021/07/22,56.0
2021/07/23,70.0
2021/07/24,40.0
2021/07/25,6.0
2021/07/26,134.0
2021/07/27,98.0
2021/07/28,113.0
2021/07/29,88.0
2021/07/30,84.0
2021/07/31,49.0
2021/08/01,9.0
2021/08/02,150.0
2021/08/03,112.0
2021/08/04,77.0
2021/08/05,80.0
2021/08/06,122.0
2021/08/07,94.0
2021/08/08,8.0
2021/08/09,144.0
2021/08/10,164.0
2021/08/11,131.0
2021/08/12,173.0
2021/08/13,155.0
2021/08/14,105.0
2021/08/15,9.0
2021/08/16,216.0
2021/08/17,167.0
2021/08/18,169.0
2021/08/19,157.0
2021/08/20,177.0
2021/08/21,117.0
2021/08/22,11.0
2021/08/23,191.0
2021/08/24,170.0
2021/08/25,129.0
2021/08/26,126.0
2021/08/27,125.0
2021/08/28,77.0
2021/08/29,6.0
2021/08/30,142.0
2021/08/31,139.0
2021/09/01,96.0
2021/09/02,94.0
2021/09/03,90.0
2021/09/04,89.0
2021/09/05,2.0
2021/09/06,102.0
2021/09/07,63.0
2021/09/08,59.0
2021/09/09,69.0
2021/09/10,64.0
2021/09/11,30.0
2021/09/12,3.0
2021/09/13,70.0
2021/09/14,57.0
2021/09/15,63.0
2021/09/16,73.0
2021/09/17,59.0
2021/09/18,29.0
2021/09/19,2.0
2021/09/20,59.0
2021/09/21,31.0
2021/09/22,37.0
2021/09/23,44.0
2021/09/24,21.0
2021/09/25,30.0
2021/09/26,4.0
2021/09/27,48.0
2021/09/28,47.0
2021/09/29,31.0
2021/09/30,20.0
2021/10/01,29.0
2021/10/02,18.0
2021/10/03,1.0
2021/10/04,39.0
2021/10/05,26.0
2021/10/06,13.0
2021/10/07,37.0
2021/10/08,35.0
2021/10/09,15.0
2021/10/10,3.0
2021/10/11,46.0
2021/10/12,27.0
2021/10/13,28.0
2021/10/14,36.0
2021/10/15,47.0
2021/10/16,15.0
2021/10/17,1.0
2021/10/18,50.0
2021/10/19,43.0
2021/10/20,52.0
2021/10/21,57.0
2021/10/22,52.0
2021/10/23,43.0
2021/10/24,1.0
2021/10/25,52.0
2021/10/26,40.0
2021/10/27,58.0
2021/10/28,44.0
2021/10/29,55.0
2021/10/30,35.0
2021/10/31,3.0
2021/11/01,4.0
2021/11/02,69.0
2021/11/03,74.0
2021/11/04,57.0
2021/11/05,63.0
2021/11/06,32.0
2021/11/07,4.0
2021/11/08,101.0
2021/11/09,42.0
2021/11/10,59.0
2021/11/11,6.0
2021/11/12,139.0
2021/11/13,58.0
2021/11/14,1.0
2021/11/15,105.0
2021/11/16,119.0
2021/11/17,97.0
2021/11/18,101.0
2021/11/19,102.0
2021/11/20,76.0
2021/11/21,4.0
2021/11/22,177.0
2021/11/23,178.0
2021/11/24,164.0
2021/11/25,153.0
2021/11/26,204.0
2021/11/27,112.0
2021/11/28,12.0
2021/11/29,267.0
2021/11/30,182.0
2021/12/01,223.0
2021/12/02,186.0
2021/12/03,196.0
2021/12/04,170.0
2021/12/05,4.0
2021/12/06,310.0
2021/12/07,258.0
2021/12/08,217.0
2021/12/09,200.0
2021/12/10,220.0
2021/12/11,140.0
2021/12/12,7.0
2021/12/13,299.0
2021/12/14,270.0
2021/12/15,251.0
2021/12/16,250.0
2021/12/17,208.0
2021/12/18,141.0
2021/12/19,12.0
2021/12/20,284.0
2021/12/21,261.0
2021/12/22,331.0
2021/12/23,394.0
2021/12/24,310.0
2021/12/25,39.0
2021/12/26,84.0
2021/12/27,986.0
2021/12/28,1060.0
2021/12/29,1256.0
2021/12/30,1240.0
2021/12/31,1072.0
2022/01/01,83.0
2022/01/02,258.0
2022/01/03,2537.0
2022/01/04,2041.0
2022/01/05,1777.0
2022/01/06,1687.0
2022/01/07,1575.0
2022/01/08,1056.0
2022/01/09,327.0
2022/01/10,2415.0
2022/01/11,1991.0
2022/01/12,1946.0
2022/01/13,1920.0
2022/01/14,2072.0
2022/01/15,1362.0
2022/01/16,438.0
2022/01/17,3440.0
2022/01/18,2718.0
2022/01/19,2678.0
2022/01/20,2798.0
2022/01/21,2761.0
2022/01/22,2026.0
2022/01/23,508.0
2022/01/24,4305.0
2022/01/25,3150.0
2022/01/26,2941.0
2022/01/27,2944.0
2022/01/28,2831.0
2022/01/29,2022.0
2022/01/30,545.0
2022/01/31,4085.0
2022/02/01,2890.0
2022/02/02,2521.0
2022/02/03,2261.0
2022/02/04,1957.0
2022/02/05,1237.0
2022/02/06,240.0
2022/02/07,2203.0
2022/02/08,1518.0
2022/02/09,1267.0
2022/02/10,1172.0
2022/02/11,1000.0
2022/02/12,716.0
2022/02/13,181.0
2022/02/14,1294.0
2022/02/15,945.0
2022/02/16,851.0
2022/02/17,695.0
2022/02/18,739.0
2022/02/19,589.0
2022/02/20,140.0
