Datas,Gironde
2021/01/02,250.0
2021/01/03,68.0
2021/01/04,503.0
2021/01/05,404.0
2021/01/06,370.0
2021/01/07,412.0
2021/01/08,405.0
2021/01/09,201.0
2021/01/10,64.0
2021/01/11,535.0
2021/01/12,404.0
2021/01/13,433.0
2021/01/14,432.0
2021/01/15,420.0
2021/01/16,255.0
2021/01/17,58.0
2021/01/18,593.0
2021/01/19,444.0
2021/01/20,422.0
2021/01/21,473.0
2021/01/22,464.0
2021/01/23,232.0
2021/01/24,62.0
2021/01/25,597.0
2021/01/26,462.0
2021/01/27,421.0
2021/01/28,430.0
2021/01/29,499.0
2021/01/30,245.0
2021/01/31,76.0
2021/02/01,573.0
2021/02/02,392.0
2021/02/03,345.0
2021/02/04,339.0
2021/02/05,327.0
2021/02/06,166.0
2021/02/07,29.0
2021/02/08,343.0
2021/02/09,277.0
2021/02/10,333.0
2021/02/11,269.0
2021/02/12,248.0
2021/02/13,167.0
2021/02/14,51.0
2021/02/15,352.0
2021/02/16,244.0
2021/02/17,282.0
2021/02/18,323.0
2021/02/19,372.0
2021/02/20,170.0
2021/02/21,38.0
2021/02/22,505.0
2021/02/23,371.0
2021/02/24,342.0
2021/02/25,305.0
2021/02/26,305.0
2021/02/27,162.0
2021/02/28,38.0
2021/03/01,341.0
2021/03/02,269.0
2021/03/03,283.0
2021/03/04,276.0
2021/03/05,272.0
2021/03/06,145.0
2021/03/07,46.0
2021/03/08,402.0
2021/03/09,392.0
2021/03/10,348.0
2021/03/11,405.0
2021/03/12,414.0
2021/03/13,240.0
2021/03/14,54.0
2021/03/15,521.0
2021/03/16,424.0
2021/03/17,496.0
2021/03/18,510.0
2021/03/19,511.0
2021/03/20,272.0
2021/03/21,53.0
2021/03/22,688.0
2021/03/23,607.0
2021/03/24,577.0
2021/03/25,600.0
2021/03/26,681.0
2021/03/27,388.0
2021/03/28,100.0
2021/03/29,879.0
2021/03/30,650.0
2021/03/31,636.0
2021/04/01,664.0
2021/04/02,699.0
2021/04/03,362.0
2021/04/04,55.0
2021/04/05,73.0
2021/04/06,866.0
2021/04/07,577.0
2021/04/08,564.0
2021/04/09,577.0
2021/04/10,391.0
2021/04/11,89.0
2021/04/12,740.0
2021/04/13,566.0
2021/04/14,479.0
2021/04/15,416.0
2021/04/16,495.0
2021/04/17,275.0
2021/04/18,70.0
2021/04/19,596.0
2021/04/20,523.0
2021/04/21,468.0
2021/04/22,390.0
2021/04/23,439.0
2021/04/24,238.0
2021/04/25,39.0
2021/04/26,550.0
2021/04/27,406.0
2021/04/28,353.0
2021/04/29,319.0
2021/04/30,293.0
2021/05/01,49.0
2021/05/02,47.0
2021/05/03,398.0
2021/05/04,353.0
2021/05/05,319.0
2021/05/06,245.0
2021/05/07,272.0
2021/05/08,26.0
2021/05/09,38.0
2021/05/10,348.0
2021/05/11,228.0
2021/05/12,184.0
2021/05/13,33.0
2021/05/14,246.0
2021/05/15,107.0
2021/05/16,44.0
2021/05/17,300.0
2021/05/18,264.0
2021/05/19,218.0
2021/05/20,217.0
2021/05/21,217.0
2021/05/22,146.0
2021/05/23,22.0
2021/05/24,49.0
2021/05/25,329.0
2021/05/26,240.0
2021/05/27,247.0
2021/05/28,245.0
2021/05/29,101.0
2021/05/30,23.0
2021/05/31,233.0
2021/06/01,169.0
2021/06/02,167.0
2021/06/03,172.0
2021/06/04,162.0
2021/06/05,79.0
2021/06/06,14.0
2021/06/07,152.0
2021/06/08,110.0
2021/06/09,107.0
2021/06/10,102.0
2021/06/11,103.0
2021/06/12,45.0
2021/06/13,17.0
2021/06/14,114.0
2021/06/15,92.0
2021/06/16,69.0
2021/06/17,55.0
2021/06/18,57.0
2021/06/19,23.0
2021/06/20,7.0
2021/06/21,63.0
2021/06/22,59.0
2021/06/23,54.0
2021/06/24,47.0
2021/06/25,48.0
2021/06/26,29.0
2021/06/27,6.0
2021/06/28,85.0
2021/06/29,52.0
2021/06/30,82.0
2021/07/01,74.0
2021/07/02,96.0
2021/07/03,49.0
2021/07/04,24.0
2021/07/05,103.0
2021/07/06,102.0
2021/07/07,139.0
2021/07/08,127.0
2021/07/09,126.0
2021/07/10,79.0
2021/07/11,32.0
2021/07/12,283.0
2021/07/13,331.0
2021/07/14,98.0
2021/07/15,508.0
2021/07/16,511.0
2021/07/17,422.0
2021/07/18,102.0
2021/07/19,996.0
2021/07/20,891.0
2021/07/21,965.0
2021/07/22,924.0
2021/07/23,879.0
2021/07/24,602.0
2021/07/25,153.0
2021/07/26,1245.0
2021/07/27,1011.0
2021/07/28,923.0
2021/07/29,841.0
2021/07/30,719.0
2021/07/31,431.0
2021/08/01,123.0
2021/08/02,984.0
2021/08/03,879.0
2021/08/04,750.0
2021/08/05,733.0
2021/08/06,768.0
2021/08/07,440.0
2021/08/08,132.0
2021/08/09,957.0
2021/08/10,738.0
2021/08/11,717.0
2021/08/12,624.0
2021/08/13,620.0
2021/08/14,355.0
2021/08/15,99.0
2021/08/16,730.0
2021/08/17,591.0
2021/08/18,551.0
2021/08/19,474.0
2021/08/20,453.0
2021/08/21,277.0
2021/08/22,86.0
2021/08/23,592.0
2021/08/24,435.0
2021/08/25,368.0
2021/08/26,300.0
2021/08/27,315.0
2021/08/28,180.0
2021/08/29,61.0
2021/08/30,466.0
2021/08/31,329.0
2021/09/01,292.0
2021/09/02,261.0
2021/09/03,244.0
2021/09/04,126.0
2021/09/05,45.0
2021/09/06,310.0
2021/09/07,214.0
2021/09/08,140.0
2021/09/09,168.0
2021/09/10,170.0
2021/09/11,100.0
2021/09/12,20.0
2021/09/13,200.0
2021/09/14,150.0
2021/09/15,147.0
2021/09/16,150.0
2021/09/17,165.0
2021/09/18,98.0
2021/09/19,21.0
2021/09/20,174.0
2021/09/21,119.0
2021/09/22,95.0
2021/09/23,98.0
2021/09/24,141.0
2021/09/25,87.0
2021/09/26,16.0
2021/09/27,154.0
2021/09/28,102.0
2021/09/29,75.0
2021/09/30,62.0
2021/10/01,77.0
2021/10/02,40.0
2021/10/03,11.0
2021/10/04,102.0
2021/10/05,75.0
2021/10/06,82.0
2021/10/07,74.0
2021/10/08,74.0
2021/10/09,51.0
2021/10/10,38.0
2021/10/11,119.0
2021/10/12,96.0
2021/10/13,70.0
2021/10/14,100.0
2021/10/15,83.0
2021/10/16,45.0
2021/10/17,26.0
2021/10/18,101.0
2021/10/19,116.0
2021/10/20,123.0
2021/10/21,84.0
2021/10/22,124.0
2021/10/23,70.0
2021/10/24,17.0
2021/10/25,150.0
2021/10/26,103.0
2021/10/27,97.0
2021/10/28,95.0
2021/10/29,144.0
2021/10/30,95.0
2021/10/31,35.0
2021/11/01,40.0
2021/11/02,232.0
2021/11/03,197.0
2021/11/04,169.0
2021/11/05,205.0
2021/11/06,183.0
2021/11/07,29.0
2021/11/08,342.0
2021/11/09,244.0
2021/11/10,332.0
2021/11/11,55.0
2021/11/12,489.0
2021/11/13,247.0
2021/11/14,79.0
2021/11/15,595.0
2021/11/16,550.0
2021/11/17,540.0
2021/11/18,571.0
2021/11/19,677.0
2021/11/20,441.0
2021/11/21,86.0
2021/11/22,1043.0
2021/11/23,905.0
2021/11/24,908.0
2021/11/25,931.0
2021/11/26,1043.0
2021/11/27,661.0
2021/11/28,153.0
2021/11/29,1524.0
2021/11/30,1295.0
2021/12/01,1336.0
2021/12/02,1369.0
2021/12/03,1458.0
2021/12/04,851.0
2021/12/05,209.0
2021/12/06,1883.0
2021/12/07,1529.0
2021/12/08,1343.0
2021/12/09,1490.0
2021/12/10,1327.0
2021/12/11,822.0
2021/12/12,205.0
2021/12/13,1740.0
2021/12/14,1469.0
2021/12/15,1293.0
2021/12/16,1231.0
2021/12/17,1341.0
2021/12/18,796.0
2021/12/19,261.0
2021/12/20,1988.0
2021/12/21,1940.0
2021/12/22,2166.0
2021/12/23,2282.0
2021/12/24,2136.0
2021/12/25,347.0
2021/12/26,574.0
2021/12/27,5133.0
2021/12/28,4875.0
2021/12/29,5075.0
2021/12/30,5129.0
2021/12/31,4420.0
2022/01/01,560.0
2022/01/02,1149.0
2022/01/03,9381.0
2022/01/04,7912.0
2022/01/05,6841.0
2022/01/06,6256.0
2022/01/07,6043.0
2022/01/08,3984.0
2022/01/09,1576.0
2022/01/10,9485.0
2022/01/11,7759.0
2022/01/12,7727.0
2022/01/13,6990.0
2022/01/14,6939.0
2022/01/15,5289.0
2022/01/16,2209.0
2022/01/17,11884.0
2022/01/18,10042.0
2022/01/19,10186.0
2022/01/20,9987.0
2022/01/21,9963.0
2022/01/22,7227.0
2022/01/23,2606.0
2022/01/24,15695.0
2022/01/25,11881.0
2022/01/26,11166.0
2022/01/27,10062.0
2022/01/28,9587.0
2022/01/29,6695.0
2022/01/30,2377.0
2022/01/31,13931.0
2022/02/01,10051.0
2022/02/02,9520.0
2022/02/03,8250.0
2022/02/04,7555.0
2022/02/05,5022.0
2022/02/06,1633.0
2022/02/07,9880.0
2022/02/08,6209.0
2022/02/09,5731.0
