Datas,Doubs
2021/01/02,250.0
2021/01/03,15.0
2021/01/04,471.0
2021/01/05,307.0
2021/01/06,255.0
2021/01/07,285.0
2021/01/08,278.0
2021/01/09,151.0
2021/01/10,15.0
2021/01/11,321.0
2021/01/12,189.0
2021/01/13,217.0
2021/01/14,212.0
2021/01/15,222.0
2021/01/16,190.0
2021/01/17,11.0
2021/01/18,308.0
2021/01/19,251.0
2021/01/20,207.0
2021/01/21,252.0
2021/01/22,241.0
2021/01/23,156.0
2021/01/24,8.0
2021/01/25,265.0
2021/01/26,190.0
2021/01/27,156.0
2021/01/28,187.0
2021/01/29,215.0
2021/01/30,158.0
2021/01/31,16.0
2021/02/01,220.0
2021/02/02,150.0
2021/02/03,135.0
2021/02/04,134.0
2021/02/05,182.0
2021/02/06,106.0
2021/02/07,4.0
2021/02/08,171.0
2021/02/09,102.0
2021/02/10,131.0
2021/02/11,122.0
2021/02/12,152.0
2021/02/13,107.0
2021/02/14,7.0
2021/02/15,168.0
2021/02/16,130.0
2021/02/17,144.0
2021/02/18,128.0
2021/02/19,146.0
2021/02/20,95.0
2021/02/21,13.0
2021/02/22,179.0
2021/02/23,166.0
2021/02/24,152.0
2021/02/25,167.0
2021/02/26,168.0
2021/02/27,146.0
2021/02/28,7.0
2021/03/01,197.0
2021/03/02,146.0
2021/03/03,192.0
2021/03/04,171.0
2021/03/05,202.0
2021/03/06,128.0
2021/03/07,10.0
2021/03/08,260.0
2021/03/09,197.0
2021/03/10,224.0
2021/03/11,204.0
2021/03/12,258.0
2021/03/13,162.0
2021/03/14,12.0
2021/03/15,279.0
2021/03/16,203.0
2021/03/17,222.0
2021/03/18,198.0
2021/03/19,251.0
2021/03/20,193.0
2021/03/21,13.0
2021/03/22,418.0
2021/03/23,311.0
2021/03/24,295.0
2021/03/25,347.0
2021/03/26,335.0
2021/03/27,240.0
2021/03/28,21.0
2021/03/29,495.0
2021/03/30,419.0
2021/03/31,433.0
2021/04/01,360.0
2021/04/02,378.0
2021/04/03,253.0
2021/04/04,33.0
2021/04/05,54.0
2021/04/06,507.0
2021/04/07,392.0
2021/04/08,376.0
2021/04/09,373.0
2021/04/10,246.0
2021/04/11,31.0
2021/04/12,415.0
2021/04/13,322.0
2021/04/14,259.0
2021/04/15,314.0
2021/04/16,301.0
2021/04/17,160.0
2021/04/18,18.0
2021/04/19,392.0
2021/04/20,313.0
2021/04/21,242.0
2021/04/22,206.0
2021/04/23,274.0
2021/04/24,187.0
2021/04/25,14.0
2021/04/26,321.0
2021/04/27,176.0
2021/04/28,214.0
2021/04/29,190.0
2021/04/30,180.0
2021/05/01,21.0
2021/05/02,14.0
2021/05/03,308.0
2021/05/04,189.0
2021/05/05,178.0
2021/05/06,175.0
2021/05/07,141.0
2021/05/08,16.0
2021/05/09,18.0
2021/05/10,191.0
2021/05/11,131.0
2021/05/12,114.0
2021/05/13,7.0
2021/05/14,145.0
2021/05/15,88.0
2021/05/16,5.0
2021/05/17,184.0
2021/05/18,118.0
2021/05/19,124.0
2021/05/20,91.0
2021/05/21,117.0
2021/05/22,69.0
2021/05/23,6.0
2021/05/24,10.0
2021/05/25,155.0
2021/05/26,99.0
2021/05/27,76.0
2021/05/28,89.0
2021/05/29,50.0
2021/05/30,11.0
2021/05/31,98.0
2021/06/01,59.0
2021/06/02,55.0
2021/06/03,61.0
2021/06/04,44.0
2021/06/05,33.0
2021/06/06,3.0
2021/06/07,57.0
2021/06/08,30.0
2021/06/09,34.0
2021/06/10,31.0
2021/06/11,36.0
2021/06/12,23.0
2021/06/13,5.0
2021/06/14,17.0
2021/06/15,25.0
2021/06/16,8.0
2021/06/17,11.0
2021/06/18,7.0
2021/06/19,8.0
2021/06/20,2.0
2021/06/21,10.0
2021/06/22,12.0
2021/06/23,13.0
2021/06/24,6.0
2021/06/25,8.0
2021/06/26,6.0
2021/06/27,0.0
2021/06/28,6.0
2021/06/29,6.0
2021/06/30,10.0
2021/07/01,13.0
2021/07/02,14.0
2021/07/03,8.0
2021/07/04,1.0
2021/07/05,15.0
2021/07/06,7.0
2021/07/07,13.0
2021/07/08,6.0
2021/07/09,19.0
2021/07/10,12.0
2021/07/11,3.0
2021/07/12,27.0
2021/07/13,22.0
2021/07/14,4.0
2021/07/15,20.0
2021/07/16,35.0
2021/07/17,38.0
2021/07/18,14.0
2021/07/19,77.0
2021/07/20,90.0
2021/07/21,120.0
2021/07/22,109.0
2021/07/23,86.0
2021/07/24,84.0
2021/07/25,12.0
2021/07/26,153.0
2021/07/27,122.0
2021/07/28,136.0
2021/07/29,131.0
2021/07/30,141.0
2021/07/31,83.0
2021/08/01,19.0
2021/08/02,159.0
2021/08/03,106.0
2021/08/04,168.0
2021/08/05,141.0
2021/08/06,136.0
2021/08/07,119.0
2021/08/08,23.0
2021/08/09,189.0
2021/08/10,158.0
2021/08/11,182.0
2021/08/12,179.0
2021/08/13,142.0
2021/08/14,135.0
2021/08/15,28.0
2021/08/16,229.0
2021/08/17,169.0
2021/08/18,117.0
2021/08/19,154.0
2021/08/20,136.0
2021/08/21,99.0
2021/08/22,21.0
2021/08/23,192.0
2021/08/24,153.0
2021/08/25,95.0
2021/08/26,127.0
2021/08/27,101.0
2021/08/28,58.0
2021/08/29,14.0
2021/08/30,143.0
2021/08/31,80.0
2021/09/01,99.0
2021/09/02,85.0
2021/09/03,80.0
2021/09/04,67.0
2021/09/05,9.0
2021/09/06,104.0
2021/09/07,75.0
2021/09/08,76.0
2021/09/09,59.0
2021/09/10,78.0
2021/09/11,42.0
2021/09/12,2.0
2021/09/13,80.0
2021/09/14,56.0
2021/09/15,55.0
2021/09/16,31.0
2021/09/17,53.0
2021/09/18,22.0
2021/09/19,8.0
2021/09/20,54.0
2021/09/21,60.0
2021/09/22,46.0
2021/09/23,43.0
2021/09/24,31.0
2021/09/25,35.0
2021/09/26,4.0
2021/09/27,54.0
2021/09/28,28.0
2021/09/29,33.0
2021/09/30,37.0
2021/10/01,22.0
2021/10/02,17.0
2021/10/03,1.0
2021/10/04,40.0
2021/10/05,26.0
2021/10/06,22.0
2021/10/07,22.0
2021/10/08,24.0
2021/10/09,16.0
2021/10/10,1.0
2021/10/11,44.0
2021/10/12,40.0
2021/10/13,41.0
2021/10/14,28.0
2021/10/15,28.0
2021/10/16,21.0
2021/10/17,3.0
2021/10/18,35.0
2021/10/19,36.0
2021/10/20,26.0
2021/10/21,44.0
2021/10/22,24.0
2021/10/23,14.0
2021/10/24,5.0
2021/10/25,56.0
2021/10/26,35.0
2021/10/27,32.0
2021/10/28,38.0
2021/10/29,40.0
2021/10/30,47.0
2021/10/31,5.0
2021/11/01,18.0
2021/11/02,93.0
2021/11/03,79.0
2021/11/04,73.0
2021/11/05,81.0
2021/11/06,66.0
2021/11/07,9.0
2021/11/08,116.0
2021/11/09,83.0
2021/11/10,82.0
2021/11/11,5.0
2021/11/12,96.0
2021/11/13,84.0
2021/11/14,20.0
2021/11/15,184.0
2021/11/16,146.0
2021/11/17,171.0
2021/11/18,176.0
2021/11/19,195.0
2021/11/20,164.0
2021/11/21,30.0
2021/11/22,355.0
2021/11/23,281.0
2021/11/24,330.0
2021/11/25,342.0
2021/11/26,425.0
2021/11/27,292.0
2021/11/28,45.0
2021/11/29,642.0
2021/11/30,554.0
2021/12/01,549.0
2021/12/02,581.0
2021/12/03,586.0
2021/12/04,433.0
2021/12/05,67.0
2021/12/06,857.0
2021/12/07,712.0
2021/12/08,687.0
2021/12/09,650.0
2021/12/10,535.0
2021/12/11,395.0
2021/12/12,65.0
2021/12/13,889.0
2021/12/14,652.0
2021/12/15,591.0
2021/12/16,538.0
2021/12/17,532.0
2021/12/18,359.0
2021/12/19,68.0
2021/12/20,713.0
2021/12/21,508.0
2021/12/22,594.0
2021/12/23,677.0
2021/12/24,597.0
2021/12/25,80.0
2021/12/26,134.0
2021/12/27,1616.0
2021/12/28,1179.0
2021/12/29,1237.0
2021/12/30,1222.0
2021/12/31,1304.0
2022/01/01,139.0
2022/01/02,220.0
2022/01/03,3026.0
2022/01/04,2225.0
2022/01/05,2051.0
2022/01/06,1890.0
2022/01/07,1862.0
2022/01/08,1535.0
2022/01/09,326.0
2022/01/10,3481.0
2022/01/11,2574.0
2022/01/12,2690.0
2022/01/13,2538.0
2022/01/14,2810.0
2022/01/15,2270.0
2022/01/16,428.0
2022/01/17,5067.0
2022/01/18,3798.0
2022/01/19,3909.0
2022/01/20,3471.0
2022/01/21,3376.0
2022/01/22,2813.0
2022/01/23,554.0
2022/01/24,5550.0
2022/01/25,3740.0
2022/01/26,3497.0
2022/01/27,3053.0
2022/01/28,2990.0
2022/01/29,2213.0
2022/01/30,410.0
2022/01/31,4289.0
2022/02/01,2710.0
2022/02/02,2522.0
2022/02/03,2106.0
2022/02/04,1894.0
2022/02/05,1472.0
2022/02/06,282.0
2022/02/07,2800.0
2022/02/08,1466.0
2022/02/09,1432.0
2022/02/10,1118.0
2022/02/11,1030.0
2022/02/12,778.0
2022/02/13,138.0
2022/02/14,1186.0
2022/02/15,799.0
2022/02/16,788.0
2022/02/17,617.0
2022/02/18,627.0
2022/02/19,434.0
2022/02/20,86.0
2022/02/21,850.0
2022/02/22,430.0
2022/02/23,457.0
2022/02/24,403.0
2022/02/25,420.0
2022/02/26,331.0
2022/02/27,58.0
2022/02/28,596.0
2022/03/01,352.0
2022/03/02,366.0
2022/03/03,357.0
2022/03/04,352.0
2022/03/05,247.0
2022/03/06,45.0
2022/03/07,615.0
2022/03/08,433.0
2022/03/09,439.0
2022/03/10,474.0
2022/03/11,422.0
2022/03/12,382.0
2022/03/13,61.0
2022/03/14,886.0
2022/03/15,668.0
2022/03/16,709.0
2022/03/17,758.0
2022/03/18,705.0
2022/03/19,558.0
2022/03/20,88.0
2022/03/21,1407.0
2022/03/22,1092.0
2022/03/23,1079.0
2022/03/24,1030.0
2022/03/25,1032.0
2022/03/26,833.0
2022/03/27,127.0
2022/03/28,1833.0
2022/03/29,1183.0
2022/03/30,1170.0
2022/03/31,997.0
2022/04/01,894.0
2022/04/02,704.0
2022/04/03,109.0
2022/04/04,1643.0
2022/04/05,1109.0
2022/04/06,1153.0
2022/04/07,1086.0
2022/04/08,960.0
2022/04/09,758.0
2022/04/10,133.0
2022/04/11,1707.0
2022/04/12,1088.0
2022/04/13,1090.0
2022/04/14,1022.0
2022/04/15,886.0
2022/04/16,658.0
2022/04/17,91.0
2022/04/18,94.0
2022/04/19,1336.0
2022/04/20,707.0
2022/04/21,649.0
2022/04/22,634.0
2022/04/23,427.0
2022/04/24,47.0
2022/04/25,816.0
2022/04/26,506.0
2022/04/27,475.0
2022/04/28,376.0
2022/04/29,453.0
2022/04/30,331.0
2022/05/01,22.0
2022/05/02,561.0
2022/05/03,301.0
2022/05/04,340.0
2022/05/05,293.0
2022/05/06,268.0
2022/05/07,200.0
2022/05/08,18.0
2022/05/09,433.0
2022/05/10,266.0
2022/05/11,304.0
2022/05/12,243.0
2022/05/13,220.0
2022/05/14,172.0
2022/05/15,25.0
2022/05/16,313.0
2022/05/17,229.0
2022/05/18,201.0
2022/05/19,168.0
2022/05/20,171.0
2022/05/21,125.0
2022/05/22,14.0
2022/05/23,235.0
2022/05/24,138.0
2022/05/25,117.0
2022/05/26,10.0
2022/05/27,165.0
2022/05/28,97.0
2022/05/29,13.0
2022/05/30,251.0
2022/05/31,165.0
2022/06/01,184.0
2022/06/02,149.0
2022/06/03,183.0
2022/06/04,134.0
2022/06/05,30.0
2022/06/06,42.0
2022/06/07,447.0
2022/06/08,284.0
2022/06/09,296.0
2022/06/10,231.0
2022/06/11,193.0
2022/06/12,33.0
2022/06/13,557.0
2022/06/14,411.0
2022/06/15,426.0
2022/06/16,401.0
2022/06/17,374.0
2022/06/18,368.0
2022/06/19,32.0
2022/06/20,746.0
2022/06/21,540.0
2022/06/22,532.0
2022/06/23,535.0
2022/06/24,573.0
2022/06/25,462.0
2022/06/26,77.0
2022/06/27,1178.0
2022/06/28,956.0
2022/06/29,1007.0
2022/06/30,934.0
2022/07/01,889.0
2022/07/02,711.0
2022/07/03,67.0
2022/07/04,1667.0
2022/07/05,1071.0
2022/07/06,1169.0
2022/07/07,950.0
2022/07/08,947.0
2022/07/09,677.0
2022/07/10,69.0
2022/07/11,1572.0
2022/07/12,964.0
2022/07/13,947.0
2022/07/14,86.0
2022/07/15,1074.0
2022/07/16,521.0
2022/07/17,74.0
2022/07/18,1032.0
2022/07/19,618.0
2022/07/20,524.0
2022/07/21,444.0
2022/07/22,475.0
2022/07/23,319.0
2022/07/24,55.0
2022/07/25,586.0
2022/07/26,358.0
2022/07/27,336.0
2022/07/28,308.0
2022/07/29,238.0
2022/07/30,177.0
2022/07/31,22.0
2022/08/01,328.0
2022/08/02,205.0
2022/08/03,204.0
2022/08/04,193.0
2022/08/05,173.0
2022/08/06,145.0
2022/08/07,23.0
2022/08/08,292.0
2022/08/09,177.0
2022/08/10,161.0
2022/08/11,163.0
2022/08/12,140.0
2022/08/13,114.0
2022/08/14,17.0
2022/08/15,33.0
2022/08/16,317.0
2022/08/17,203.0
2022/08/18,162.0
2022/08/19,152.0
2022/08/20,141.0
2022/08/21,19.0
2022/08/22,225.0
2022/08/23,167.0
2022/08/24,171.0
2022/08/25,160.0
2022/08/26,140.0
2022/08/27,110.0
2022/08/28,22.0
2022/08/29,245.0
2022/08/30,179.0
2022/08/31,171.0
2022/09/01,145.0
2022/09/02,154.0
2022/09/03,92.0
2022/09/04,24.0
2022/09/05,276.0
2022/09/06,223.0
2022/09/07,224.0
2022/09/08,213.0
2022/09/09,229.0
2022/09/10,172.0
2022/09/11,15.0
2022/09/12,514.0
2022/09/13,327.0
2022/09/14,358.0
2022/09/15,342.0
2022/09/16,330.0
2022/09/17,250.0
2022/09/18,28.0
2022/09/19,608.0
2022/09/20,379.0
2022/09/21,417.0
2022/09/22,471.0
2022/09/23,395.0
2022/09/24,358.0
2022/09/25,48.0
2022/09/26,855.0
2022/09/27,556.0
2022/09/28,516.0
2022/09/29,493.0
2022/09/30,516.0
2022/10/01,398.0
2022/10/02,47.0
2022/10/03,996.0
2022/10/04,637.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
