Datas,Finistère
2021/01/02,59.0
2021/01/03,6.0
2021/01/04,127.0
2021/01/05,106.0
2021/01/06,103.0
2021/01/07,81.0
2021/01/08,117.0
2021/01/09,62.0
2021/01/10,14.0
2021/01/11,105.0
2021/01/12,83.0
2021/01/13,76.0
2021/01/14,76.0
2021/01/15,98.0
2021/01/16,54.0
2021/01/17,13.0
2021/01/18,140.0
2021/01/19,112.0
2021/01/20,75.0
2021/01/21,98.0
2021/01/22,116.0
2021/01/23,73.0
2021/01/24,16.0
2021/01/25,163.0
2021/01/26,82.0
2021/01/27,82.0
2021/01/28,108.0
2021/01/29,96.0
2021/01/30,42.0
2021/01/31,13.0
2021/02/01,99.0
2021/02/02,94.0
2021/02/03,65.0
2021/02/04,63.0
2021/02/05,65.0
2021/02/06,41.0
2021/02/07,4.0
2021/02/08,66.0
2021/02/09,59.0
2021/02/10,31.0
2021/02/11,45.0
2021/02/12,58.0
2021/02/13,49.0
2021/02/14,6.0
2021/02/15,94.0
2021/02/16,64.0
2021/02/17,91.0
2021/02/18,75.0
2021/02/19,78.0
2021/02/20,57.0
2021/02/21,9.0
2021/02/22,95.0
2021/02/23,71.0
2021/02/24,67.0
2021/02/25,83.0
2021/02/26,71.0
2021/02/27,48.0
2021/02/28,4.0
2021/03/01,107.0
2021/03/02,81.0
2021/03/03,66.0
2021/03/04,72.0
2021/03/05,68.0
2021/03/06,50.0
2021/03/07,13.0
2021/03/08,126.0
2021/03/09,117.0
2021/03/10,73.0
2021/03/11,98.0
2021/03/12,126.0
2021/03/13,38.0
2021/03/14,7.0
2021/03/15,135.0
2021/03/16,100.0
2021/03/17,120.0
2021/03/18,103.0
2021/03/19,136.0
2021/03/20,58.0
2021/03/21,10.0
2021/03/22,129.0
2021/03/23,124.0
2021/03/24,128.0
2021/03/25,136.0
2021/03/26,132.0
2021/03/27,87.0
2021/03/28,15.0
2021/03/29,163.0
2021/03/30,91.0
2021/03/31,149.0
2021/04/01,134.0
2021/04/02,124.0
2021/04/03,69.0
2021/04/04,14.0
2021/04/05,24.0
2021/04/06,148.0
2021/04/07,140.0
2021/04/08,133.0
2021/04/09,127.0
2021/04/10,77.0
2021/04/11,12.0
2021/04/12,178.0
2021/04/13,131.0
2021/04/14,125.0
2021/04/15,111.0
2021/04/16,105.0
2021/04/17,81.0
2021/04/18,16.0
2021/04/19,150.0
2021/04/20,133.0
2021/04/21,108.0
2021/04/22,122.0
2021/04/23,139.0
2021/04/24,84.0
2021/04/25,18.0
2021/04/26,129.0
2021/04/27,123.0
2021/04/28,109.0
2021/04/29,95.0
2021/04/30,119.0
2021/05/01,25.0
2021/05/02,10.0
2021/05/03,136.0
2021/05/04,94.0
2021/05/05,88.0
2021/05/06,82.0
2021/05/07,91.0
2021/05/08,21.0
2021/05/09,6.0
2021/05/10,136.0
2021/05/11,87.0
2021/05/12,130.0
2021/05/13,29.0
2021/05/14,137.0
2021/05/15,44.0
2021/05/16,5.0
2021/05/17,147.0
2021/05/18,101.0
2021/05/19,113.0
2021/05/20,87.0
2021/05/21,78.0
2021/05/22,54.0
2021/05/23,8.0
2021/05/24,20.0
2021/05/25,123.0
2021/05/26,108.0
2021/05/27,97.0
2021/05/28,109.0
2021/05/29,56.0
2021/05/30,11.0
2021/05/31,104.0
2021/06/01,78.0
2021/06/02,88.0
2021/06/03,85.0
2021/06/04,82.0
2021/06/05,40.0
2021/06/06,3.0
2021/06/07,88.0
2021/06/08,60.0
2021/06/09,60.0
2021/06/10,41.0
2021/06/11,54.0
2021/06/12,25.0
2021/06/13,9.0
2021/06/14,39.0
2021/06/15,38.0
2021/06/16,29.0
2021/06/17,35.0
2021/06/18,36.0
2021/06/19,15.0
2021/06/20,1.0
2021/06/21,43.0
2021/06/22,23.0
2021/06/23,36.0
2021/06/24,24.0
2021/06/25,32.0
2021/06/26,15.0
2021/06/27,8.0
2021/06/28,39.0
2021/06/29,20.0
2021/06/30,35.0
2021/07/01,21.0
2021/07/02,29.0
2021/07/03,14.0
2021/07/04,5.0
2021/07/05,43.0
2021/07/06,23.0
2021/07/07,36.0
2021/07/08,55.0
2021/07/09,66.0
2021/07/10,27.0
2021/07/11,10.0
2021/07/12,64.0
2021/07/13,75.0
2021/07/14,30.0
2021/07/15,106.0
2021/07/16,93.0
2021/07/17,65.0
2021/07/18,16.0
2021/07/19,142.0
2021/07/20,108.0
2021/07/21,127.0
2021/07/22,149.0
2021/07/23,119.0
2021/07/24,99.0
2021/07/25,13.0
2021/07/26,182.0
2021/07/27,129.0
2021/07/28,94.0
2021/07/29,111.0
2021/07/30,92.0
2021/07/31,82.0
2021/08/01,23.0
2021/08/02,176.0
2021/08/03,116.0
2021/08/04,156.0
2021/08/05,135.0
2021/08/06,165.0
2021/08/07,89.0
2021/08/08,24.0
2021/08/09,218.0
2021/08/10,129.0
2021/08/11,155.0
2021/08/12,166.0
2021/08/13,166.0
2021/08/14,101.0
2021/08/15,22.0
2021/08/16,234.0
2021/08/17,152.0
2021/08/18,138.0
2021/08/19,134.0
2021/08/20,155.0
2021/08/21,104.0
2021/08/22,38.0
2021/08/23,273.0
2021/08/24,152.0
2021/08/25,171.0
2021/08/26,130.0
2021/08/27,129.0
2021/08/28,88.0
2021/08/29,18.0
2021/08/30,137.0
2021/08/31,101.0
2021/09/01,100.0
2021/09/02,77.0
2021/09/03,64.0
2021/09/04,43.0
2021/09/05,17.0
2021/09/06,110.0
2021/09/07,73.0
2021/09/08,52.0
2021/09/09,111.0
2021/09/10,68.0
2021/09/11,34.0
2021/09/12,7.0
2021/09/13,90.0
2021/09/14,52.0
2021/09/15,42.0
2021/09/16,33.0
2021/09/17,36.0
2021/09/18,17.0
2021/09/19,8.0
2021/09/20,46.0
2021/09/21,26.0
2021/09/22,44.0
2021/09/23,31.0
2021/09/24,21.0
2021/09/25,10.0
2021/09/26,5.0
2021/09/27,19.0
2021/09/28,21.0
2021/09/29,17.0
2021/09/30,18.0
2021/10/01,19.0
2021/10/02,10.0
2021/10/03,4.0
2021/10/04,20.0
2021/10/05,19.0
2021/10/06,21.0
2021/10/07,27.0
2021/10/08,33.0
2021/10/09,23.0
2021/10/10,6.0
2021/10/11,50.0
2021/10/12,49.0
2021/10/13,41.0
2021/10/14,34.0
2021/10/15,25.0
2021/10/16,14.0
2021/10/17,8.0
2021/10/18,53.0
2021/10/19,42.0
2021/10/20,45.0
2021/10/21,40.0
2021/10/22,60.0
2021/10/23,34.0
2021/10/24,4.0
2021/10/25,57.0
2021/10/26,42.0
2021/10/27,52.0
2021/10/28,51.0
2021/10/29,74.0
2021/10/30,34.0
2021/10/31,4.0
2021/11/01,9.0
2021/11/02,89.0
2021/11/03,71.0
2021/11/04,80.0
2021/11/05,112.0
2021/11/06,66.0
2021/11/07,9.0
2021/11/08,164.0
2021/11/09,123.0
2021/11/10,116.0
2021/11/11,19.0
2021/11/12,169.0
2021/11/13,102.0
2021/11/14,29.0
2021/11/15,242.0
2021/11/16,197.0
2021/11/17,201.0
2021/11/18,189.0
2021/11/19,196.0
2021/11/20,128.0
2021/11/21,20.0
2021/11/22,236.0
2021/11/23,223.0
2021/11/24,246.0
2021/11/25,283.0
2021/11/26,261.0
2021/11/27,169.0
2021/11/28,28.0
2021/11/29,386.0
2021/11/30,393.0
2021/12/01,329.0
2021/12/02,369.0
2021/12/03,392.0
2021/12/04,245.0
2021/12/05,30.0
2021/12/06,479.0
2021/12/07,332.0
2021/12/08,340.0
2021/12/09,359.0
2021/12/10,298.0
2021/12/11,223.0
2021/12/12,43.0
2021/12/13,481.0
2021/12/14,390.0
2021/12/15,347.0
2021/12/16,292.0
2021/12/17,339.0
2021/12/18,170.0
2021/12/19,33.0
2021/12/20,529.0
2021/12/21,489.0
2021/12/22,606.0
2021/12/23,677.0
2021/12/24,597.0
2021/12/25,85.0
2021/12/26,172.0
2021/12/27,1891.0
2021/12/28,1706.0
2021/12/29,1770.0
2021/12/30,1952.0
2021/12/31,1508.0
2022/01/01,152.0
2022/01/02,443.0
2022/01/03,4195.0
2022/01/04,3083.0
2022/01/05,2676.0
2022/01/06,2316.0
2022/01/07,2391.0
2022/01/08,1540.0
2022/01/09,607.0
2022/01/10,3807.0
2022/01/11,3002.0
2022/01/12,2879.0
2022/01/13,2865.0
2022/01/14,2801.0
2022/01/15,1926.0
2022/01/16,718.0
2022/01/17,4834.0
2022/01/18,3991.0
2022/01/19,3956.0
2022/01/20,3676.0
2022/01/21,3691.0
2022/01/22,2658.0
2022/01/23,922.0
2022/01/24,6082.0
2022/01/25,4759.0
2022/01/26,4671.0
2022/01/27,4195.0
2022/01/28,4233.0
2022/01/29,2975.0
2022/01/30,1096.0
2022/01/31,6397.0
2022/02/01,4318.0
2022/02/02,4013.0
2022/02/03,3478.0
2022/02/04,3056.0
2022/02/05,1998.0
2022/02/06,601.0
2022/02/07,3859.0
2022/02/08,2303.0
2022/02/09,2236.0
2022/02/10,1875.0
2022/02/11,1786.0
2022/02/12,1291.0
2022/02/13,414.0
2022/02/14,2512.0
2022/02/15,1561.0
2022/02/16,1577.0
2022/02/17,1411.0
2022/02/18,1396.0
2022/02/19,1040.0
2022/02/20,364.0
2022/02/21,2078.0
2022/02/22,1337.0
2022/02/23,1354.0
2022/02/24,1205.0
2022/02/25,1038.0
2022/02/26,878.0
2022/02/27,239.0
2022/02/28,2023.0
2022/03/01,1333.0
2022/03/02,1421.0
2022/03/03,1304.0
2022/03/04,1240.0
2022/03/05,978.0
2022/03/06,320.0
2022/03/07,2467.0
2022/03/08,1703.0
2022/03/09,1870.0
2022/03/10,1839.0
2022/03/11,1771.0
2022/03/12,1364.0
2022/03/13,420.0
2022/03/14,3244.0
2022/03/15,2226.0
2022/03/16,2304.0
2022/03/17,2200.0
2022/03/18,2249.0
2022/03/19,1631.0
2022/03/20,478.0
2022/03/21,4213.0
2022/03/22,3043.0
2022/03/23,3055.0
2022/03/24,2799.0
2022/03/25,2700.0
2022/03/26,1834.0
2022/03/27,418.0
2022/03/28,4372.0
2022/03/29,2947.0
2022/03/30,2818.0
2022/03/31,2516.0
2022/04/01,2136.0
2022/04/02,1493.0
2022/04/03,351.0
2022/04/04,3572.0
2022/04/05,2562.0
2022/04/06,2552.0
2022/04/07,2496.0
2022/04/08,2310.0
2022/04/09,1438.0
2022/04/10,306.0
2022/04/11,3292.0
2022/04/12,2212.0
2022/04/13,2110.0
2022/04/14,1874.0
2022/04/15,1702.0
2022/04/16,1032.0
2022/04/17,274.0
2022/04/18,408.0
2022/04/19,2571.0
2022/04/20,1445.0
2022/04/21,1240.0
2022/04/22,1200.0
2022/04/23,851.0
2022/04/24,192.0
2022/04/25,1778.0
2022/04/26,1027.0
2022/04/27,843.0
2022/04/28,753.0
2022/04/29,719.0
2022/04/30,485.0
2022/05/01,117.0
2022/05/02,1229.0
2022/05/03,792.0
2022/05/04,752.0
2022/05/05,715.0
2022/05/06,663.0
2022/05/07,497.0
2022/05/08,97.0
2022/05/09,1068.0
2022/05/10,718.0
2022/05/11,684.0
2022/05/12,530.0
2022/05/13,476.0
2022/05/14,329.0
2022/05/15,75.0
2022/05/16,785.0
2022/05/17,529.0
2022/05/18,500.0
2022/05/19,398.0
2022/05/20,382.0
2022/05/21,300.0
2022/05/22,57.0
2022/05/23,644.0
2022/05/24,360.0
2022/05/25,374.0
2022/05/26,66.0
2022/05/27,502.0
2022/05/28,288.0
2022/05/29,59.0
2022/05/30,670.0
2022/05/31,417.0
2022/06/01,398.0
2022/06/02,425.0
2022/06/03,373.0
2022/06/04,296.0
2022/06/05,91.0
2022/06/06,127.0
2022/06/07,836.0
2022/06/08,605.0
2022/06/09,527.0
2022/06/10,603.0
2022/06/11,369.0
2022/06/12,111.0
2022/06/13,999.0
2022/06/14,669.0
2022/06/15,736.0
2022/06/16,671.0
2022/06/17,753.0
2022/06/18,491.0
2022/06/19,109.0
2022/06/20,1546.0
2022/06/21,1094.0
2022/06/22,1259.0
2022/06/23,1240.0
2022/06/24,1251.0
2022/06/25,830.0
2022/06/26,200.0
2022/06/27,2378.0
2022/06/28,1861.0
2022/06/29,2129.0
2022/06/30,1910.0
2022/07/01,1963.0
2022/07/02,1375.0
2022/07/03,322.0
2022/07/04,3587.0
2022/07/05,2581.0
2022/07/06,2589.0
2022/07/07,2291.0
2022/07/08,1961.0
2022/07/09,1226.0
2022/07/10,273.0
2022/07/11,2834.0
2022/07/12,1669.0
2022/07/13,1570.0
2022/07/14,220.0
2022/07/15,1828.0
2022/07/16,899.0
2022/07/17,187.0
2022/07/18,1840.0
2022/07/19,1244.0
2022/07/20,1266.0
2022/07/21,1052.0
2022/07/22,955.0
2022/07/23,625.0
2022/07/24,131.0
2022/07/25,1312.0
2022/07/26,808.0
2022/07/27,695.0
2022/07/28,617.0
2022/07/29,577.0
2022/07/30,362.0
2022/07/31,93.0
2022/08/01,780.0
2022/08/02,474.0
2022/08/03,446.0
2022/08/04,388.0
2022/08/05,397.0
2022/08/06,222.0
2022/08/07,62.0
2022/08/08,501.0
2022/08/09,391.0
2022/08/10,319.0
2022/08/11,312.0
2022/08/12,294.0
2022/08/13,189.0
2022/08/14,58.0
2022/08/15,80.0
2022/08/16,491.0
2022/08/17,323.0
2022/08/18,266.0
2022/08/19,286.0
2022/08/20,162.0
2022/08/21,57.0
2022/08/22,484.0
2022/08/23,328.0
2022/08/24,323.0
2022/08/25,288.0
2022/08/26,260.0
2022/08/27,177.0
2022/08/28,45.0
2022/08/29,421.0
2022/08/30,304.0
2022/08/31,283.0
2022/09/01,237.0
2022/09/02,243.0
2022/09/03,158.0
2022/09/04,66.0
2022/09/05,374.0
2022/09/06,293.0
2022/09/07,292.0
2022/09/08,263.0
2022/09/09,284.0
2022/09/10,221.0
2022/09/11,66.0
2022/09/12,715.0
2022/09/13,506.0
2022/09/14,488.0
2022/09/15,403.0
2022/09/16,384.0
2022/09/17,299.0
2022/09/18,68.0
2022/09/19,701.0
2022/09/20,511.0
2022/09/21,457.0
2022/09/22,422.0
2022/09/23,475.0
2022/09/24,346.0
2022/09/25,79.0
2022/09/26,870.0
2022/09/27,559.0
2022/09/28,520.0
2022/09/29,536.0
2022/09/30,577.0
2022/10/01,384.0
2022/10/02,90.0
2022/10/03,993.0
2022/10/04,704.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
