Datas,Seine-Maritime
2021/01/01,34.0
2021/01/02,223.0
2021/01/03,63.0
2021/01/04,470.0
2021/01/05,471.0
2021/01/06,359.0
2021/01/07,404.0
2021/01/08,419.0
2021/01/09,213.0
2021/01/10,73.0
2021/01/11,527.0
2021/01/12,457.0
2021/01/13,487.0
2021/01/14,501.0
2021/01/15,442.0
2021/01/16,220.0
2021/01/17,72.0
2021/01/18,616.0
2021/01/19,465.0
2021/01/20,541.0
2021/01/21,468.0
2021/01/22,477.0
2021/01/23,209.0
2021/01/24,45.0
2021/01/25,469.0
2021/01/26,356.0
2021/01/27,418.0
2021/01/28,423.0
2021/01/29,409.0
2021/01/30,255.0
2021/01/31,68.0
2021/02/01,569.0
2021/02/02,388.0
2021/02/03,454.0
2021/02/04,334.0
2021/02/05,340.0
2021/02/06,184.0
2021/02/07,20.0
2021/02/08,368.0
2021/02/09,267.0
2021/02/10,255.0
2021/02/11,223.0
2021/02/12,261.0
2021/02/13,155.0
2021/02/14,38.0
2021/02/15,423.0
2021/02/16,315.0
2021/02/17,351.0
2021/02/18,335.0
2021/02/19,359.0
2021/02/20,203.0
2021/02/21,37.0
2021/02/22,462.0
2021/02/23,406.0
2021/02/24,361.0
2021/02/25,439.0
2021/02/26,381.0
2021/02/27,227.0
2021/02/28,59.0
2021/03/01,516.0
2021/03/02,394.0
2021/03/03,386.0
2021/03/04,367.0
2021/03/05,385.0
2021/03/06,233.0
2021/03/07,70.0
2021/03/08,474.0
2021/03/09,428.0
2021/03/10,469.0
2021/03/11,470.0
2021/03/12,545.0
2021/03/13,364.0
2021/03/14,65.0
2021/03/15,712.0
2021/03/16,592.0
2021/03/17,589.0
2021/03/18,650.0
2021/03/19,676.0
2021/03/20,432.0
2021/03/21,100.0
2021/03/22,890.0
2021/03/23,798.0
2021/03/24,695.0
2021/03/25,749.0
2021/03/26,773.0
2021/03/27,505.0
2021/03/28,101.0
2021/03/29,957.0
2021/03/30,810.0
2021/03/31,758.0
2021/04/01,748.0
2021/04/02,812.0
2021/04/03,434.0
2021/04/04,68.0
2021/04/05,98.0
2021/04/06,1035.0
2021/04/07,793.0
2021/04/08,730.0
2021/04/09,862.0
2021/04/10,466.0
2021/04/11,96.0
2021/04/12,927.0
2021/04/13,713.0
2021/04/14,607.0
2021/04/15,589.0
2021/04/16,699.0
2021/04/17,414.0
2021/04/18,100.0
2021/04/19,834.0
2021/04/20,693.0
2021/04/21,632.0
2021/04/22,629.0
2021/04/23,618.0
2021/04/24,317.0
2021/04/25,77.0
2021/04/26,728.0
2021/04/27,551.0
2021/04/28,486.0
2021/04/29,551.0
2021/04/30,544.0
2021/05/01,86.0
2021/05/02,92.0
2021/05/03,683.0
2021/05/04,475.0
2021/05/05,414.0
2021/05/06,412.0
2021/05/07,398.0
2021/05/08,69.0
2021/05/09,76.0
2021/05/10,575.0
2021/05/11,420.0
2021/05/12,357.0
2021/05/13,50.0
2021/05/14,439.0
2021/05/15,186.0
2021/05/16,41.0
2021/05/17,453.0
2021/05/18,424.0
2021/05/19,322.0
2021/05/20,295.0
2021/05/21,328.0
2021/05/22,186.0
2021/05/23,42.0
2021/05/24,55.0
2021/05/25,431.0
2021/05/26,267.0
2021/05/27,249.0
2021/05/28,201.0
2021/05/29,128.0
2021/05/30,30.0
2021/05/31,260.0
2021/06/01,140.0
2021/06/02,134.0
2021/06/03,116.0
2021/06/04,112.0
2021/06/05,82.0
2021/06/06,19.0
2021/06/07,145.0
2021/06/08,97.0
2021/06/09,93.0
2021/06/10,84.0
2021/06/11,79.0
2021/06/12,38.0
2021/06/13,8.0
2021/06/14,60.0
2021/06/15,50.0
2021/06/16,43.0
2021/06/17,66.0
2021/06/18,72.0
2021/06/19,18.0
2021/06/20,6.0
2021/06/21,39.0
2021/06/22,30.0
2021/06/23,33.0
2021/06/24,27.0
2021/06/25,29.0
2021/06/26,15.0
2021/06/27,6.0
2021/06/28,55.0
2021/06/29,32.0
2021/06/30,35.0
2021/07/01,43.0
2021/07/02,39.0
2021/07/03,21.0
2021/07/04,8.0
2021/07/05,66.0
2021/07/06,56.0
2021/07/07,68.0
2021/07/08,67.0
2021/07/09,73.0
2021/07/10,48.0
2021/07/11,24.0
2021/07/12,120.0
2021/07/13,113.0
2021/07/14,30.0
2021/07/15,157.0
2021/07/16,147.0
2021/07/17,116.0
2021/07/18,39.0
2021/07/19,188.0
2021/07/20,167.0
2021/07/21,217.0
2021/07/22,169.0
2021/07/23,197.0
2021/07/24,100.0
2021/07/25,31.0
2021/07/26,268.0
2021/07/27,196.0
2021/07/28,211.0
2021/07/29,183.0
2021/07/30,204.0
2021/07/31,137.0
2021/08/01,36.0
2021/08/02,284.0
2021/08/03,222.0
2021/08/04,248.0
2021/08/05,254.0
2021/08/06,265.0
2021/08/07,175.0
2021/08/08,46.0
2021/08/09,369.0
2021/08/10,299.0
2021/08/11,249.0
2021/08/12,263.0
2021/08/13,296.0
2021/08/14,217.0
2021/08/15,62.0
2021/08/16,380.0
2021/08/17,324.0
2021/08/18,287.0
2021/08/19,247.0
2021/08/20,240.0
2021/08/21,179.0
2021/08/22,59.0
2021/08/23,350.0
2021/08/24,266.0
2021/08/25,217.0
2021/08/26,192.0
2021/08/27,203.0
2021/08/28,148.0
2021/08/29,39.0
2021/08/30,239.0
2021/08/31,195.0
2021/09/01,139.0
2021/09/02,128.0
2021/09/03,133.0
2021/09/04,102.0
2021/09/05,30.0
2021/09/06,188.0
2021/09/07,115.0
2021/09/08,112.0
2021/09/09,113.0
2021/09/10,102.0
2021/09/11,69.0
2021/09/12,19.0
2021/09/13,140.0
2021/09/14,101.0
2021/09/15,71.0
2021/09/16,71.0
2021/09/17,67.0
2021/09/18,45.0
2021/09/19,17.0
2021/09/20,133.0
2021/09/21,85.0
2021/09/22,82.0
2021/09/23,76.0
2021/09/24,87.0
2021/09/25,42.0
2021/09/26,19.0
2021/09/27,74.0
2021/09/28,48.0
2021/09/29,51.0
2021/09/30,46.0
2021/10/01,56.0
2021/10/02,29.0
2021/10/03,12.0
2021/10/04,81.0
2021/10/05,39.0
2021/10/06,42.0
2021/10/07,32.0
2021/10/08,56.0
2021/10/09,31.0
2021/10/10,8.0
2021/10/11,73.0
2021/10/12,45.0
2021/10/13,61.0
2021/10/14,80.0
2021/10/15,63.0
2021/10/16,46.0
2021/10/17,13.0
2021/10/18,80.0
2021/10/19,64.0
2021/10/20,49.0
2021/10/21,59.0
2021/10/22,62.0
2021/10/23,43.0
2021/10/24,5.0
2021/10/25,88.0
2021/10/26,66.0
2021/10/27,57.0
2021/10/28,53.0
2021/10/29,81.0
2021/10/30,57.0
2021/10/31,14.0
2021/11/01,8.0
2021/11/02,99.0
2021/11/03,84.0
2021/11/04,88.0
2021/11/05,120.0
2021/11/06,86.0
2021/11/07,24.0
2021/11/08,135.0
2021/11/09,110.0
2021/11/10,140.0
2021/11/11,28.0
2021/11/12,196.0
2021/11/13,118.0
2021/11/14,30.0
2021/11/15,252.0
2021/11/16,234.0
2021/11/17,230.0
2021/11/18,279.0
2021/11/19,299.0
2021/11/20,199.0
2021/11/21,32.0
2021/11/22,432.0
2021/11/23,355.0
2021/11/24,322.0
2021/11/25,408.0
2021/11/26,449.0
2021/11/27,304.0
2021/11/28,65.0
2021/11/29,598.0
2021/11/30,468.0
2021/12/01,463.0
2021/12/02,495.0
2021/12/03,603.0
2021/12/04,382.0
2021/12/05,51.0
2021/12/06,780.0
2021/12/07,635.0
2021/12/08,546.0
2021/12/09,693.0
2021/12/10,658.0
2021/12/11,393.0
2021/12/12,89.0
2021/12/13,896.0
2021/12/14,688.0
2021/12/15,680.0
2021/12/16,694.0
2021/12/17,715.0
2021/12/18,451.0
2021/12/19,140.0
2021/12/20,1018.0
2021/12/21,1074.0
2021/12/22,1160.0
2021/12/23,1364.0
2021/12/24,1354.0
2021/12/25,168.0
2021/12/26,366.0
2021/12/27,3827.0
2021/12/28,3886.0
2021/12/29,4286.0
2021/12/30,4482.0
2021/12/31,3505.0
2022/01/01,423.0
2022/01/02,704.0
2022/01/03,7704.0
2022/01/04,6639.0
2022/01/05,5797.0
2022/01/06,5439.0
2022/01/07,4984.0
2022/01/08,3265.0
2022/01/09,930.0
2022/01/10,7350.0
2022/01/11,6106.0
2022/01/12,5920.0
2022/01/13,5543.0
2022/01/14,5769.0
2022/01/15,3847.0
2022/01/16,1129.0
