Datas,Haute-Marne
2021/06/02,14.0
2021/06/03,13.0
2021/06/04,15.0
2021/06/05,17.0
2021/06/06,1.0
2021/06/07,9.0
2021/06/08,7.0
2021/06/09,6.0
2021/06/10,1.0
2021/06/11,3.0
2021/06/12,1.0
2021/06/13,0.0
2021/06/14,4.0
2021/06/15,3.0
2021/06/16,2.0
2021/06/17,6.0
2021/06/18,11.0
2021/06/19,1.0
2021/06/20,1.0
2021/06/21,0.0
2021/06/22,1.0
2021/06/23,0.0
2021/06/24,1.0
2021/06/25,2.0
2021/06/26,3.0
2021/06/27,0.0
2021/06/28,3.0
2021/06/29,3.0
2021/06/30,1.0
2021/07/01,3.0
2021/07/02,1.0
2021/07/03,1.0
2021/07/04,0.0
2021/07/05,6.0
2021/07/06,4.0
2021/07/07,4.0
2021/07/08,6.0
2021/07/09,4.0
2021/07/10,3.0
2021/07/11,1.0
2021/07/12,1.0
2021/07/13,2.0
2021/07/14,1.0
2021/07/15,10.0
2021/07/16,8.0
2021/07/17,10.0
2021/07/18,2.0
2021/07/19,11.0
2021/07/20,5.0
2021/07/21,8.0
2021/07/22,8.0
2021/07/23,16.0
2021/07/24,12.0
2021/07/25,2.0
2021/07/26,15.0
2021/07/27,10.0
2021/07/28,16.0
2021/07/29,12.0
2021/07/30,14.0
2021/07/31,11.0
2021/08/01,0.0
2021/08/02,23.0
2021/08/03,14.0
2021/08/04,19.0
2021/08/05,16.0
2021/08/06,19.0
2021/08/07,18.0
2021/08/08,4.0
2021/08/09,42.0
2021/08/10,26.0
2021/08/11,34.0
2021/08/12,47.0
2021/08/13,22.0
2021/08/14,14.0
2021/08/15,0.0
2021/08/16,39.0
2021/08/17,28.0
2021/08/18,18.0
2021/08/19,25.0
2021/08/20,28.0
2021/08/21,25.0
2021/08/22,1.0
2021/08/23,46.0
2021/08/24,33.0
2021/08/25,26.0
2021/08/26,34.0
2021/08/27,38.0
2021/08/28,23.0
2021/08/29,3.0
2021/08/30,25.0
2021/08/31,12.0
2021/09/01,17.0
2021/09/02,18.0
2021/09/03,11.0
2021/09/04,22.0
2021/09/05,4.0
2021/09/06,43.0
2021/09/07,17.0
2021/09/08,6.0
2021/09/09,28.0
2021/09/10,20.0
2021/09/11,4.0
2021/09/12,2.0
2021/09/13,19.0
2021/09/14,17.0
2021/09/15,10.0
2021/09/16,13.0
2021/09/17,10.0
2021/09/18,8.0
2021/09/19,0.0
2021/09/20,13.0
2021/09/21,12.0
2021/09/22,3.0
2021/09/23,3.0
2021/09/24,6.0
2021/09/25,3.0
2021/09/26,1.0
2021/09/27,20.0
2021/09/28,4.0
2021/09/29,8.0
2021/09/30,6.0
2021/10/01,19.0
2021/10/02,5.0
2021/10/03,1.0
2021/10/04,13.0
2021/10/05,3.0
2021/10/06,7.0
2021/10/07,9.0
2021/10/08,14.0
2021/10/09,10.0
2021/10/10,0.0
2021/10/11,22.0
2021/10/12,13.0
2021/10/13,12.0
2021/10/14,13.0
2021/10/15,15.0
2021/10/16,9.0
2021/10/17,0.0
2021/10/18,16.0
2021/10/19,10.0
2021/10/20,14.0
2021/10/21,5.0
2021/10/22,5.0
2021/10/23,7.0
2021/10/24,0.0
2021/10/25,12.0
2021/10/26,17.0
2021/10/27,12.0
2021/10/28,14.0
2021/10/29,9.0
2021/10/30,15.0
2021/10/31,3.0
2021/11/01,2.0
2021/11/02,21.0
2021/11/03,20.0
2021/11/04,14.0
2021/11/05,23.0
2021/11/06,25.0
2021/11/07,2.0
2021/11/08,26.0
2021/11/09,29.0
2021/11/10,35.0
2021/11/11,0.0
2021/11/12,36.0
2021/11/13,20.0
2021/11/14,10.0
2021/11/15,48.0
2021/11/16,43.0
2021/11/17,47.0
2021/11/18,41.0
2021/11/19,49.0
2021/11/20,22.0
2021/11/21,4.0
2021/11/22,73.0
2021/11/23,58.0
2021/11/24,39.0
2021/11/25,36.0
2021/11/26,44.0
2021/11/27,47.0
2021/11/28,2.0
2021/11/29,87.0
2021/11/30,87.0
2021/12/01,61.0
2021/12/02,79.0
2021/12/03,77.0
2021/12/04,68.0
2021/12/05,6.0
2021/12/06,137.0
2021/12/07,95.0
2021/12/08,90.0
2021/12/09,86.0
2021/12/10,105.0
2021/12/11,57.0
2021/12/12,8.0
2021/12/13,119.0
2021/12/14,102.0
2021/12/15,101.0
2021/12/16,100.0
2021/12/17,88.0
2021/12/18,76.0
2021/12/19,7.0
2021/12/20,144.0
2021/12/21,102.0
2021/12/22,107.0
2021/12/23,111.0
2021/12/24,98.0
2021/12/25,13.0
2021/12/26,20.0
2021/12/27,278.0
2021/12/28,230.0
2021/12/29,254.0
2021/12/30,303.0
2021/12/31,304.0
2022/01/01,17.0
2022/01/02,40.0
2022/01/03,701.0
2022/01/04,537.0
2022/01/05,445.0
2022/01/06,433.0
2022/01/07,369.0
2022/01/08,252.0
2022/01/09,57.0
2022/01/10,636.0
2022/01/11,463.0
2022/01/12,504.0
2022/01/13,483.0
2022/01/14,511.0
2022/01/15,447.0
2022/01/16,105.0
2022/01/17,995.0
2022/01/18,809.0
2022/01/19,803.0
2022/01/20,777.0
2022/01/21,783.0
2022/01/22,662.0
2022/01/23,169.0
2022/01/24,1318.0
2022/01/25,967.0
2022/01/26,988.0
2022/01/27,889.0
2022/01/28,912.0
2022/01/29,585.0
2022/01/30,166.0
2022/01/31,1307.0
2022/02/01,765.0
2022/02/02,674.0
2022/02/03,643.0
2022/02/04,553.0
2022/02/05,407.0
2022/02/06,89.0
2022/02/07,721.0
2022/02/08,422.0
2022/02/09,372.0
2022/02/10,343.0
2022/02/11,305.0
2022/02/12,231.0
2022/02/13,47.0
2022/02/14,431.0
2022/02/15,252.0
2022/02/16,208.0
2022/02/17,179.0
2022/02/18,195.0
2022/02/19,157.0
2022/02/20,35.0
2022/02/21,318.0
2022/02/22,162.0
2022/02/23,189.0
2022/02/24,149.0
2022/02/25,120.0
2022/02/26,114.0
2022/02/27,25.0
2022/02/28,289.0
2022/03/01,155.0
2022/03/02,143.0
2022/03/03,152.0
2022/03/04,131.0
2022/03/05,148.0
2022/03/06,14.0
2022/03/07,294.0
2022/03/08,230.0
2022/03/09,235.0
2022/03/10,230.0
2022/03/11,232.0
2022/03/12,188.0
2022/03/13,44.0
2022/03/14,461.0
2022/03/15,244.0
2022/03/16,327.0
2022/03/17,287.0
2022/03/18,266.0
2022/03/19,232.0
2022/03/20,30.0
2022/03/21,552.0
2022/03/22,386.0
2022/03/23,387.0
2022/03/24,350.0
2022/03/25,408.0
2022/03/26,263.0
2022/03/27,29.0
2022/03/28,616.0
2022/03/29,422.0
2022/03/30,418.0
2022/03/31,347.0
2022/04/01,320.0
2022/04/02,233.0
2022/04/03,32.0
2022/04/04,592.0
2022/04/05,407.0
2022/04/06,389.0
2022/04/07,359.0
2022/04/08,351.0
2022/04/09,244.0
2022/04/10,32.0
2022/04/11,467.0
2022/04/12,387.0
2022/04/13,319.0
2022/04/14,337.0
2022/04/15,281.0
2022/04/16,197.0
2022/04/17,28.0
2022/04/18,23.0
2022/04/19,408.0
2022/04/20,215.0
2022/04/21,218.0
2022/04/22,210.0
2022/04/23,145.0
2022/04/24,32.0
2022/04/25,311.0
2022/04/26,169.0
2022/04/27,146.0
2022/04/28,160.0
2022/04/29,142.0
2022/04/30,104.0
2022/05/01,15.0
2022/05/02,230.0
2022/05/03,112.0
2022/05/04,138.0
2022/05/05,111.0
2022/05/06,115.0
2022/05/07,73.0
2022/05/08,9.0
2022/05/09,176.0
2022/05/10,102.0
2022/05/11,77.0
2022/05/12,64.0
2022/05/13,83.0
2022/05/14,53.0
2022/05/15,5.0
2022/05/16,93.0
2022/05/17,59.0
2022/05/18,50.0
2022/05/19,41.0
2022/05/20,50.0
2022/05/21,25.0
2022/05/22,8.0
2022/05/23,70.0
2022/05/24,35.0
2022/05/25,21.0
2022/05/26,4.0
2022/05/27,51.0
2022/05/28,20.0
2022/05/29,1.0
2022/05/30,65.0
2022/05/31,32.0
2022/06/01,34.0
2022/06/02,35.0
2022/06/03,43.0
2022/06/04,32.0
2022/06/05,8.0
2022/06/06,9.0
2022/06/07,96.0
2022/06/08,50.0
2022/06/09,51.0
2022/06/10,47.0
2022/06/11,48.0
2022/06/12,9.0
2022/06/13,85.0
2022/06/14,60.0
2022/06/15,64.0
2022/06/16,73.0
2022/06/17,60.0
2022/06/18,60.0
2022/06/19,8.0
2022/06/20,124.0
2022/06/21,94.0
2022/06/22,85.0
2022/06/23,95.0
2022/06/24,107.0
2022/06/25,77.0
2022/06/26,6.0
2022/06/27,208.0
2022/06/28,159.0
2022/06/29,207.0
2022/06/30,165.0
2022/07/01,182.0
2022/07/02,139.0
2022/07/03,24.0
2022/07/04,386.0
2022/07/05,244.0
2022/07/06,289.0
2022/07/07,261.0
2022/07/08,242.0
2022/07/09,194.0
2022/07/10,25.0
2022/07/11,394.0
2022/07/12,240.0
2022/07/13,242.0
2022/07/14,20.0
2022/07/15,301.0
2022/07/16,167.0
2022/07/17,28.0
2022/07/18,401.0
2022/07/19,221.0
2022/07/20,192.0
2022/07/21,181.0
2022/07/22,188.0
2022/07/23,152.0
2022/07/24,18.0
2022/07/25,265.0
2022/07/26,159.0
2022/07/27,149.0
2022/07/28,123.0
2022/07/29,111.0
2022/07/30,88.0
2022/07/31,11.0
2022/08/01,160.0
2022/08/02,105.0
2022/08/03,110.0
2022/08/04,87.0
2022/08/05,88.0
2022/08/06,62.0
2022/08/07,5.0
2022/08/08,129.0
2022/08/09,59.0
2022/08/10,68.0
2022/08/11,68.0
2022/08/12,57.0
2022/08/13,38.0
2022/08/14,11.0
2022/08/15,12.0
2022/08/16,119.0
2022/08/17,52.0
2022/08/18,64.0
2022/08/19,55.0
2022/08/20,25.0
2022/08/21,10.0
2022/08/22,65.0
2022/08/23,54.0
2022/08/24,40.0
2022/08/25,43.0
2022/08/26,38.0
2022/08/27,33.0
2022/08/28,9.0
2022/08/29,67.0
2022/08/30,45.0
2022/08/31,53.0
2022/09/01,39.0
2022/09/02,40.0
2022/09/03,18.0
2022/09/04,3.0
2022/09/05,73.0
2022/09/06,37.0
2022/09/07,37.0
2022/09/08,43.0
2022/09/09,39.0
2022/09/10,24.0
2022/09/11,10.0
2022/09/12,77.0
2022/09/13,75.0
2022/09/14,60.0
2022/09/15,73.0
2022/09/16,62.0
2022/09/17,44.0
2022/09/18,6.0
2022/09/19,153.0
2022/09/20,67.0
2022/09/21,75.0
2022/09/22,84.0
2022/09/23,100.0
2022/09/24,61.0
2022/09/25,12.0
2022/09/26,221.0
2022/09/27,127.0
2022/09/28,168.0
2022/09/29,143.0
2022/09/30,126.0
2022/10/01,97.0
2022/10/02,14.0
2022/10/03,261.0
2022/10/04,193.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
