Datas,Gers
2021/06/02,16.0
2021/06/03,25.0
2021/06/04,17.0
2021/06/05,7.0
2021/06/06,3.0
2021/06/07,15.0
2021/06/08,12.0
2021/06/09,12.0
2021/06/10,14.0
2021/06/11,12.0
2021/06/12,3.0
2021/06/13,0.0
2021/06/14,15.0
2021/06/15,3.0
2021/06/16,6.0
2021/06/17,5.0
2021/06/18,2.0
2021/06/19,0.0
2021/06/20,0.0
2021/06/21,2.0
2021/06/22,8.0
2021/06/23,7.0
2021/06/24,5.0
2021/06/25,4.0
2021/06/26,1.0
2021/06/27,0.0
2021/06/28,7.0
2021/06/29,4.0
2021/06/30,1.0
2021/07/01,1.0
2021/07/02,6.0
2021/07/03,3.0
2021/07/04,1.0
2021/07/05,12.0
2021/07/06,10.0
2021/07/07,20.0
2021/07/08,14.0
2021/07/09,14.0
2021/07/10,8.0
2021/07/11,0.0
2021/07/12,19.0
2021/07/13,18.0
2021/07/14,0.0
2021/07/15,51.0
2021/07/16,31.0
2021/07/17,21.0
2021/07/18,5.0
2021/07/19,67.0
2021/07/20,63.0
2021/07/21,69.0
2021/07/22,49.0
2021/07/23,46.0
2021/07/24,31.0
2021/07/25,7.0
2021/07/26,107.0
2021/07/27,58.0
2021/07/28,72.0
2021/07/29,59.0
2021/07/30,48.0
2021/07/31,15.0
2021/08/01,3.0
2021/08/02,79.0
2021/08/03,52.0
2021/08/04,84.0
2021/08/05,59.0
2021/08/06,66.0
2021/08/07,39.0
2021/08/08,12.0
2021/08/09,74.0
2021/08/10,62.0
2021/08/11,57.0
2021/08/12,65.0
2021/08/13,64.0
2021/08/14,38.0
2021/08/15,6.0
2021/08/16,66.0
2021/08/17,56.0
2021/08/18,46.0
2021/08/19,43.0
2021/08/20,43.0
2021/08/21,25.0
2021/08/22,1.0
2021/08/23,65.0
2021/08/24,45.0
2021/08/25,33.0
2021/08/26,25.0
2021/08/27,26.0
2021/08/28,12.0
2021/08/29,2.0
2021/08/30,54.0
2021/08/31,23.0
2021/09/01,20.0
2021/09/02,13.0
2021/09/03,34.0
2021/09/04,23.0
2021/09/05,2.0
2021/09/06,38.0
2021/09/07,26.0
2021/09/08,16.0
2021/09/09,12.0
2021/09/10,15.0
2021/09/11,11.0
2021/09/12,1.0
2021/09/13,22.0
2021/09/14,18.0
2021/09/15,13.0
2021/09/16,18.0
2021/09/17,7.0
2021/09/18,9.0
2021/09/19,1.0
2021/09/20,22.0
2021/09/21,11.0
2021/09/22,14.0
2021/09/23,20.0
2021/09/24,20.0
2021/09/25,4.0
2021/09/26,1.0
2021/09/27,30.0
2021/09/28,5.0
2021/09/29,12.0
2021/09/30,3.0
2021/10/01,7.0
2021/10/02,5.0
2021/10/03,1.0
2021/10/04,7.0
2021/10/05,13.0
2021/10/06,7.0
2021/10/07,18.0
2021/10/08,13.0
2021/10/09,9.0
2021/10/10,2.0
2021/10/11,9.0
2021/10/12,10.0
2021/10/13,6.0
2021/10/14,24.0
2021/10/15,10.0
2021/10/16,8.0
2021/10/17,0.0
2021/10/18,11.0
2021/10/19,10.0
2021/10/20,6.0
2021/10/21,12.0
2021/10/22,18.0
2021/10/23,14.0
2021/10/24,1.0
2021/10/25,19.0
2021/10/26,8.0
2021/10/27,15.0
2021/10/28,28.0
2021/10/29,17.0
2021/10/30,19.0
2021/10/31,2.0
2021/11/01,2.0
2021/11/02,35.0
2021/11/03,24.0
2021/11/04,18.0
2021/11/05,27.0
2021/11/06,13.0
2021/11/07,0.0
2021/11/08,47.0
2021/11/09,27.0
2021/11/10,29.0
2021/11/11,3.0
2021/11/12,30.0
2021/11/13,13.0
2021/11/14,3.0
2021/11/15,60.0
2021/11/16,44.0
2021/11/17,43.0
2021/11/18,54.0
2021/11/19,44.0
2021/11/20,36.0
2021/11/21,2.0
2021/11/22,94.0
2021/11/23,76.0
2021/11/24,93.0
2021/11/25,132.0
2021/11/26,125.0
2021/11/27,64.0
2021/11/28,13.0
2021/11/29,202.0
2021/11/30,158.0
2021/12/01,151.0
2021/12/02,150.0
2021/12/03,171.0
2021/12/04,115.0
2021/12/05,18.0
2021/12/06,257.0
2021/12/07,173.0
2021/12/08,162.0
2021/12/09,155.0
2021/12/10,170.0
2021/12/11,102.0
2021/12/12,19.0
2021/12/13,179.0
2021/12/14,141.0
2021/12/15,146.0
2021/12/16,101.0
2021/12/17,89.0
2021/12/18,67.0
2021/12/19,10.0
2021/12/20,157.0
2021/12/21,138.0
2021/12/22,126.0
2021/12/23,144.0
2021/12/24,137.0
2021/12/25,26.0
2021/12/26,31.0
2021/12/27,308.0
2021/12/28,306.0
2021/12/29,358.0
2021/12/30,352.0
2021/12/31,332.0
2022/01/01,24.0
2022/01/02,59.0
2022/01/03,703.0
2022/01/04,584.0
2022/01/05,480.0
2022/01/06,487.0
2022/01/07,471.0
2022/01/08,281.0
2022/01/09,111.0
2022/01/10,854.0
2022/01/11,573.0
2022/01/12,668.0
2022/01/13,605.0
2022/01/14,674.0
2022/01/15,465.0
2022/01/16,154.0
2022/01/17,1343.0
2022/01/18,878.0
2022/01/19,1013.0
2022/01/20,933.0
2022/01/21,1021.0
2022/01/22,628.0
2022/01/23,230.0
2022/01/24,1737.0
2022/01/25,1247.0
2022/01/26,1179.0
2022/01/27,1098.0
2022/01/28,1007.0
2022/01/29,639.0
2022/01/30,176.0
2022/01/31,1587.0
2022/02/01,1104.0
2022/02/02,993.0
2022/02/03,857.0
2022/02/04,889.0
2022/02/05,503.0
2022/02/06,133.0
2022/02/07,1199.0
2022/02/08,729.0
2022/02/09,693.0
2022/02/10,592.0
2022/02/11,621.0
2022/02/12,328.0
2022/02/13,93.0
2022/02/14,748.0
2022/02/15,440.0
2022/02/16,449.0
2022/02/17,381.0
2022/02/18,364.0
2022/02/19,223.0
2022/02/20,51.0
2022/02/21,474.0
2022/02/22,304.0
2022/02/23,309.0
2022/02/24,284.0
2022/02/25,263.0
2022/02/26,168.0
2022/02/27,36.0
2022/02/28,343.0
2022/03/01,233.0
2022/03/02,231.0
2022/03/03,229.0
2022/03/04,228.0
2022/03/05,167.0
2022/03/06,37.0
2022/03/07,350.0
2022/03/08,229.0
2022/03/09,265.0
2022/03/10,219.0
2022/03/11,243.0
2022/03/12,135.0
2022/03/13,46.0
2022/03/14,433.0
2022/03/15,294.0
2022/03/16,351.0
2022/03/17,344.0
2022/03/18,296.0
2022/03/19,222.0
2022/03/20,68.0
2022/03/21,652.0
2022/03/22,432.0
2022/03/23,435.0
2022/03/24,366.0
2022/03/25,390.0
2022/03/26,223.0
2022/03/27,63.0
2022/03/28,604.0
2022/03/29,375.0
2022/03/30,390.0
2022/03/31,338.0
2022/04/01,319.0
2022/04/02,216.0
2022/04/03,50.0
2022/04/04,543.0
2022/04/05,358.0
2022/04/06,387.0
2022/04/07,354.0
2022/04/08,389.0
2022/04/09,237.0
2022/04/10,66.0
2022/04/11,565.0
2022/04/12,389.0
2022/04/13,404.0
2022/04/14,337.0
2022/04/15,291.0
2022/04/16,217.0
2022/04/17,44.0
2022/04/18,53.0
2022/04/19,467.0
2022/04/20,292.0
2022/04/21,271.0
2022/04/22,237.0
2022/04/23,153.0
2022/04/24,22.0
2022/04/25,320.0
2022/04/26,179.0
2022/04/27,155.0
2022/04/28,143.0
2022/04/29,142.0
2022/04/30,84.0
2022/05/01,38.0
2022/05/02,216.0
2022/05/03,122.0
2022/05/04,94.0
2022/05/05,116.0
2022/05/06,95.0
2022/05/07,47.0
2022/05/08,9.0
2022/05/09,157.0
2022/05/10,78.0
2022/05/11,82.0
2022/05/12,66.0
2022/05/13,59.0
2022/05/14,34.0
2022/05/15,6.0
2022/05/16,92.0
2022/05/17,67.0
2022/05/18,54.0
2022/05/19,46.0
2022/05/20,54.0
2022/05/21,36.0
2022/05/22,6.0
2022/05/23,88.0
2022/05/24,66.0
2022/05/25,72.0
2022/05/26,10.0
2022/05/27,76.0
2022/05/28,34.0
2022/05/29,11.0
2022/05/30,95.0
2022/05/31,87.0
2022/06/01,81.0
2022/06/02,54.0
2022/06/03,72.0
2022/06/04,36.0
2022/06/05,11.0
2022/06/06,21.0
2022/06/07,166.0
2022/06/08,118.0
2022/06/09,115.0
2022/06/10,92.0
2022/06/11,73.0
2022/06/12,15.0
2022/06/13,215.0
2022/06/14,159.0
2022/06/15,116.0
2022/06/16,117.0
2022/06/17,115.0
2022/06/18,92.0
2022/06/19,15.0
2022/06/20,324.0
2022/06/21,210.0
2022/06/22,227.0
2022/06/23,211.0
2022/06/24,249.0
2022/06/25,139.0
2022/06/26,32.0
2022/06/27,489.0
2022/06/28,413.0
2022/06/29,373.0
2022/06/30,473.0
2022/07/01,494.0
2022/07/02,237.0
2022/07/03,70.0
2022/07/04,767.0
2022/07/05,595.0
2022/07/06,517.0
2022/07/07,513.0
2022/07/08,403.0
2022/07/09,238.0
2022/07/10,58.0
2022/07/11,628.0
2022/07/12,396.0
2022/07/13,351.0
2022/07/14,51.0
2022/07/15,383.0
2022/07/16,196.0
2022/07/17,54.0
2022/07/18,461.0
2022/07/19,292.0
2022/07/20,234.0
2022/07/21,251.0
2022/07/22,212.0
2022/07/23,167.0
2022/07/24,15.0
2022/07/25,286.0
2022/07/26,151.0
2022/07/27,168.0
2022/07/28,155.0
2022/07/29,115.0
2022/07/30,85.0
2022/07/31,23.0
2022/08/01,180.0
2022/08/02,135.0
2022/08/03,100.0
2022/08/04,122.0
2022/08/05,103.0
2022/08/06,51.0
2022/08/07,12.0
2022/08/08,146.0
2022/08/09,82.0
2022/08/10,94.0
2022/08/11,65.0
2022/08/12,86.0
2022/08/13,57.0
2022/08/14,16.0
2022/08/15,17.0
2022/08/16,138.0
2022/08/17,74.0
2022/08/18,72.0
2022/08/19,63.0
2022/08/20,42.0
2022/08/21,12.0
2022/08/22,107.0
2022/08/23,38.0
2022/08/24,41.0
2022/08/25,56.0
2022/08/26,64.0
2022/08/27,29.0
2022/08/28,3.0
2022/08/29,86.0
2022/08/30,53.0
2022/08/31,44.0
2022/09/01,40.0
2022/09/02,21.0
2022/09/03,37.0
2022/09/04,6.0
2022/09/05,72.0
2022/09/06,45.0
2022/09/07,58.0
2022/09/08,51.0
2022/09/09,64.0
2022/09/10,44.0
2022/09/11,8.0
2022/09/12,103.0
2022/09/13,80.0
2022/09/14,76.0
2022/09/15,75.0
2022/09/16,58.0
2022/09/17,53.0
2022/09/18,7.0
2022/09/19,113.0
2022/09/20,81.0
2022/09/21,81.0
2022/09/22,83.0
2022/09/23,79.0
2022/09/24,56.0
2022/09/25,14.0
2022/09/26,170.0
2022/09/27,128.0
2022/09/28,146.0
2022/09/29,125.0
2022/09/30,96.0
2022/10/01,84.0
2022/10/02,11.0
2022/10/03,208.0
2022/10/04,125.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
