Datas,Gard
2021/01/02,107.0
2021/01/03,18.0
2021/01/04,332.0
2021/01/05,235.0
2021/01/06,274.0
2021/01/07,191.0
2021/01/08,229.0
2021/01/09,102.0
2021/01/10,24.0
2021/01/11,292.0
2021/01/12,263.0
2021/01/13,229.0
2021/01/14,221.0
2021/01/15,237.0
2021/01/16,139.0
2021/01/17,31.0
2021/01/18,318.0
2021/01/19,282.0
2021/01/20,282.0
2021/01/21,281.0
2021/01/22,329.0
2021/01/23,155.0
2021/01/24,43.0
2021/01/25,358.0
2021/01/26,317.0
2021/01/27,285.0
2021/01/28,282.0
2021/01/29,308.0
2021/01/30,149.0
2021/01/31,60.0
2021/02/01,406.0
2021/02/02,279.0
2021/02/03,255.0
2021/02/04,242.0
2021/02/05,271.0
2021/02/06,142.0
2021/02/07,30.0
2021/02/08,279.0
2021/02/09,244.0
2021/02/10,227.0
2021/02/11,229.0
2021/02/12,203.0
2021/02/13,142.0
2021/02/14,17.0
2021/02/15,271.0
2021/02/16,218.0
2021/02/17,205.0
2021/02/18,215.0
2021/02/19,230.0
2021/02/20,119.0
2021/02/21,27.0
2021/02/22,281.0
2021/02/23,198.0
2021/02/24,213.0
2021/02/25,189.0
2021/02/26,210.0
2021/02/27,152.0
2021/02/28,33.0
2021/03/01,315.0
2021/03/02,257.0
2021/03/03,233.0
2021/03/04,243.0
2021/03/05,259.0
2021/03/06,148.0
2021/03/07,36.0
2021/03/08,377.0
2021/03/09,295.0
2021/03/10,288.0
2021/03/11,306.0
2021/03/12,281.0
2021/03/13,169.0
2021/03/14,30.0
2021/03/15,442.0
2021/03/16,289.0
2021/03/17,261.0
2021/03/18,361.0
2021/03/19,315.0
2021/03/20,187.0
2021/03/21,28.0
2021/03/22,526.0
2021/03/23,429.0
2021/03/24,413.0
2021/03/25,460.0
2021/03/26,455.0
2021/03/27,282.0
2021/03/28,54.0
2021/03/29,592.0
2021/03/30,482.0
2021/03/31,421.0
2021/04/01,447.0
2021/04/02,480.0
2021/04/03,244.0
2021/04/04,34.0
2021/04/05,75.0
2021/04/06,627.0
2021/04/07,487.0
2021/04/08,399.0
2021/04/09,413.0
2021/04/10,271.0
2021/04/11,43.0
2021/04/12,577.0
2021/04/13,433.0
2021/04/14,393.0
2021/04/15,364.0
2021/04/16,406.0
2021/04/17,210.0
2021/04/18,46.0
2021/04/19,545.0
2021/04/20,403.0
2021/04/21,347.0
2021/04/22,340.0
2021/04/23,378.0
2021/04/24,209.0
2021/04/25,47.0
2021/04/26,433.0
2021/04/27,317.0
2021/04/28,238.0
2021/04/29,234.0
2021/04/30,281.0
2021/05/01,44.0
2021/05/02,39.0
2021/05/03,301.0
2021/05/04,186.0
2021/05/05,156.0
2021/05/06,149.0
2021/05/07,156.0
2021/05/08,24.0
2021/05/09,30.0
2021/05/10,216.0
2021/05/11,97.0
2021/05/12,131.0
2021/05/13,19.0
2021/05/14,137.0
2021/05/15,64.0
2021/05/16,7.0
2021/05/17,170.0
2021/05/18,131.0
2021/05/19,87.0
2021/05/20,91.0
2021/05/21,94.0
2021/05/22,47.0
2021/05/23,14.0
2021/05/24,25.0
2021/05/25,155.0
2021/05/26,98.0
2021/05/27,86.0
2021/05/28,77.0
2021/05/29,43.0
2021/05/30,9.0
2021/05/31,103.0
2021/06/01,67.0
2021/06/02,82.0
2021/06/03,38.0
2021/06/04,52.0
2021/06/05,23.0
2021/06/06,6.0
2021/06/07,52.0
2021/06/08,21.0
2021/06/09,37.0
2021/06/10,32.0
2021/06/11,25.0
2021/06/12,15.0
2021/06/13,3.0
2021/06/14,28.0
2021/06/15,11.0
2021/06/16,9.0
2021/06/17,9.0
2021/06/18,13.0
2021/06/19,14.0
2021/06/20,1.0
2021/06/21,9.0
2021/06/22,9.0
2021/06/23,3.0
2021/06/24,4.0
2021/06/25,14.0
2021/06/26,7.0
2021/06/27,1.0
2021/06/28,17.0
2021/06/29,23.0
2021/06/30,10.0
2021/07/01,17.0
2021/07/02,13.0
2021/07/03,12.0
2021/07/04,5.0
2021/07/05,39.0
2021/07/06,30.0
2021/07/07,36.0
2021/07/08,45.0
2021/07/09,44.0
2021/07/10,39.0
2021/07/11,5.0
2021/07/12,94.0
2021/07/13,82.0
2021/07/14,29.0
2021/07/15,171.0
2021/07/16,137.0
2021/07/17,104.0
2021/07/18,32.0
2021/07/19,320.0
2021/07/20,258.0
2021/07/21,279.0
2021/07/22,290.0
2021/07/23,329.0
2021/07/24,284.0
2021/07/25,51.0
2021/07/26,569.0
2021/07/27,408.0
2021/07/28,507.0
2021/07/29,410.0
2021/07/30,509.0
2021/07/31,352.0
2021/08/01,81.0
2021/08/02,721.0
2021/08/03,510.0
2021/08/04,586.0
2021/08/05,537.0
2021/08/06,541.0
2021/08/07,346.0
2021/08/08,68.0
2021/08/09,760.0
2021/08/10,563.0
2021/08/11,602.0
2021/08/12,540.0
2021/08/13,527.0
2021/08/14,364.0
2021/08/15,67.0
2021/08/16,707.0
2021/08/17,531.0
2021/08/18,542.0
2021/08/19,448.0
2021/08/20,528.0
2021/08/21,312.0
2021/08/22,55.0
2021/08/23,669.0
2021/08/24,444.0
2021/08/25,404.0
2021/08/26,354.0
2021/08/27,365.0
2021/08/28,231.0
2021/08/29,52.0
2021/08/30,447.0
2021/08/31,323.0
2021/09/01,374.0
2021/09/02,249.0
2021/09/03,227.0
2021/09/04,133.0
2021/09/05,42.0
2021/09/06,289.0
2021/09/07,205.0
2021/09/08,173.0
2021/09/09,171.0
2021/09/10,163.0
2021/09/11,96.0
2021/09/12,21.0
2021/09/13,223.0
2021/09/14,96.0
2021/09/15,112.0
2021/09/16,93.0
2021/09/17,115.0
2021/09/18,59.0
2021/09/19,14.0
2021/09/20,134.0
2021/09/21,80.0
2021/09/22,71.0
2021/09/23,66.0
2021/09/24,60.0
2021/09/25,49.0
2021/09/26,5.0
2021/09/27,131.0
2021/09/28,78.0
2021/09/29,59.0
2021/09/30,75.0
2021/10/01,50.0
2021/10/02,27.0
2021/10/03,7.0
2021/10/04,82.0
2021/10/05,45.0
2021/10/06,40.0
2021/10/07,46.0
2021/10/08,40.0
2021/10/09,34.0
2021/10/10,3.0
2021/10/11,69.0
2021/10/12,57.0
2021/10/13,34.0
2021/10/14,53.0
2021/10/15,44.0
2021/10/16,29.0
2021/10/17,9.0
2021/10/18,67.0
2021/10/19,53.0
2021/10/20,50.0
2021/10/21,77.0
2021/10/22,67.0
2021/10/23,41.0
2021/10/24,10.0
2021/10/25,58.0
2021/10/26,48.0
2021/10/27,50.0
2021/10/28,46.0
2021/10/29,56.0
2021/10/30,52.0
2021/10/31,10.0
2021/11/01,10.0
2021/11/02,110.0
2021/11/03,57.0
2021/11/04,69.0
2021/11/05,70.0
2021/11/06,56.0
2021/11/07,14.0
2021/11/08,126.0
2021/11/09,103.0
2021/11/10,112.0
2021/11/11,21.0
2021/11/12,163.0
2021/11/13,99.0
2021/11/14,12.0
2021/11/15,213.0
2021/11/16,197.0
2021/11/17,194.0
2021/11/18,236.0
2021/11/19,212.0
2021/11/20,189.0
2021/11/21,49.0
2021/11/22,402.0
2021/11/23,375.0
2021/11/24,361.0
2021/11/25,416.0
2021/11/26,442.0
2021/11/27,274.0
2021/11/28,62.0
2021/11/29,787.0
2021/11/30,527.0
2021/12/01,575.0
2021/12/02,666.0
2021/12/03,642.0
2021/12/04,441.0
2021/12/05,102.0
2021/12/06,1121.0
2021/12/07,860.0
2021/12/08,963.0
2021/12/09,911.0
2021/12/10,825.0
2021/12/11,618.0
2021/12/12,151.0
2021/12/13,1409.0
2021/12/14,918.0
2021/12/15,864.0
2021/12/16,858.0
2021/12/17,854.0
2021/12/18,607.0
2021/12/19,95.0
2021/12/20,1148.0
2021/12/21,924.0
2021/12/22,1026.0
2021/12/23,1065.0
2021/12/24,1058.0
2021/12/25,152.0
2021/12/26,216.0
2021/12/27,2102.0
2021/12/28,1753.0
2021/12/29,1780.0
2021/12/30,1786.0
2021/12/31,1817.0
2022/01/01,226.0
2022/01/02,410.0
2022/01/03,3703.0
2022/01/04,2698.0
2022/01/05,2451.0
2022/01/06,2254.0
2022/01/07,2165.0
2022/01/08,1576.0
2022/01/09,426.0
2022/01/10,3860.0
2022/01/11,2593.0
2022/01/12,2921.0
2022/01/13,2605.0
2022/01/14,2908.0
2022/01/15,2163.0
2022/01/16,666.0
2022/01/17,5547.0
2022/01/18,4167.0
2022/01/19,4231.0
2022/01/20,3971.0
2022/01/21,3936.0
2022/01/22,2781.0
2022/01/23,754.0
2022/01/24,6649.0
2022/01/25,4046.0
2022/01/26,4139.0
2022/01/27,3572.0
2022/01/28,3653.0
2022/01/29,2573.0
2022/01/30,700.0
2022/01/31,5612.0
2022/02/01,3394.0
2022/02/02,3127.0
2022/02/03,2770.0
2022/02/04,2538.0
2022/02/05,1789.0
2022/02/06,453.0
2022/02/07,3452.0
2022/02/08,2074.0
2022/02/09,1928.0
2022/02/10,1644.0
2022/02/11,1563.0
2022/02/12,1091.0
2022/02/13,284.0
2022/02/14,2054.0
2022/02/15,1208.0
2022/02/16,1170.0
2022/02/17,1063.0
2022/02/18,932.0
2022/02/19,721.0
