Datas,Indre
2021/06/02,35.0
2021/06/03,20.0
2021/06/04,22.0
2021/06/05,13.0
2021/06/06,2.0
2021/06/07,17.0
2021/06/08,9.0
2021/06/09,4.0
2021/06/10,7.0
2021/06/11,3.0
2021/06/12,1.0
2021/06/13,0.0
2021/06/14,3.0
2021/06/15,5.0
2021/06/16,4.0
2021/06/17,4.0
2021/06/18,6.0
2021/06/19,3.0
2021/06/20,0.0
2021/06/21,4.0
2021/06/22,4.0
2021/06/23,3.0
2021/06/24,5.0
2021/06/25,5.0
2021/06/26,2.0
2021/06/27,0.0
2021/06/28,5.0
2021/06/29,1.0
2021/06/30,2.0
2021/07/01,11.0
2021/07/02,8.0
2021/07/03,1.0
2021/07/04,2.0
2021/07/05,3.0
2021/07/06,4.0
2021/07/07,4.0
2021/07/08,2.0
2021/07/09,5.0
2021/07/10,2.0
2021/07/11,1.0
2021/07/12,5.0
2021/07/13,5.0
2021/07/14,0.0
2021/07/15,11.0
2021/07/16,10.0
2021/07/17,4.0
2021/07/18,3.0
2021/07/19,18.0
2021/07/20,15.0
2021/07/21,30.0
2021/07/22,25.0
2021/07/23,22.0
2021/07/24,12.0
2021/07/25,4.0
2021/07/26,20.0
2021/07/27,15.0
2021/07/28,19.0
2021/07/29,26.0
2021/07/30,15.0
2021/07/31,12.0
2021/08/01,7.0
2021/08/02,22.0
2021/08/03,29.0
2021/08/04,20.0
2021/08/05,25.0
2021/08/06,37.0
2021/08/07,13.0
2021/08/08,3.0
2021/08/09,35.0
2021/08/10,37.0
2021/08/11,35.0
2021/08/12,33.0
2021/08/13,38.0
2021/08/14,28.0
2021/08/15,3.0
2021/08/16,37.0
2021/08/17,29.0
2021/08/18,28.0
2021/08/19,26.0
2021/08/20,22.0
2021/08/21,15.0
2021/08/22,3.0
2021/08/23,37.0
2021/08/24,41.0
2021/08/25,41.0
2021/08/26,34.0
2021/08/27,36.0
2021/08/28,14.0
2021/08/29,9.0
2021/08/30,37.0
2021/08/31,36.0
2021/09/01,22.0
2021/09/02,35.0
2021/09/03,16.0
2021/09/04,12.0
2021/09/05,0.0
2021/09/06,21.0
2021/09/07,26.0
2021/09/08,25.0
2021/09/09,13.0
2021/09/10,16.0
2021/09/11,11.0
2021/09/12,3.0
2021/09/13,18.0
2021/09/14,18.0
2021/09/15,14.0
2021/09/16,12.0
2021/09/17,12.0
2021/09/18,9.0
2021/09/19,2.0
2021/09/20,7.0
2021/09/21,9.0
2021/09/22,6.0
2021/09/23,5.0
2021/09/24,6.0
2021/09/25,8.0
2021/09/26,2.0
2021/09/27,4.0
2021/09/28,5.0
2021/09/29,1.0
2021/09/30,6.0
2021/10/01,3.0
2021/10/02,3.0
2021/10/03,0.0
2021/10/04,10.0
2021/10/05,4.0
2021/10/06,2.0
2021/10/07,8.0
2021/10/08,8.0
2021/10/09,4.0
2021/10/10,2.0
2021/10/11,10.0
2021/10/12,5.0
2021/10/13,6.0
2021/10/14,28.0
2021/10/15,9.0
2021/10/16,4.0
2021/10/17,0.0
2021/10/18,13.0
2021/10/19,11.0
2021/10/20,7.0
2021/10/21,28.0
2021/10/22,14.0
2021/10/23,9.0
2021/10/24,0.0
2021/10/25,19.0
2021/10/26,14.0
2021/10/27,24.0
2021/10/28,16.0
2021/10/29,11.0
2021/10/30,10.0
2021/10/31,1.0
2021/11/01,0.0
2021/11/02,20.0
2021/11/03,32.0
2021/11/04,21.0
2021/11/05,25.0
2021/11/06,18.0
2021/11/07,3.0
2021/11/08,38.0
2021/11/09,30.0
2021/11/10,27.0
2021/11/11,3.0
2021/11/12,46.0
2021/11/13,29.0
2021/11/14,3.0
2021/11/15,50.0
2021/11/16,39.0
2021/11/17,50.0
2021/11/18,36.0
2021/11/19,66.0
2021/11/20,33.0
2021/11/21,2.0
2021/11/22,79.0
2021/11/23,54.0
2021/11/24,49.0
2021/11/25,67.0
2021/11/26,49.0
2021/11/27,37.0
2021/11/28,5.0
2021/11/29,82.0
2021/11/30,69.0
2021/12/01,58.0
2021/12/02,84.0
2021/12/03,77.0
2021/12/04,52.0
2021/12/05,7.0
2021/12/06,84.0
2021/12/07,74.0
2021/12/08,74.0
2021/12/09,100.0
2021/12/10,83.0
2021/12/11,70.0
2021/12/12,19.0
2021/12/13,111.0
2021/12/14,98.0
2021/12/15,81.0
2021/12/16,67.0
2021/12/17,82.0
2021/12/18,42.0
2021/12/19,8.0
2021/12/20,87.0
2021/12/21,102.0
2021/12/22,111.0
2021/12/23,113.0
2021/12/24,85.0
2021/12/25,10.0
2021/12/26,18.0
2021/12/27,210.0
2021/12/28,269.0
2021/12/29,323.0
2021/12/30,385.0
2021/12/31,334.0
2022/01/01,20.0
2022/01/02,49.0
2022/01/03,604.0
2022/01/04,603.0
2022/01/05,612.0
2022/01/06,477.0
2022/01/07,422.0
2022/01/08,348.0
2022/01/09,106.0
2022/01/10,613.0
2022/01/11,633.0
2022/01/12,644.0
2022/01/13,573.0
2022/01/14,593.0
2022/01/15,497.0
2022/01/16,145.0
2022/01/17,922.0
2022/01/18,794.0
2022/01/19,955.0
2022/01/20,937.0
2022/01/21,929.0
2022/01/22,715.0
2022/01/23,230.0
2022/01/24,1323.0
2022/01/25,1164.0
2022/01/26,1105.0
2022/01/27,1011.0
2022/01/28,1031.0
2022/01/29,712.0
2022/01/30,207.0
2022/01/31,1274.0
2022/02/01,1123.0
2022/02/02,932.0
2022/02/03,805.0
2022/02/04,683.0
2022/02/05,470.0
2022/02/06,100.0
2022/02/07,801.0
2022/02/08,576.0
2022/02/09,456.0
2022/02/10,465.0
2022/02/11,445.0
2022/02/12,255.0
2022/02/13,66.0
2022/02/14,483.0
2022/02/15,376.0
2022/02/16,325.0
2022/02/17,284.0
2022/02/18,291.0
2022/02/19,221.0
2022/02/20,63.0
2022/02/21,401.0
2022/02/22,283.0
2022/02/23,296.0
2022/02/24,225.0
2022/02/25,219.0
2022/02/26,168.0
2022/02/27,38.0
2022/02/28,360.0
2022/03/01,280.0
2022/03/02,265.0
2022/03/03,229.0
2022/03/04,233.0
2022/03/05,223.0
2022/03/06,54.0
2022/03/07,465.0
2022/03/08,277.0
2022/03/09,316.0
2022/03/10,280.0
2022/03/11,256.0
2022/03/12,237.0
2022/03/13,50.0
2022/03/14,460.0
2022/03/15,365.0
2022/03/16,342.0
2022/03/17,356.0
2022/03/18,334.0
2022/03/19,260.0
2022/03/20,54.0
2022/03/21,612.0
2022/03/22,461.0
2022/03/23,497.0
2022/03/24,432.0
2022/03/25,421.0
2022/03/26,298.0
2022/03/27,66.0
2022/03/28,596.0
2022/03/29,543.0
2022/03/30,499.0
2022/03/31,535.0
2022/04/01,396.0
2022/04/02,325.0
2022/04/03,68.0
2022/04/04,632.0
2022/04/05,483.0
2022/04/06,486.0
2022/04/07,456.0
2022/04/08,439.0
2022/04/09,322.0
2022/04/10,41.0
2022/04/11,542.0
2022/04/12,475.0
2022/04/13,365.0
2022/04/14,341.0
2022/04/15,318.0
2022/04/16,201.0
2022/04/17,49.0
2022/04/18,66.0
2022/04/19,485.0
2022/04/20,281.0
2022/04/21,261.0
2022/04/22,261.0
2022/04/23,184.0
2022/04/24,22.0
2022/04/25,328.0
2022/04/26,218.0
2022/04/27,206.0
2022/04/28,183.0
2022/04/29,194.0
2022/04/30,126.0
2022/05/01,25.0
2022/05/02,249.0
2022/05/03,172.0
2022/05/04,146.0
2022/05/05,141.0
2022/05/06,126.0
2022/05/07,81.0
2022/05/08,16.0
2022/05/09,165.0
2022/05/10,132.0
2022/05/11,99.0
2022/05/12,67.0
2022/05/13,85.0
2022/05/14,63.0
2022/05/15,1.0
2022/05/16,97.0
2022/05/17,76.0
2022/05/18,53.0
2022/05/19,70.0
2022/05/20,47.0
2022/05/21,33.0
2022/05/22,6.0
2022/05/23,62.0
2022/05/24,37.0
2022/05/25,53.0
2022/05/26,4.0
2022/05/27,67.0
2022/05/28,29.0
2022/05/29,5.0
2022/05/30,80.0
2022/05/31,71.0
2022/06/01,51.0
2022/06/02,41.0
2022/06/03,79.0
2022/06/04,56.0
2022/06/05,8.0
2022/06/06,13.0
2022/06/07,151.0
2022/06/08,96.0
2022/06/09,93.0
2022/06/10,88.0
2022/06/11,73.0
2022/06/12,8.0
2022/06/13,169.0
2022/06/14,136.0
2022/06/15,109.0
2022/06/16,107.0
2022/06/17,133.0
2022/06/18,99.0
2022/06/19,13.0
2022/06/20,207.0
2022/06/21,218.0
2022/06/22,203.0
2022/06/23,216.0
2022/06/24,199.0
2022/06/25,185.0
2022/06/26,31.0
2022/06/27,412.0
2022/06/28,373.0
2022/06/29,381.0
2022/06/30,361.0
2022/07/01,345.0
2022/07/02,251.0
2022/07/03,53.0
2022/07/04,604.0
2022/07/05,542.0
2022/07/06,467.0
2022/07/07,469.0
2022/07/08,353.0
2022/07/09,290.0
2022/07/10,35.0
2022/07/11,510.0
2022/07/12,336.0
2022/07/13,310.0
2022/07/14,33.0
2022/07/15,387.0
2022/07/16,224.0
2022/07/17,40.0
2022/07/18,354.0
2022/07/19,281.0
2022/07/20,221.0
2022/07/21,217.0
2022/07/22,190.0
2022/07/23,144.0
2022/07/24,15.0
2022/07/25,242.0
2022/07/26,164.0
2022/07/27,157.0
2022/07/28,130.0
2022/07/29,128.0
2022/07/30,89.0
2022/07/31,18.0
2022/08/01,158.0
2022/08/02,103.0
2022/08/03,87.0
2022/08/04,103.0
2022/08/05,79.0
2022/08/06,44.0
2022/08/07,7.0
2022/08/08,96.0
2022/08/09,83.0
2022/08/10,65.0
2022/08/11,62.0
2022/08/12,70.0
2022/08/13,43.0
2022/08/14,8.0
2022/08/15,20.0
2022/08/16,143.0
2022/08/17,77.0
2022/08/18,81.0
2022/08/19,59.0
2022/08/20,42.0
2022/08/21,11.0
2022/08/22,84.0
2022/08/23,78.0
2022/08/24,70.0
2022/08/25,59.0
2022/08/26,52.0
2022/08/27,34.0
2022/08/28,6.0
2022/08/29,82.0
2022/08/30,58.0
2022/08/31,75.0
2022/09/01,42.0
2022/09/02,66.0
2022/09/03,36.0
2022/09/04,12.0
2022/09/05,88.0
2022/09/06,73.0
2022/09/07,68.0
2022/09/08,71.0
2022/09/09,63.0
2022/09/10,69.0
2022/09/11,7.0
2022/09/12,125.0
2022/09/13,122.0
2022/09/14,107.0
2022/09/15,77.0
2022/09/16,100.0
2022/09/17,97.0
2022/09/18,14.0
2022/09/19,166.0
2022/09/20,167.0
2022/09/21,119.0
2022/09/22,124.0
2022/09/23,160.0
2022/09/24,135.0
2022/09/25,23.0
2022/09/26,308.0
2022/09/27,259.0
2022/09/28,215.0
2022/09/29,197.0
2022/09/30,214.0
2022/10/01,154.0
2022/10/02,36.0
2022/10/03,384.0
2022/10/04,271.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
