Datas,Ardèche
2021/06/02,26.0
2021/06/03,34.0
2021/06/04,21.0
2021/06/05,15.0
2021/06/06,1.0
2021/06/07,26.0
2021/06/08,15.0
2021/06/09,8.0
2021/06/10,14.0
2021/06/11,13.0
2021/06/12,8.0
2021/06/13,1.0
2021/06/14,14.0
2021/06/15,11.0
2021/06/16,9.0
2021/06/17,15.0
2021/06/18,4.0
2021/06/19,1.0
2021/06/20,0.0
2021/06/21,6.0
2021/06/22,3.0
2021/06/23,0.0
2021/06/24,5.0
2021/06/25,4.0
2021/06/26,2.0
2021/06/27,1.0
2021/06/28,0.0
2021/06/29,4.0
2021/06/30,3.0
2021/07/01,3.0
2021/07/02,6.0
2021/07/03,5.0
2021/07/04,1.0
2021/07/05,11.0
2021/07/06,12.0
2021/07/07,12.0
2021/07/08,10.0
2021/07/09,15.0
2021/07/10,8.0
2021/07/11,2.0
2021/07/12,18.0
2021/07/13,25.0
2021/07/14,2.0
2021/07/15,26.0
2021/07/16,41.0
2021/07/17,19.0
2021/07/18,11.0
2021/07/19,55.0
2021/07/20,58.0
2021/07/21,43.0
2021/07/22,59.0
2021/07/23,56.0
2021/07/24,23.0
2021/07/25,10.0
2021/07/26,102.0
2021/07/27,85.0
2021/07/28,78.0
2021/07/29,77.0
2021/07/30,68.0
2021/07/31,39.0
2021/08/01,8.0
2021/08/02,99.0
2021/08/03,81.0
2021/08/04,92.0
2021/08/05,80.0
2021/08/06,83.0
2021/08/07,56.0
2021/08/08,7.0
2021/08/09,120.0
2021/08/10,98.0
2021/08/11,118.0
2021/08/12,103.0
2021/08/13,94.0
2021/08/14,72.0
2021/08/15,18.0
2021/08/16,184.0
2021/08/17,146.0
2021/08/18,126.0
2021/08/19,83.0
2021/08/20,115.0
2021/08/21,85.0
2021/08/22,9.0
2021/08/23,141.0
2021/08/24,98.0
2021/08/25,105.0
2021/08/26,106.0
2021/08/27,90.0
2021/08/28,51.0
2021/08/29,9.0
2021/08/30,104.0
2021/08/31,71.0
2021/09/01,76.0
2021/09/02,46.0
2021/09/03,69.0
2021/09/04,36.0
2021/09/05,5.0
2021/09/06,84.0
2021/09/07,63.0
2021/09/08,56.0
2021/09/09,43.0
2021/09/10,53.0
2021/09/11,30.0
2021/09/12,9.0
2021/09/13,79.0
2021/09/14,42.0
2021/09/15,48.0
2021/09/16,36.0
2021/09/17,65.0
2021/09/18,14.0
2021/09/19,2.0
2021/09/20,33.0
2021/09/21,38.0
2021/09/22,22.0
2021/09/23,39.0
2021/09/24,27.0
2021/09/25,21.0
2021/09/26,2.0
2021/09/27,49.0
2021/09/28,33.0
2021/09/29,29.0
2021/09/30,21.0
2021/10/01,36.0
2021/10/02,30.0
2021/10/03,2.0
2021/10/04,54.0
2021/10/05,37.0
2021/10/06,25.0
2021/10/07,36.0
2021/10/08,33.0
2021/10/09,15.0
2021/10/10,2.0
2021/10/11,39.0
2021/10/12,19.0
2021/10/13,27.0
2021/10/14,30.0
2021/10/15,12.0
2021/10/16,14.0
2021/10/17,1.0
2021/10/18,26.0
2021/10/19,36.0
2021/10/20,36.0
2021/10/21,24.0
2021/10/22,21.0
2021/10/23,33.0
2021/10/24,5.0
2021/10/25,47.0
2021/10/26,36.0
2021/10/27,34.0
2021/10/28,31.0
2021/10/29,43.0
2021/10/30,41.0
2021/10/31,8.0
2021/11/01,13.0
2021/11/02,83.0
2021/11/03,61.0
2021/11/04,75.0
2021/11/05,97.0
2021/11/06,57.0
2021/11/07,10.0
2021/11/08,126.0
2021/11/09,105.0
2021/11/10,99.0
2021/11/11,20.0
2021/11/12,193.0
2021/11/13,116.0
