Datas,Cantal
2021/06/02,10.0
2021/06/03,3.0
2021/06/04,3.0
2021/06/05,10.0
2021/06/06,1.0
2021/06/07,11.0
2021/06/08,8.0
2021/06/09,2.0
2021/06/10,1.0
2021/06/11,5.0
2021/06/12,0.0
2021/06/13,0.0
2021/06/14,8.0
2021/06/15,3.0
2021/06/16,1.0
2021/06/17,3.0
2021/06/18,3.0
2021/06/19,0.0
2021/06/20,0.0
2021/06/21,0.0
2021/06/22,0.0
2021/06/23,2.0
2021/06/24,1.0
2021/06/25,0.0
2021/06/26,0.0
2021/06/27,0.0
2021/06/28,0.0
2021/06/29,1.0
2021/06/30,1.0
2021/07/01,0.0
2021/07/02,0.0
2021/07/03,1.0
2021/07/04,1.0
2021/07/05,1.0
2021/07/06,2.0
2021/07/07,3.0
2021/07/08,2.0
2021/07/09,3.0
2021/07/10,1.0
2021/07/11,1.0
2021/07/12,4.0
2021/07/13,6.0
2021/07/14,1.0
2021/07/15,3.0
2021/07/16,1.0
2021/07/17,14.0
2021/07/18,1.0
2021/07/19,11.0
2021/07/20,5.0
2021/07/21,10.0
2021/07/22,13.0
2021/07/23,14.0
2021/07/24,5.0
2021/07/25,0.0
2021/07/26,7.0
2021/07/27,16.0
2021/07/28,17.0
2021/07/29,7.0
2021/07/30,11.0
2021/07/31,11.0
2021/08/01,3.0
2021/08/02,20.0
2021/08/03,16.0
2021/08/04,17.0
2021/08/05,16.0
2021/08/06,19.0
2021/08/07,16.0
2021/08/08,0.0
2021/08/09,24.0
2021/08/10,32.0
2021/08/11,43.0
2021/08/12,32.0
2021/08/13,24.0
2021/08/14,27.0
2021/08/15,2.0
2021/08/16,30.0
2021/08/17,31.0
2021/08/18,28.0
2021/08/19,11.0
2021/08/20,16.0
2021/08/21,18.0
2021/08/22,3.0
2021/08/23,16.0
2021/08/24,31.0
2021/08/25,18.0
2021/08/26,16.0
2021/08/27,12.0
2021/08/28,12.0
2021/08/29,4.0
2021/08/30,13.0
2021/08/31,10.0
2021/09/01,10.0
2021/09/02,7.0
2021/09/03,5.0
2021/09/04,13.0
2021/09/05,0.0
2021/09/06,18.0
2021/09/07,9.0
2021/09/08,14.0
2021/09/09,10.0
2021/09/10,13.0
2021/09/11,6.0
2021/09/12,2.0
2021/09/13,2.0
2021/09/14,4.0
2021/09/15,3.0
2021/09/16,5.0
2021/09/17,5.0
2021/09/18,4.0
2021/09/19,0.0
2021/09/20,4.0
2021/09/21,1.0
2021/09/22,7.0
2021/09/23,6.0
2021/09/24,3.0
2021/09/25,4.0
2021/09/26,0.0
2021/09/27,15.0
2021/09/28,18.0
2021/09/29,5.0
2021/09/30,6.0
2021/10/01,0.0
2021/10/02,2.0
2021/10/03,1.0
2021/10/04,5.0
2021/10/05,3.0
2021/10/06,2.0
2021/10/07,0.0
2021/10/08,1.0
2021/10/09,1.0
2021/10/10,0.0
2021/10/11,11.0
2021/10/12,6.0
2021/10/13,3.0
2021/10/14,0.0
2021/10/15,0.0
2021/10/16,0.0
2021/10/17,0.0
2021/10/18,2.0
2021/10/19,1.0
2021/10/20,0.0
2021/10/21,1.0
2021/10/22,4.0
2021/10/23,3.0
2021/10/24,1.0
2021/10/25,10.0
2021/10/26,2.0
2021/10/27,3.0
2021/10/28,8.0
2021/10/29,6.0
2021/10/30,6.0
2021/10/31,0.0
2021/11/01,3.0
2021/11/02,10.0
2021/11/03,10.0
2021/11/04,9.0
2021/11/05,9.0
2021/11/06,15.0
2021/11/07,0.0
2021/11/08,27.0
2021/11/09,26.0
2021/11/10,24.0
2021/11/11,7.0
2021/11/12,26.0
2021/11/13,9.0
2021/11/14,2.0
2021/11/15,30.0
2021/11/16,17.0
2021/11/17,16.0
2021/11/18,27.0
2021/11/19,20.0
2021/11/20,36.0
2021/11/21,4.0
2021/11/22,53.0
2021/11/23,47.0
2021/11/24,42.0
2021/11/25,43.0
2021/11/26,54.0
2021/11/27,36.0
2021/11/28,1.0
2021/11/29,43.0
2021/11/30,45.0
2021/12/01,48.0
2021/12/02,47.0
2021/12/03,73.0
2021/12/04,39.0
2021/12/05,4.0
2021/12/06,38.0
2021/12/07,70.0
2021/12/08,58.0
2021/12/09,32.0
2021/12/10,46.0
2021/12/11,30.0
2021/12/12,4.0
2021/12/13,71.0
2021/12/14,69.0
2021/12/15,46.0
2021/12/16,48.0
2021/12/17,61.0
2021/12/18,41.0
2021/12/19,14.0
2021/12/20,76.0
2021/12/21,99.0
2021/12/22,131.0
2021/12/23,172.0
2021/12/24,156.0
2021/12/25,11.0
2021/12/26,44.0
2021/12/27,246.0
2021/12/28,311.0
2021/12/29,305.0
2021/12/30,306.0
2021/12/31,329.0
2022/01/01,19.0
2022/01/02,68.0
2022/01/03,538.0
2022/01/04,408.0
2022/01/05,375.0
2022/01/06,319.0
2022/01/07,338.0
2022/01/08,280.0
2022/01/09,47.0
2022/01/10,376.0
2022/01/11,473.0
2022/01/12,380.0
2022/01/13,384.0
2022/01/14,388.0
2022/01/15,322.0
2022/01/16,85.0
2022/01/17,639.0
2022/01/18,500.0
2022/01/19,551.0
2022/01/20,486.0
2022/01/21,496.0
2022/01/22,469.0
2022/01/23,139.0
2022/01/24,862.0
2022/01/25,789.0
2022/01/26,844.0
2022/01/27,681.0
2022/01/28,689.0
2022/01/29,544.0
2022/01/30,110.0
2022/01/31,850.0
2022/02/01,719.0
2022/02/02,606.0
2022/02/03,575.0
2022/02/04,553.0
2022/02/05,409.0
2022/02/06,116.0
2022/02/07,718.0
2022/02/08,536.0
2022/02/09,458.0
2022/02/10,338.0
2022/02/11,314.0
2022/02/12,270.0
2022/02/13,62.0
2022/02/14,412.0
2022/02/15,279.0
2022/02/16,251.0
2022/02/17,232.0
2022/02/18,203.0
2022/02/19,169.0
2022/02/20,40.0
2022/02/21,301.0
2022/02/22,196.0
2022/02/23,216.0
2022/02/24,176.0
2022/02/25,189.0
2022/02/26,141.0
2022/02/27,56.0
2022/02/28,229.0
2022/03/01,187.0
2022/03/02,158.0
2022/03/03,149.0
2022/03/04,165.0
2022/03/05,129.0
2022/03/06,35.0
2022/03/07,268.0
2022/03/08,162.0
2022/03/09,217.0
2022/03/10,197.0
2022/03/11,201.0
2022/03/12,210.0
2022/03/13,61.0
2022/03/14,386.0
2022/03/15,319.0
2022/03/16,345.0
2022/03/17,341.0
2022/03/18,332.0
2022/03/19,258.0
2022/03/20,52.0
2022/03/21,559.0
2022/03/22,384.0
2022/03/23,385.0
2022/03/24,357.0
2022/03/25,366.0
2022/03/26,251.0
2022/03/27,69.0
2022/03/28,526.0
2022/03/29,432.0
2022/03/30,349.0
2022/03/31,307.0
2022/04/01,303.0
2022/04/02,211.0
2022/04/03,34.0
2022/04/04,499.0
2022/04/05,442.0
2022/04/06,406.0
2022/04/07,405.0
2022/04/08,374.0
2022/04/09,299.0
2022/04/10,63.0
2022/04/11,525.0
2022/04/12,424.0
2022/04/13,392.0
2022/04/14,339.0
2022/04/15,278.0
2022/04/16,194.0
2022/04/17,48.0
2022/04/18,59.0
2022/04/19,432.0
2022/04/20,257.0
2022/04/21,236.0
2022/04/22,200.0
2022/04/23,128.0
2022/04/24,36.0
2022/04/25,247.0
2022/04/26,176.0
2022/04/27,177.0
2022/04/28,136.0
2022/04/29,126.0
2022/04/30,97.0
2022/05/01,15.0
2022/05/02,203.0
2022/05/03,113.0
2022/05/04,104.0
2022/05/05,77.0
2022/05/06,66.0
2022/05/07,56.0
2022/05/08,18.0
2022/05/09,88.0
2022/05/10,80.0
2022/05/11,70.0
2022/05/12,60.0
2022/05/13,42.0
2022/05/14,29.0
2022/05/15,5.0
2022/05/16,79.0
2022/05/17,43.0
2022/05/18,34.0
2022/05/19,28.0
2022/05/20,30.0
2022/05/21,35.0
2022/05/22,7.0
2022/05/23,46.0
2022/05/24,26.0
2022/05/25,28.0
2022/05/26,5.0
2022/05/27,27.0
2022/05/28,24.0
2022/05/29,6.0
2022/05/30,61.0
2022/05/31,41.0
2022/06/01,39.0
2022/06/02,32.0
2022/06/03,29.0
2022/06/04,21.0
2022/06/05,10.0
2022/06/06,14.0
2022/06/07,87.0
2022/06/08,44.0
2022/06/09,30.0
2022/06/10,54.0
2022/06/11,53.0
2022/06/12,6.0
2022/06/13,108.0
2022/06/14,76.0
2022/06/15,102.0
2022/06/16,70.0
2022/06/17,75.0
2022/06/18,68.0
2022/06/19,7.0
2022/06/20,133.0
2022/06/21,101.0
2022/06/22,117.0
2022/06/23,88.0
2022/06/24,99.0
2022/06/25,72.0
2022/06/26,5.0
2022/06/27,218.0
2022/06/28,145.0
2022/06/29,137.0
2022/06/30,156.0
2022/07/01,143.0
2022/07/02,110.0
2022/07/03,11.0
2022/07/04,337.0
2022/07/05,252.0
2022/07/06,284.0
2022/07/07,212.0
2022/07/08,206.0
2022/07/09,167.0
2022/07/10,30.0
2022/07/11,329.0
2022/07/12,236.0
2022/07/13,246.0
2022/07/14,38.0
2022/07/15,226.0
2022/07/16,139.0
2022/07/17,30.0
2022/07/18,264.0
2022/07/19,158.0
2022/07/20,189.0
2022/07/21,166.0
2022/07/22,171.0
2022/07/23,96.0
2022/07/24,11.0
2022/07/25,192.0
2022/07/26,119.0
2022/07/27,129.0
2022/07/28,84.0
2022/07/29,78.0
2022/07/30,64.0
2022/07/31,11.0
2022/08/01,132.0
2022/08/02,82.0
2022/08/03,79.0
2022/08/04,69.0
2022/08/05,72.0
2022/08/06,39.0
2022/08/07,8.0
2022/08/08,82.0
2022/08/09,50.0
2022/08/10,52.0
2022/08/11,45.0
2022/08/12,49.0
2022/08/13,38.0
2022/08/14,7.0
2022/08/15,20.0
2022/08/16,101.0
2022/08/17,66.0
2022/08/18,43.0
2022/08/19,46.0
2022/08/20,41.0
2022/08/21,2.0
2022/08/22,80.0
2022/08/23,53.0
2022/08/24,58.0
2022/08/25,67.0
2022/08/26,53.0
2022/08/27,48.0
2022/08/28,11.0
2022/08/29,81.0
2022/08/30,51.0
2022/08/31,49.0
2022/09/01,46.0
2022/09/02,35.0
2022/09/03,42.0
2022/09/04,7.0
2022/09/05,87.0
2022/09/06,70.0
2022/09/07,69.0
2022/09/08,57.0
2022/09/09,70.0
2022/09/10,60.0
2022/09/11,21.0
2022/09/12,149.0
2022/09/13,108.0
2022/09/14,116.0
2022/09/15,104.0
2022/09/16,93.0
2022/09/17,71.0
2022/09/18,16.0
2022/09/19,140.0
2022/09/20,126.0
2022/09/21,90.0
2022/09/22,106.0
2022/09/23,95.0
2022/09/24,76.0
2022/09/25,20.0
2022/09/26,210.0
2022/09/27,149.0
2022/09/28,117.0
2022/09/29,133.0
2022/09/30,105.0
2022/10/01,74.0
2022/10/02,30.0
2022/10/03,266.0
2022/10/04,167.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
