Datas,Loiret
2021/01/02,101.0
2021/01/03,23.0
2021/01/04,265.0
2021/01/05,168.0
2021/01/06,176.0
2021/01/07,197.0
2021/01/08,184.0
2021/01/09,130.0
2021/01/10,22.0
2021/01/11,233.0
2021/01/12,212.0
2021/01/13,176.0
2021/01/14,183.0
2021/01/15,247.0
2021/01/16,130.0
2021/01/17,37.0
2021/01/18,336.0
2021/01/19,295.0
2021/01/20,250.0
2021/01/21,253.0
2021/01/22,242.0
2021/01/23,133.0
2021/01/24,31.0
2021/01/25,354.0
2021/01/26,243.0
2021/01/27,254.0
2021/01/28,232.0
2021/01/29,208.0
2021/01/30,120.0
2021/01/31,56.0
2021/02/01,300.0
2021/02/02,220.0
2021/02/03,164.0
2021/02/04,187.0
2021/02/05,198.0
2021/02/06,116.0
2021/02/07,24.0
2021/02/08,187.0
2021/02/09,206.0
2021/02/10,129.0
2021/02/11,121.0
2021/02/12,123.0
2021/02/13,84.0
2021/02/14,17.0
2021/02/15,181.0
2021/02/16,113.0
2021/02/17,132.0
2021/02/18,132.0
2021/02/19,169.0
2021/02/20,87.0
2021/02/21,19.0
2021/02/22,182.0
2021/02/23,133.0
2021/02/24,134.0
2021/02/25,176.0
2021/02/26,149.0
2021/02/27,101.0
2021/02/28,32.0
2021/03/01,160.0
2021/03/02,113.0
2021/03/03,121.0
2021/03/04,146.0
2021/03/05,157.0
2021/03/06,72.0
2021/03/07,17.0
2021/03/08,163.0
2021/03/09,156.0
2021/03/10,142.0
2021/03/11,160.0
2021/03/12,211.0
2021/03/13,164.0
2021/03/14,19.0
2021/03/15,236.0
2021/03/16,188.0
2021/03/17,208.0
2021/03/18,209.0
2021/03/19,242.0
2021/03/20,154.0
2021/03/21,32.0
2021/03/22,329.0
2021/03/23,247.0
2021/03/24,289.0
2021/03/25,297.0
2021/03/26,324.0
2021/03/27,211.0
2021/03/28,44.0
2021/03/29,391.0
2021/03/30,313.0
2021/03/31,304.0
2021/04/01,393.0
2021/04/02,307.0
2021/04/03,234.0
2021/04/04,54.0
2021/04/05,72.0
2021/04/06,429.0
2021/04/07,327.0
2021/04/08,306.0
2021/04/09,355.0
2021/04/10,249.0
2021/04/11,51.0
2021/04/12,384.0
2021/04/13,314.0
2021/04/14,299.0
2021/04/15,330.0
2021/04/16,297.0
2021/04/17,174.0
2021/04/18,45.0
2021/04/19,404.0
2021/04/20,290.0
2021/04/21,298.0
2021/04/22,308.0
2021/04/23,247.0
2021/04/24,178.0
2021/04/25,43.0
2021/04/26,334.0
2021/04/27,239.0
2021/04/28,206.0
2021/04/29,242.0
2021/04/30,275.0
2021/05/01,59.0
2021/05/02,30.0
2021/05/03,318.0
2021/05/04,250.0
2021/05/05,198.0
2021/05/06,208.0
2021/05/07,239.0
2021/05/08,49.0
2021/05/09,36.0
2021/05/10,307.0
2021/05/11,216.0
2021/05/12,224.0
2021/05/13,48.0
2021/05/14,203.0
2021/05/15,123.0
2021/05/16,25.0
2021/05/17,242.0
2021/05/18,197.0
2021/05/19,177.0
2021/05/20,152.0
2021/05/21,180.0
2021/05/22,94.0
2021/05/23,29.0
2021/05/24,33.0
2021/05/25,243.0
2021/05/26,172.0
2021/05/27,162.0
2021/05/28,167.0
2021/05/29,120.0
2021/05/30,19.0
2021/05/31,171.0
2021/06/01,106.0
2021/06/02,118.0
2021/06/03,98.0
2021/06/04,105.0
2021/06/05,56.0
2021/06/06,8.0
2021/06/07,118.0
2021/06/08,62.0
2021/06/09,49.0
2021/06/10,59.0
2021/06/11,49.0
2021/06/12,27.0
2021/06/13,3.0
2021/06/14,44.0
2021/06/15,20.0
2021/06/16,16.0
2021/06/17,29.0
2021/06/18,18.0
2021/06/19,20.0
2021/06/20,3.0
2021/06/21,29.0
2021/06/22,14.0
2021/06/23,33.0
2021/06/24,22.0
2021/06/25,21.0
2021/06/26,18.0
2021/06/27,4.0
2021/06/28,21.0
2021/06/29,23.0
2021/06/30,28.0
2021/07/01,20.0
2021/07/02,31.0
2021/07/03,19.0
2021/07/04,2.0
2021/07/05,18.0
2021/07/06,32.0
2021/07/07,22.0
2021/07/08,22.0
2021/07/09,31.0
2021/07/10,19.0
2021/07/11,10.0
2021/07/12,37.0
2021/07/13,55.0
2021/07/14,5.0
2021/07/15,63.0
2021/07/16,57.0
2021/07/17,35.0
2021/07/18,10.0
2021/07/19,91.0
2021/07/20,67.0
2021/07/21,80.0
2021/07/22,63.0
2021/07/23,101.0
2021/07/24,77.0
2021/07/25,15.0
2021/07/26,137.0
2021/07/27,97.0
2021/07/28,83.0
2021/07/29,93.0
2021/07/30,93.0
2021/07/31,68.0
2021/08/01,23.0
2021/08/02,115.0
2021/08/03,100.0
2021/08/04,98.0
2021/08/05,87.0
2021/08/06,119.0
2021/08/07,87.0
2021/08/08,30.0
2021/08/09,185.0
2021/08/10,138.0
2021/08/11,136.0
2021/08/12,137.0
2021/08/13,118.0
2021/08/14,100.0
2021/08/15,38.0
2021/08/16,179.0
2021/08/17,155.0
2021/08/18,139.0
2021/08/19,128.0
2021/08/20,132.0
2021/08/21,94.0
2021/08/22,45.0
2021/08/23,193.0
2021/08/24,141.0
2021/08/25,156.0
2021/08/26,129.0
2021/08/27,149.0
2021/08/28,73.0
2021/08/29,25.0
2021/08/30,144.0
2021/08/31,122.0
2021/09/01,118.0
2021/09/02,113.0
2021/09/03,118.0
2021/09/04,89.0
2021/09/05,36.0
2021/09/06,144.0
2021/09/07,89.0
2021/09/08,97.0
2021/09/09,92.0
2021/09/10,81.0
2021/09/11,60.0
2021/09/12,6.0
2021/09/13,99.0
2021/09/14,79.0
2021/09/15,67.0
2021/09/16,65.0
2021/09/17,55.0
2021/09/18,44.0
2021/09/19,8.0
2021/09/20,75.0
2021/09/21,37.0
2021/09/22,47.0
2021/09/23,35.0
2021/09/24,50.0
2021/09/25,37.0
2021/09/26,7.0
2021/09/27,51.0
2021/09/28,54.0
2021/09/29,54.0
2021/09/30,53.0
2021/10/01,38.0
2021/10/02,17.0
2021/10/03,4.0
2021/10/04,44.0
2021/10/05,28.0
2021/10/06,29.0
2021/10/07,53.0
2021/10/08,23.0
2021/10/09,29.0
2021/10/10,5.0
2021/10/11,50.0
2021/10/12,25.0
2021/10/13,34.0
2021/10/14,35.0
2021/10/15,22.0
2021/10/16,26.0
2021/10/17,4.0
2021/10/18,65.0
2021/10/19,42.0
2021/10/20,32.0
2021/10/21,36.0
2021/10/22,42.0
2021/10/23,36.0
2021/10/24,6.0
2021/10/25,48.0
2021/10/26,41.0
2021/10/27,72.0
2021/10/28,40.0
2021/10/29,53.0
2021/10/30,61.0
2021/10/31,14.0
2021/11/01,15.0
2021/11/02,80.0
2021/11/03,65.0
2021/11/04,49.0
2021/11/05,74.0
2021/11/06,58.0
2021/11/07,13.0
2021/11/08,106.0
2021/11/09,55.0
2021/11/10,68.0
2021/11/11,16.0
2021/11/12,134.0
2021/11/13,76.0
2021/11/14,28.0
2021/11/15,169.0
2021/11/16,147.0
2021/11/17,166.0
2021/11/18,198.0
2021/11/19,164.0
2021/11/20,150.0
2021/11/21,34.0
