Datas,Corse-du-Sud
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,4.0
2020/05/14,2.0
2020/05/15,1.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,0.0
2020/05/19,3.0
2020/05/20,1.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,2.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,1.0
2020/05/27,0.0
2020/05/28,3.0
2020/05/29,1.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,1.0
2020/06/04,1.0
2020/06/05,2.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,0.0
2020/06/10,0.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,1.0
2020/06/16,2.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,0.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,1.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,0.0
2020/07/01,2.0
2020/07/02,1.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,2.0
2020/07/11,1.0
2020/07/12,0.0
2020/07/13,4.0
2020/07/14,2.0
2020/07/15,0.0
2020/07/16,0.0
2020/07/17,1.0
2020/07/18,1.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,0.0
2020/07/22,0.0
2020/07/23,0.0
2020/07/24,0.0
2020/07/25,1.0
2020/07/26,0.0
2020/07/27,0.0
2020/07/28,0.0
2020/07/29,0.0
2020/07/30,0.0
2020/07/31,0.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,2.0
2020/08/04,2.0
2020/08/05,1.0
2020/08/06,4.0
2020/08/07,2.0
2020/08/08,0.0
2020/08/09,1.0
2020/08/10,2.0
2020/08/11,0.0
2020/08/12,2.0
2020/08/13,0.0
2020/08/14,1.0
2020/08/15,0.0
2020/08/16,0.0
2020/08/17,5.0
2020/08/18,4.0
2020/08/19,4.0
2020/08/20,3.0
2020/08/21,3.0
2020/08/22,5.0
2020/08/23,0.0
2020/08/24,20.0
2020/08/25,14.0
2020/08/26,22.0
2020/08/27,22.0
2020/08/28,23.0
2020/08/29,10.0
2020/08/30,2.0
2020/08/31,32.0
2020/09/01,43.0
2020/09/02,27.0
2020/09/03,37.0
2020/09/04,21.0
2020/09/05,12.0
2020/09/06,1.0
2020/09/07,35.0
2020/09/08,23.0
2020/09/09,25.0
2020/09/10,21.0
2020/09/11,20.0
2020/09/12,17.0
2020/09/13,2.0
2020/09/14,16.0
2020/09/15,17.0
2020/09/16,26.0
2020/09/17,18.0
2020/09/18,20.0
2020/09/19,8.0
2020/09/20,3.0
2020/09/21,40.0
2020/09/22,19.0
2020/09/23,13.0
2020/09/24,34.0
2020/09/25,14.0
2020/09/26,1.0
2020/09/27,1.0
2020/09/28,15.0
2020/09/29,13.0
2020/09/30,7.0
2020/10/01,15.0
2020/10/02,18.0
2020/10/03,2.0
2020/10/04,0.0
2020/10/05,23.0
2020/10/06,32.0
2020/10/07,18.0
2020/10/08,20.0
2020/10/09,28.0
2020/10/10,12.0
2020/10/11,2.0
2020/10/12,52.0
2020/10/13,59.0
2020/10/14,71.0
2020/10/15,73.0
2020/10/16,55.0
2020/10/17,21.0
2020/10/18,1.0
2020/10/19,61.0
2020/10/20,94.0
2020/10/21,59.0
2020/10/22,77.0
2020/10/23,102.0
2020/10/24,35.0
2020/10/25,4.0
2020/10/26,117.0
2020/10/27,125.0
2020/10/28,120.0
2020/10/29,149.0
2020/10/30,239.0
2020/10/31,38.0
2020/11/01,7.0
2020/11/02,159.0
2020/11/03,112.0
2020/11/04,96.0
2020/11/05,138.0
2020/11/06,57.0
2020/11/07,24.0
2020/11/08,2.0
2020/11/09,43.0
2020/11/10,32.0
2020/11/11,3.0
2020/11/12,39.0
2020/11/13,30.0
2020/11/14,9.0
2020/11/15,0.0
2020/11/16,31.0
2020/11/17,15.0
2020/11/18,9.0
2020/11/19,13.0
2020/11/20,8.0
2020/11/21,4.0
2020/11/22,0.0
2020/11/23,22.0
2020/11/24,5.0
2020/11/25,4.0
2020/11/26,11.0
2020/11/27,8.0
2020/11/28,7.0
2020/11/29,1.0
2020/11/30,14.0
2020/12/01,13.0
2020/12/02,4.0
2020/12/03,10.0
2020/12/04,21.0
2020/12/05,2.0
2020/12/06,1.0
2020/12/07,7.0
2020/12/08,7.0
2020/12/09,8.0
2020/12/10,0.0
2020/12/11,9.0
2020/12/12,2.0
2020/12/13,0.0
2020/12/14,4.0
2020/12/15,5.0
2020/12/16,4.0
2020/12/17,4.0
2020/12/18,2.0
2020/12/19,3.0
2020/12/20,2.0
2020/12/21,10.0
2020/12/22,2.0
2020/12/23,7.0
2020/12/24,13.0
2020/12/25,0.0
2020/12/26,19.0
2020/12/27,0.0
2020/12/28,24.0
2020/12/29,12.0
2020/12/30,18.0
2020/12/31,15.0
2021/01/01,1.0
2021/01/02,25.0
2021/01/03,3.0
2021/01/04,32.0
2021/01/05,16.0
2021/01/06,23.0
2021/01/07,9.0
2021/01/08,19.0
2021/01/09,11.0
2021/01/10,3.0
2021/01/11,24.0
2021/01/12,19.0
2021/01/13,20.0
2021/01/14,15.0
2021/01/15,17.0
2021/01/16,7.0
2021/01/17,3.0
2021/01/18,9.0
2021/01/19,22.0
2021/01/20,7.0
2021/01/21,16.0
2021/01/22,24.0
2021/01/23,7.0
2021/01/24,2.0
2021/01/25,29.0
2021/01/26,27.0
2021/01/27,12.0
2021/01/28,13.0
2021/01/29,7.0
2021/01/30,11.0
2021/01/31,2.0
2021/02/01,13.0
2021/02/02,13.0
2021/02/03,15.0
2021/02/04,11.0
2021/02/05,15.0
2021/02/06,7.0
2021/02/07,3.0
2021/02/08,17.0
2021/02/09,10.0
2021/02/10,8.0
2021/02/11,14.0
2021/02/12,10.0
2021/02/13,8.0
2021/02/14,1.0
2021/02/15,11.0
2021/02/16,13.0
2021/02/17,15.0
2021/02/18,16.0
2021/02/19,11.0
2021/02/20,13.0
2021/02/21,3.0
2021/02/22,41.0
2021/02/23,23.0
2021/02/24,18.0
2021/02/25,18.0
2021/02/26,23.0
2021/02/27,5.0
2021/02/28,1.0
2021/03/01,23.0
2021/03/02,25.0
2021/03/03,30.0
2021/03/04,28.0
2021/03/05,29.0
2021/03/06,11.0
2021/03/07,1.0
2021/03/08,34.0
2021/03/09,42.0
2021/03/10,31.0
2021/03/11,29.0
2021/03/12,32.0
2021/03/13,15.0
2021/03/14,1.0
2021/03/15,52.0
2021/03/16,23.0
2021/03/17,34.0
2021/03/18,35.0
2021/03/19,42.0
2021/03/20,28.0
2021/03/21,1.0
2021/03/22,64.0
2021/03/23,39.0
2021/03/24,45.0
2021/03/25,49.0
2021/03/26,49.0
2021/03/27,26.0
2021/03/28,4.0
2021/03/29,62.0
2021/03/30,46.0
2021/03/31,44.0
2021/04/01,51.0
2021/04/02,38.0
2021/04/03,23.0
2021/04/04,6.0
2021/04/05,5.0
2021/04/06,43.0
2021/04/07,33.0
2021/04/08,36.0
2021/04/09,47.0
2021/04/10,25.0
2021/04/11,3.0
2021/04/12,66.0
2021/04/13,48.0
2021/04/14,35.0
2021/04/15,34.0
2021/04/16,43.0
2021/04/17,16.0
2021/04/18,5.0
2021/04/19,41.0
2021/04/20,37.0
2021/04/21,32.0
2021/04/22,29.0
2021/04/23,33.0
2021/04/24,13.0
2021/04/25,3.0
2021/04/26,46.0
2021/04/27,32.0
2021/04/28,13.0
2021/04/29,19.0
2021/04/30,18.0
2021/05/01,7.0
2021/05/02,1.0
2021/05/03,27.0
2021/05/04,18.0
2021/05/05,7.0
2021/05/06,15.0
2021/05/07,14.0
2021/05/08,1.0
2021/05/09,1.0
2021/05/10,16.0
2021/05/11,7.0
2021/05/12,5.0
2021/05/13,0.0
2021/05/14,8.0
2021/05/15,5.0
2021/05/16,1.0
2021/05/17,5.0
2021/05/18,7.0
2021/05/19,9.0
2021/05/20,4.0
2021/05/21,4.0
2021/05/22,2.0
2021/05/23,0.0
2021/05/24,2.0
2021/05/25,10.0
2021/05/26,4.0
2021/05/27,3.0
2021/05/28,5.0
2021/05/29,4.0
2021/05/30,1.0
2021/05/31,11.0
