Datas,Manche
2021/06/02,48.0
2021/06/03,52.0
2021/06/04,57.0
2021/06/05,23.0
2021/06/06,3.0
2021/06/07,50.0
2021/06/08,34.0
2021/06/09,27.0
2021/06/10,23.0
2021/06/11,30.0
2021/06/12,15.0
2021/06/13,0.0
2021/06/14,18.0
2021/06/15,15.0
2021/06/16,10.0
2021/06/17,17.0
2021/06/18,23.0
2021/06/19,8.0
2021/06/20,0.0
2021/06/21,19.0
2021/06/22,10.0
2021/06/23,12.0
2021/06/24,7.0
2021/06/25,9.0
2021/06/26,5.0
2021/06/27,0.0
2021/06/28,4.0
2021/06/29,6.0
2021/06/30,11.0
2021/07/01,1.0
2021/07/02,4.0
2021/07/03,8.0
2021/07/04,0.0
2021/07/05,7.0
2021/07/06,10.0
2021/07/07,13.0
2021/07/08,11.0
2021/07/09,13.0
2021/07/10,20.0
2021/07/11,2.0
2021/07/12,41.0
2021/07/13,36.0
2021/07/14,8.0
2021/07/15,45.0
2021/07/16,42.0
2021/07/17,40.0
2021/07/18,4.0
2021/07/19,108.0
2021/07/20,52.0
2021/07/21,51.0
2021/07/22,56.0
2021/07/23,62.0
2021/07/24,36.0
2021/07/25,8.0
2021/07/26,73.0
2021/07/27,60.0
2021/07/28,59.0
2021/07/29,82.0
2021/07/30,76.0
2021/07/31,53.0
2021/08/01,16.0
2021/08/02,110.0
2021/08/03,100.0
2021/08/04,84.0
2021/08/05,83.0
2021/08/06,92.0
2021/08/07,54.0
2021/08/08,14.0
2021/08/09,140.0
2021/08/10,109.0
2021/08/11,57.0
2021/08/12,83.0
2021/08/13,81.0
2021/08/14,42.0
2021/08/15,5.0
2021/08/16,105.0
2021/08/17,85.0
2021/08/18,77.0
2021/08/19,65.0
2021/08/20,73.0
2021/08/21,38.0
2021/08/22,4.0
2021/08/23,80.0
2021/08/24,51.0
2021/08/25,49.0
2021/08/26,35.0
2021/08/27,56.0
2021/08/28,34.0
2021/08/29,3.0
2021/08/30,59.0
2021/08/31,34.0
2021/09/01,27.0
2021/09/02,41.0
2021/09/03,37.0
2021/09/04,21.0
2021/09/05,6.0
2021/09/06,25.0
2021/09/07,21.0
2021/09/08,32.0
2021/09/09,24.0
2021/09/10,21.0
2021/09/11,18.0
2021/09/12,4.0
2021/09/13,28.0
2021/09/14,21.0
2021/09/15,15.0
2021/09/16,17.0
2021/09/17,18.0
2021/09/18,10.0
2021/09/19,2.0
2021/09/20,15.0
2021/09/21,7.0
2021/09/22,19.0
2021/09/23,21.0
2021/09/24,15.0
2021/09/25,10.0
2021/09/26,0.0
2021/09/27,12.0
2021/09/28,19.0
2021/09/29,14.0
2021/09/30,11.0
2021/10/01,10.0
2021/10/02,9.0
2021/10/03,3.0
2021/10/04,17.0
2021/10/05,9.0
2021/10/06,3.0
2021/10/07,10.0
2021/10/08,5.0
2021/10/09,10.0
2021/10/10,2.0
2021/10/11,9.0
2021/10/12,8.0
2021/10/13,8.0
2021/10/14,16.0
2021/10/15,15.0
2021/10/16,13.0
2021/10/17,0.0
2021/10/18,20.0
2021/10/19,10.0
2021/10/20,14.0
2021/10/21,21.0
2021/10/22,21.0
2021/10/23,17.0
2021/10/24,1.0
2021/10/25,37.0
2021/10/26,11.0
2021/10/27,28.0
2021/10/28,23.0
2021/10/29,23.0
2021/10/30,29.0
2021/10/31,3.0
2021/11/01,6.0
2021/11/02,38.0
2021/11/03,18.0
2021/11/04,33.0
2021/11/05,40.0
2021/11/06,30.0
2021/11/07,4.0
2021/11/08,47.0
2021/11/09,38.0
2021/11/10,45.0
2021/11/11,4.0
2021/11/12,110.0
2021/11/13,62.0
2021/11/14,7.0
2021/11/15,82.0
2021/11/16,56.0
2021/11/17,68.0
2021/11/18,72.0
2021/11/19,134.0
2021/11/20,54.0
2021/11/21,10.0
2021/11/22,147.0
2021/11/23,122.0
2021/11/24,124.0
2021/11/25,173.0
2021/11/26,177.0
2021/11/27,91.0
2021/11/28,9.0
2021/11/29,204.0
2021/11/30,156.0
2021/12/01,140.0
2021/12/02,177.0
2021/12/03,173.0
2021/12/04,134.0
2021/12/05,19.0
2021/12/06,219.0
2021/12/07,198.0
2021/12/08,194.0
2021/12/09,192.0
2021/12/10,170.0
2021/12/11,135.0
2021/12/12,33.0
2021/12/13,266.0
2021/12/14,169.0
2021/12/15,165.0
2021/12/16,185.0
2021/12/17,140.0
2021/12/18,133.0
2021/12/19,33.0
2021/12/20,295.0
2021/12/21,262.0
2021/12/22,247.0
2021/12/23,322.0
2021/12/24,335.0
2021/12/25,53.0
2021/12/26,95.0
2021/12/27,846.0
2021/12/28,858.0
2021/12/29,1035.0
2021/12/30,1093.0
2021/12/31,1001.0
2022/01/01,103.0
2022/01/02,205.0
2022/01/03,1914.0
2022/01/04,1522.0
2022/01/05,1466.0
2022/01/06,1199.0
2022/01/07,1141.0
2022/01/08,879.0
2022/01/09,279.0
2022/01/10,2074.0
2022/01/11,1519.0
2022/01/12,1679.0
2022/01/13,1567.0
2022/01/14,1629.0
2022/01/15,1335.0
2022/01/16,530.0
2022/01/17,3069.0
2022/01/18,2319.0
2022/01/19,2594.0
2022/01/20,2281.0
2022/01/21,2242.0
2022/01/22,1755.0
2022/01/23,655.0
2022/01/24,3770.0
2022/01/25,2769.0
2022/01/26,2637.0
2022/01/27,2467.0
2022/01/28,2525.0
2022/01/29,1775.0
2022/01/30,603.0
2022/01/31,3641.0
2022/02/01,2405.0
2022/02/02,2139.0
2022/02/03,1807.0
2022/02/04,1635.0
2022/02/05,1122.0
2022/02/06,289.0
2022/02/07,1783.0
2022/02/08,1110.0
2022/02/09,1060.0
2022/02/10,1005.0
2022/02/11,810.0
2022/02/12,676.0
2022/02/13,234.0
2022/02/14,1244.0
2022/02/15,814.0
2022/02/16,731.0
2022/02/17,720.0
2022/02/18,676.0
2022/02/19,458.0
2022/02/20,189.0
2022/02/21,982.0
2022/02/22,554.0
2022/02/23,634.0
2022/02/24,594.0
2022/02/25,522.0
2022/02/26,420.0
2022/02/27,107.0
2022/02/28,977.0
2022/03/01,652.0
2022/03/02,747.0
2022/03/03,645.0
2022/03/04,614.0
2022/03/05,487.0
2022/03/06,153.0
2022/03/07,1054.0
2022/03/08,779.0
2022/03/09,883.0
2022/03/10,849.0
2022/03/11,817.0
2022/03/12,641.0
2022/03/13,174.0
2022/03/14,1479.0
2022/03/15,1012.0
2022/03/16,1112.0
2022/03/17,1046.0
2022/03/18,959.0
2022/03/19,786.0
2022/03/20,288.0
2022/03/21,2025.0
2022/03/22,1563.0
2022/03/23,1577.0
2022/03/24,1549.0
2022/03/25,1437.0
2022/03/26,1013.0
2022/03/27,228.0
2022/03/28,2487.0
2022/03/29,1754.0
2022/03/30,1683.0
2022/03/31,1517.0
2022/04/01,1279.0
2022/04/02,864.0
2022/04/03,205.0
2022/04/04,2125.0
2022/04/05,1469.0
2022/04/06,1467.0
2022/04/07,1398.0
2022/04/08,1293.0
2022/04/09,798.0
2022/04/10,150.0
2022/04/11,1682.0
2022/04/12,1177.0
2022/04/13,1104.0
2022/04/14,1000.0
2022/04/15,945.0
2022/04/16,611.0
2022/04/17,112.0
2022/04/18,165.0
2022/04/19,1415.0
2022/04/20,843.0
2022/04/21,669.0
2022/04/22,639.0
2022/04/23,458.0
2022/04/24,106.0
2022/04/25,819.0
2022/04/26,480.0
2022/04/27,449.0
2022/04/28,441.0
2022/04/29,366.0
2022/04/30,267.0
2022/05/01,54.0
2022/05/02,547.0
2022/05/03,377.0
2022/05/04,397.0
2022/05/05,364.0
2022/05/06,326.0
2022/05/07,211.0
2022/05/08,43.0
2022/05/09,486.0
2022/05/10,312.0
2022/05/11,260.0
2022/05/12,268.0
2022/05/13,242.0
2022/05/14,164.0
2022/05/15,29.0
2022/05/16,346.0
2022/05/17,249.0
2022/05/18,236.0
2022/05/19,195.0
2022/05/20,169.0
2022/05/21,129.0
2022/05/22,16.0
2022/05/23,235.0
2022/05/24,160.0
2022/05/25,131.0
2022/05/26,17.0
2022/05/27,184.0
2022/05/28,105.0
2022/05/29,27.0
2022/05/30,264.0
2022/05/31,144.0
2022/06/01,165.0
2022/06/02,181.0
2022/06/03,146.0
2022/06/04,112.0
2022/06/05,23.0
2022/06/06,38.0
2022/06/07,364.0
2022/06/08,250.0
2022/06/09,317.0
2022/06/10,304.0
2022/06/11,168.0
2022/06/12,41.0
2022/06/13,463.0
2022/06/14,349.0
2022/06/15,389.0
2022/06/16,334.0
2022/06/17,365.0
2022/06/18,230.0
2022/06/19,43.0
2022/06/20,659.0
2022/06/21,506.0
2022/06/22,539.0
2022/06/23,508.0
2022/06/24,564.0
2022/06/25,408.0
2022/06/26,66.0
2022/06/27,923.0
2022/06/28,733.0
2022/06/29,768.0
2022/06/30,700.0
2022/07/01,732.0
2022/07/02,537.0
2022/07/03,125.0
2022/07/04,1274.0
2022/07/05,905.0
2022/07/06,949.0
2022/07/07,786.0
2022/07/08,758.0
2022/07/09,552.0
2022/07/10,120.0
2022/07/11,1138.0
2022/07/12,693.0
2022/07/13,666.0
2022/07/14,102.0
2022/07/15,778.0
2022/07/16,402.0
2022/07/17,92.0
2022/07/18,815.0
2022/07/19,516.0
2022/07/20,459.0
2022/07/21,378.0
2022/07/22,384.0
2022/07/23,211.0
2022/07/24,51.0
2022/07/25,465.0
2022/07/26,314.0
2022/07/27,271.0
2022/07/28,233.0
2022/07/29,219.0
2022/07/30,168.0
2022/07/31,27.0
2022/08/01,321.0
2022/08/02,194.0
2022/08/03,199.0
2022/08/04,179.0
2022/08/05,160.0
2022/08/06,103.0
2022/08/07,33.0
2022/08/08,237.0
2022/08/09,164.0
2022/08/10,181.0
2022/08/11,152.0
2022/08/12,122.0
2022/08/13,82.0
2022/08/14,41.0
2022/08/15,31.0
2022/08/16,261.0
2022/08/17,107.0
2022/08/18,97.0
2022/08/19,87.0
2022/08/20,68.0
2022/08/21,29.0
2022/08/22,168.0
2022/08/23,104.0
2022/08/24,115.0
2022/08/25,110.0
2022/08/26,105.0
2022/08/27,64.0
2022/08/28,14.0
2022/08/29,194.0
2022/08/30,124.0
2022/08/31,117.0
2022/09/01,87.0
2022/09/02,137.0
2022/09/03,80.0
2022/09/04,13.0
2022/09/05,213.0
2022/09/06,172.0
2022/09/07,135.0
2022/09/08,131.0
2022/09/09,132.0
2022/09/10,116.0
2022/09/11,28.0
2022/09/12,324.0
2022/09/13,239.0
2022/09/14,270.0
2022/09/15,249.0
2022/09/16,214.0
2022/09/17,144.0
2022/09/18,34.0
2022/09/19,394.0
2022/09/20,281.0
2022/09/21,270.0
2022/09/22,306.0
2022/09/23,283.0
2022/09/24,208.0
2022/09/25,49.0
2022/09/26,526.0
2022/09/27,359.0
2022/09/28,348.0
2022/09/29,293.0
2022/09/30,247.0
2022/10/01,219.0
2022/10/02,41.0
2022/10/03,579.0
2022/10/04,415.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
