Datas,Orne
2021/01/02,59.0
2021/01/03,17.0
2021/01/04,111.0
2021/01/05,130.0
2021/01/06,94.0
2021/01/07,72.0
2021/01/08,74.0
2021/01/09,36.0
2021/01/10,18.0
2021/01/11,107.0
2021/01/12,108.0
2021/01/13,97.0
2021/01/14,109.0
2021/01/15,73.0
2021/01/16,54.0
2021/01/17,15.0
2021/01/18,122.0
2021/01/19,89.0
2021/01/20,80.0
2021/01/21,60.0
2021/01/22,90.0
2021/01/23,38.0
2021/01/24,16.0
2021/01/25,98.0
2021/01/26,93.0
2021/01/27,90.0
2021/01/28,85.0
2021/01/29,61.0
2021/01/30,42.0
2021/01/31,10.0
2021/02/01,123.0
2021/02/02,89.0
2021/02/03,61.0
2021/02/04,61.0
2021/02/05,55.0
2021/02/06,33.0
2021/02/07,6.0
2021/02/08,84.0
2021/02/09,48.0
2021/02/10,45.0
2021/02/11,31.0
2021/02/12,55.0
2021/02/13,26.0
2021/02/14,5.0
2021/02/15,34.0
2021/02/16,48.0
2021/02/17,30.0
2021/02/18,44.0
2021/02/19,61.0
2021/02/20,37.0
2021/02/21,5.0
2021/02/22,69.0
2021/02/23,47.0
2021/02/24,49.0
2021/02/25,64.0
2021/02/26,66.0
2021/02/27,36.0
2021/02/28,4.0
2021/03/01,101.0
2021/03/02,93.0
2021/03/03,56.0
2021/03/04,53.0
2021/03/05,98.0
2021/03/06,26.0
2021/03/07,10.0
2021/03/08,83.0
2021/03/09,77.0
2021/03/10,71.0
2021/03/11,83.0
2021/03/12,92.0
2021/03/13,56.0
2021/03/14,8.0
2021/03/15,126.0
2021/03/16,120.0
2021/03/17,110.0
2021/03/18,136.0
2021/03/19,112.0
2021/03/20,62.0
2021/03/21,21.0
2021/03/22,169.0
2021/03/23,182.0
2021/03/24,120.0
2021/03/25,154.0
2021/03/26,142.0
2021/03/27,87.0
2021/03/28,19.0
2021/03/29,189.0
2021/03/30,172.0
2021/03/31,132.0
2021/04/01,112.0
2021/04/02,114.0
2021/04/03,69.0
2021/04/04,28.0
2021/04/05,19.0
2021/04/06,263.0
2021/04/07,157.0
2021/04/08,148.0
2021/04/09,178.0
2021/04/10,83.0
2021/04/11,27.0
2021/04/12,203.0
2021/04/13,150.0
2021/04/14,169.0
2021/04/15,142.0
2021/04/16,134.0
2021/04/17,85.0
2021/04/18,25.0
2021/04/19,150.0
2021/04/20,133.0
2021/04/21,97.0
2021/04/22,115.0
2021/04/23,112.0
2021/04/24,84.0
2021/04/25,16.0
2021/04/26,136.0
2021/04/27,75.0
2021/04/28,75.0
2021/04/29,79.0
2021/04/30,88.0
2021/05/01,16.0
2021/05/02,12.0
2021/05/03,105.0
2021/05/04,78.0
2021/05/05,64.0
2021/05/06,92.0
2021/05/07,101.0
2021/05/08,10.0
2021/05/09,17.0
2021/05/10,128.0
2021/05/11,95.0
2021/05/12,103.0
2021/05/13,21.0
2021/05/14,95.0
2021/05/15,50.0
2021/05/16,9.0
2021/05/17,108.0
2021/05/18,104.0
2021/05/19,76.0
2021/05/20,68.0
2021/05/21,72.0
2021/05/22,44.0
2021/05/23,11.0
2021/05/24,16.0
2021/05/25,122.0
2021/05/26,72.0
2021/05/27,63.0
2021/05/28,60.0
2021/05/29,25.0
2021/05/30,8.0
2021/05/31,63.0
2021/06/01,30.0
2021/06/02,31.0
2021/06/03,36.0
2021/06/04,40.0
2021/06/05,14.0
2021/06/06,5.0
2021/06/07,32.0
2021/06/08,20.0
2021/06/09,19.0
2021/06/10,11.0
2021/06/11,16.0
2021/06/12,10.0
2021/06/13,3.0
2021/06/14,18.0
2021/06/15,24.0
2021/06/16,12.0
2021/06/17,7.0
2021/06/18,7.0
2021/06/19,3.0
2021/06/20,2.0
2021/06/21,7.0
2021/06/22,10.0
2021/06/23,1.0
2021/06/24,5.0
2021/06/25,11.0
2021/06/26,6.0
2021/06/27,1.0
2021/06/28,7.0
2021/06/29,6.0
2021/06/30,4.0
2021/07/01,5.0
2021/07/02,5.0
2021/07/03,5.0
2021/07/04,1.0
2021/07/05,4.0
2021/07/06,3.0
2021/07/07,2.0
2021/07/08,7.0
2021/07/09,6.0
2021/07/10,2.0
2021/07/11,0.0
2021/07/12,12.0
2021/07/13,18.0
2021/07/14,4.0
2021/07/15,25.0
2021/07/16,30.0
2021/07/17,25.0
2021/07/18,4.0
2021/07/19,29.0
2021/07/20,36.0
2021/07/21,25.0
2021/07/22,17.0
2021/07/23,22.0
2021/07/24,20.0
2021/07/25,11.0
2021/07/26,43.0
2021/07/27,38.0
2021/07/28,24.0
2021/07/29,20.0
2021/07/30,28.0
2021/07/31,17.0
2021/08/01,3.0
2021/08/02,47.0
2021/08/03,44.0
2021/08/04,18.0
2021/08/05,41.0
2021/08/06,34.0
2021/08/07,49.0
2021/08/08,3.0
2021/08/09,53.0
2021/08/10,46.0
2021/08/11,39.0
2021/08/12,54.0
2021/08/13,39.0
2021/08/14,24.0
2021/08/15,8.0
2021/08/16,42.0
2021/08/17,34.0
2021/08/18,34.0
2021/08/19,36.0
2021/08/20,22.0
2021/08/21,31.0
2021/08/22,3.0
2021/08/23,41.0
2021/08/24,37.0
2021/08/25,27.0
2021/08/26,32.0
2021/08/27,29.0
2021/08/28,27.0
2021/08/29,6.0
2021/08/30,43.0
2021/08/31,20.0
2021/09/01,19.0
2021/09/02,17.0
2021/09/03,22.0
2021/09/04,13.0
2021/09/05,3.0
2021/09/06,29.0
2021/09/07,17.0
2021/09/08,14.0
2021/09/09,9.0
2021/09/10,16.0
2021/09/11,6.0
2021/09/12,0.0
2021/09/13,9.0
2021/09/14,15.0
2021/09/15,8.0
2021/09/16,10.0
2021/09/17,11.0
2021/09/18,9.0
2021/09/19,4.0
2021/09/20,16.0
2021/09/21,8.0
2021/09/22,8.0
2021/09/23,1.0
2021/09/24,6.0
2021/09/25,8.0
2021/09/26,1.0
2021/09/27,13.0
2021/09/28,8.0
2021/09/29,13.0
2021/09/30,9.0
2021/10/01,9.0
2021/10/02,3.0
2021/10/03,1.0
2021/10/04,16.0
2021/10/05,18.0
2021/10/06,12.0
2021/10/07,14.0
2021/10/08,12.0
2021/10/09,11.0
2021/10/10,2.0
2021/10/11,29.0
2021/10/12,15.0
2021/10/13,4.0
2021/10/14,8.0
2021/10/15,8.0
2021/10/16,10.0
2021/10/17,2.0
2021/10/18,12.0
2021/10/19,6.0
2021/10/20,7.0
2021/10/21,10.0
2021/10/22,11.0
2021/10/23,12.0
2021/10/24,1.0
2021/10/25,14.0
2021/10/26,16.0
2021/10/27,15.0
2021/10/28,18.0
2021/10/29,27.0
2021/10/30,6.0
2021/10/31,2.0
2021/11/01,7.0
2021/11/02,23.0
2021/11/03,22.0
2021/11/04,27.0
2021/11/05,24.0
2021/11/06,34.0
2021/11/07,1.0
2021/11/08,43.0
2021/11/09,26.0
2021/11/10,49.0
2021/11/11,5.0
2021/11/12,78.0
2021/11/13,47.0
2021/11/14,14.0
2021/11/15,110.0
2021/11/16,62.0
2021/11/17,69.0
2021/11/18,98.0
2021/11/19,102.0
2021/11/20,68.0
2021/11/21,14.0
2021/11/22,99.0
2021/11/23,84.0
2021/11/24,144.0
2021/11/25,117.0
2021/11/26,148.0
2021/11/27,62.0
2021/11/28,8.0
2021/11/29,141.0
2021/11/30,113.0
2021/12/01,142.0
2021/12/02,169.0
2021/12/03,147.0
2021/12/04,76.0
2021/12/05,19.0
2021/12/06,142.0
2021/12/07,115.0
2021/12/08,131.0
2021/12/09,139.0
2021/12/10,129.0
2021/12/11,71.0
2021/12/12,5.0
2021/12/13,184.0
2021/12/14,127.0
2021/12/15,153.0
2021/12/16,139.0
2021/12/17,136.0
2021/12/18,98.0
2021/12/19,21.0
2021/12/20,170.0
2021/12/21,150.0
2021/12/22,180.0
2021/12/23,211.0
2021/12/24,211.0
2021/12/25,31.0
2021/12/26,35.0
2021/12/27,460.0
2021/12/28,443.0
2021/12/29,427.0
2021/12/30,576.0
2021/12/31,501.0
2022/01/01,62.0
2022/01/02,130.0
2022/01/03,1070.0
2022/01/04,936.0
2022/01/05,809.0
2022/01/06,720.0
2022/01/07,714.0
2022/01/08,446.0
2022/01/09,142.0
2022/01/10,1268.0
2022/01/11,931.0
2022/01/12,987.0
2022/01/13,884.0
2022/01/14,961.0
2022/01/15,693.0
2022/01/16,217.0
2022/01/17,1627.0
2022/01/18,1358.0
2022/01/19,1301.0
2022/01/20,1323.0
2022/01/21,1210.0
2022/01/22,850.0
2022/01/23,283.0
2022/01/24,1754.0
2022/01/25,1251.0
2022/01/26,1253.0
2022/01/27,1181.0
2022/01/28,1129.0
2022/01/29,818.0
2022/01/30,185.0
2022/01/31,1730.0
2022/02/01,1118.0
2022/02/02,994.0
2022/02/03,839.0
2022/02/04,755.0
2022/02/05,543.0
2022/02/06,123.0
2022/02/07,812.0
2022/02/08,565.0
2022/02/09,516.0
2022/02/10,431.0
2022/02/11,450.0
2022/02/12,325.0
2022/02/13,83.0
2022/02/14,615.0
2022/02/15,376.0
2022/02/16,346.0
2022/02/17,282.0
2022/02/18,313.0
2022/02/19,199.0
2022/02/20,77.0
2022/02/21,431.0
2022/02/22,220.0
2022/02/23,252.0
2022/02/24,247.0
2022/02/25,216.0
2022/02/26,150.0
2022/02/27,43.0
2022/02/28,396.0
2022/03/01,261.0
2022/03/02,290.0
2022/03/03,289.0
2022/03/04,236.0
2022/03/05,205.0
2022/03/06,74.0
2022/03/07,486.0
2022/03/08,321.0
