Datas,Cher
2021/01/02,76.0
2021/01/03,18.0
2021/01/04,193.0
2021/01/05,172.0
2021/01/06,134.0
2021/01/07,132.0
2021/01/08,117.0
2021/01/09,42.0
2021/01/10,10.0
2021/01/11,119.0
2021/01/12,106.0
2021/01/13,129.0
2021/01/14,104.0
2021/01/15,111.0
2021/01/16,43.0
2021/01/17,10.0
2021/01/18,140.0
2021/01/19,105.0
2021/01/20,128.0
2021/01/21,97.0
2021/01/22,77.0
2021/01/23,45.0
2021/01/24,16.0
2021/01/25,107.0
2021/01/26,76.0
2021/01/27,67.0
2021/01/28,118.0
2021/01/29,101.0
2021/01/30,35.0
2021/01/31,3.0
2021/02/01,86.0
2021/02/02,75.0
2021/02/03,82.0
2021/02/04,94.0
2021/02/05,88.0
2021/02/06,20.0
2021/02/07,6.0
2021/02/08,63.0
2021/02/09,49.0
2021/02/10,71.0
2021/02/11,49.0
2021/02/12,65.0
2021/02/13,36.0
2021/02/14,5.0
2021/02/15,81.0
2021/02/16,49.0
2021/02/17,73.0
2021/02/18,45.0
2021/02/19,63.0
2021/02/20,38.0
2021/02/21,6.0
2021/02/22,93.0
2021/02/23,54.0
2021/02/24,86.0
2021/02/25,61.0
2021/02/26,77.0
2021/02/27,28.0
2021/02/28,9.0
2021/03/01,86.0
2021/03/02,51.0
2021/03/03,57.0
2021/03/04,50.0
2021/03/05,115.0
2021/03/06,39.0
2021/03/07,5.0
2021/03/08,59.0
2021/03/09,71.0
2021/03/10,69.0
2021/03/11,53.0
2021/03/12,67.0
2021/03/13,37.0
2021/03/14,3.0
2021/03/15,93.0
2021/03/16,84.0
2021/03/17,113.0
2021/03/18,92.0
2021/03/19,87.0
2021/03/20,58.0
2021/03/21,6.0
2021/03/22,156.0
2021/03/23,143.0
2021/03/24,149.0
2021/03/25,176.0
2021/03/26,126.0
2021/03/27,65.0
2021/03/28,7.0
2021/03/29,150.0
2021/03/30,189.0
2021/03/31,176.0
2021/04/01,122.0
2021/04/02,153.0
2021/04/03,81.0
2021/04/04,15.0
2021/04/05,14.0
2021/04/06,158.0
2021/04/07,125.0
2021/04/08,120.0
2021/04/09,138.0
2021/04/10,64.0
2021/04/11,13.0
2021/04/12,157.0
2021/04/13,114.0
2021/04/14,112.0
2021/04/15,156.0
2021/04/16,132.0
2021/04/17,54.0
2021/04/18,11.0
2021/04/19,161.0
2021/04/20,117.0
2021/04/21,103.0
2021/04/22,113.0
2021/04/23,102.0
2021/04/24,56.0
2021/04/25,5.0
2021/04/26,136.0
2021/04/27,100.0
2021/04/28,69.0
2021/04/29,79.0
2021/04/30,91.0
2021/05/01,7.0
2021/05/02,11.0
2021/05/03,98.0
2021/05/04,61.0
2021/05/05,64.0
2021/05/06,44.0
2021/05/07,63.0
2021/05/08,1.0
2021/05/09,7.0
2021/05/10,73.0
2021/05/11,46.0
2021/05/12,58.0
2021/05/13,7.0
2021/05/14,45.0
2021/05/15,26.0
2021/05/16,4.0
2021/05/17,57.0
2021/05/18,30.0
2021/05/19,33.0
2021/05/20,32.0
2021/05/21,37.0
2021/05/22,14.0
2021/05/23,8.0
2021/05/24,4.0
2021/05/25,51.0
2021/05/26,37.0
2021/05/27,39.0
2021/05/28,43.0
2021/05/29,18.0
2021/05/30,2.0
2021/05/31,49.0
2021/06/01,31.0
2021/06/02,31.0
2021/06/03,27.0
2021/06/04,19.0
2021/06/05,5.0
2021/06/06,2.0
2021/06/07,30.0
2021/06/08,16.0
2021/06/09,16.0
2021/06/10,11.0
2021/06/11,10.0
2021/06/12,9.0
2021/06/13,2.0
2021/06/14,6.0
2021/06/15,7.0
2021/06/16,5.0
2021/06/17,8.0
2021/06/18,12.0
2021/06/19,4.0
2021/06/20,0.0
2021/06/21,5.0
2021/06/22,5.0
2021/06/23,4.0
2021/06/24,4.0
2021/06/25,2.0
2021/06/26,3.0
2021/06/27,0.0
2021/06/28,4.0
2021/06/29,1.0
2021/06/30,5.0
2021/07/01,2.0
2021/07/02,3.0
2021/07/03,3.0
2021/07/04,1.0
2021/07/05,8.0
2021/07/06,5.0
2021/07/07,2.0
2021/07/08,9.0
2021/07/09,16.0
2021/07/10,9.0
2021/07/11,0.0
2021/07/12,13.0
2021/07/13,19.0
2021/07/14,3.0
2021/07/15,23.0
2021/07/16,24.0
2021/07/17,13.0
2021/07/18,2.0
2021/07/19,20.0
2021/07/20,21.0
2021/07/21,32.0
2021/07/22,32.0
2021/07/23,27.0
2021/07/24,30.0
2021/07/25,1.0
2021/07/26,54.0
2021/07/27,40.0
2021/07/28,36.0
2021/07/29,41.0
2021/07/30,38.0
2021/07/31,25.0
2021/08/01,3.0
2021/08/02,41.0
2021/08/03,35.0
2021/08/04,43.0
2021/08/05,48.0
2021/08/06,71.0
2021/08/07,33.0
2021/08/08,7.0
2021/08/09,55.0
2021/08/10,50.0
2021/08/11,64.0
2021/08/12,64.0
2021/08/13,57.0
2021/08/14,38.0
2021/08/15,6.0
2021/08/16,58.0
2021/08/17,52.0
2021/08/18,57.0
2021/08/19,63.0
2021/08/20,66.0
2021/08/21,51.0
2021/08/22,5.0
2021/08/23,77.0
2021/08/24,69.0
2021/08/25,78.0
2021/08/26,65.0
2021/08/27,52.0
2021/08/28,35.0
2021/08/29,2.0
2021/08/30,53.0
2021/08/31,57.0
2021/09/01,45.0
2021/09/02,37.0
2021/09/03,44.0
2021/09/04,21.0
2021/09/05,3.0
2021/09/06,48.0
2021/09/07,42.0
2021/09/08,29.0
2021/09/09,30.0
2021/09/10,32.0
2021/09/11,28.0
2021/09/12,2.0
2021/09/13,28.0
2021/09/14,42.0
2021/09/15,38.0
2021/09/16,42.0
2021/09/17,24.0
2021/09/18,21.0
2021/09/19,5.0
2021/09/20,32.0
2021/09/21,17.0
2021/09/22,29.0
2021/09/23,27.0
2021/09/24,19.0
2021/09/25,29.0
2021/09/26,0.0
2021/09/27,56.0
2021/09/28,18.0
2021/09/29,13.0
2021/09/30,18.0
2021/10/01,18.0
2021/10/02,12.0
2021/10/03,0.0
2021/10/04,23.0
2021/10/05,34.0
2021/10/06,23.0
2021/10/07,21.0
2021/10/08,23.0
2021/10/09,14.0
2021/10/10,0.0
2021/10/11,27.0
2021/10/12,19.0
2021/10/13,19.0
2021/10/14,24.0
2021/10/15,33.0
2021/10/16,12.0
2021/10/17,1.0
2021/10/18,23.0
2021/10/19,24.0
2021/10/20,27.0
2021/10/21,33.0
2021/10/22,15.0
2021/10/23,19.0
2021/10/24,0.0
2021/10/25,29.0
2021/10/26,25.0
2021/10/27,32.0
2021/10/28,25.0
2021/10/29,29.0
2021/10/30,25.0
2021/10/31,3.0
2021/11/01,6.0
2021/11/02,54.0
2021/11/03,31.0
2021/11/04,26.0
2021/11/05,46.0
2021/11/06,29.0
2021/11/07,8.0
2021/11/08,68.0
2021/11/09,57.0
2021/11/10,55.0
2021/11/11,14.0
2021/11/12,98.0
2021/11/13,60.0
2021/11/14,9.0
2021/11/15,100.0
2021/11/16,80.0
2021/11/17,95.0
2021/11/18,98.0
2021/11/19,98.0
2021/11/20,72.0
2021/11/21,8.0
2021/11/22,154.0
2021/11/23,111.0
2021/11/24,138.0
2021/11/25,103.0
2021/11/26,108.0
2021/11/27,81.0
2021/11/28,14.0
2021/11/29,192.0
2021/11/30,206.0
2021/12/01,147.0
2021/12/02,183.0
2021/12/03,190.0
2021/12/04,143.0
2021/12/05,12.0
2021/12/06,238.0
2021/12/07,178.0
2021/12/08,163.0
2021/12/09,212.0
2021/12/10,191.0
2021/12/11,94.0
2021/12/12,12.0
2021/12/13,200.0
2021/12/14,178.0
2021/12/15,142.0
2021/12/16,166.0
2021/12/17,177.0
2021/12/18,94.0
2021/12/19,11.0
2021/12/20,179.0
2021/12/21,207.0
2021/12/22,213.0
2021/12/23,253.0
2021/12/24,265.0
2021/12/25,26.0
2021/12/26,33.0
2021/12/27,523.0
2021/12/28,510.0
2021/12/29,614.0
2021/12/30,713.0
2021/12/31,604.0
2022/01/01,40.0
2022/01/02,82.0
2022/01/03,1044.0
2022/01/04,942.0
2022/01/05,898.0
2022/01/06,861.0
2022/01/07,829.0
2022/01/08,542.0
2022/01/09,114.0
2022/01/10,1171.0
2022/01/11,971.0
2022/01/12,1017.0
2022/01/13,899.0
2022/01/14,978.0
2022/01/15,757.0
2022/01/16,196.0
2022/01/17,1477.0
2022/01/18,1361.0
2022/01/19,1399.0
2022/01/20,1313.0
2022/01/21,1325.0
2022/01/22,965.0
2022/01/23,218.0
2022/01/24,1960.0
2022/01/25,1617.0
2022/01/26,1482.0
2022/01/27,1477.0
2022/01/28,1385.0
2022/01/29,947.0
2022/01/30,234.0
2022/01/31,1952.0
2022/02/01,1357.0
2022/02/02,1245.0
2022/02/03,1100.0
2022/02/04,931.0
2022/02/05,579.0
2022/02/06,120.0
2022/02/07,971.0
2022/02/08,663.0
2022/02/09,594.0
2022/02/10,519.0
2022/02/11,472.0
2022/02/12,314.0
2022/02/13,71.0
2022/02/14,608.0
2022/02/15,402.0
2022/02/16,388.0
2022/02/17,386.0
2022/02/18,319.0
2022/02/19,260.0
2022/02/20,45.0
2022/02/21,465.0
2022/02/22,269.0
2022/02/23,306.0
2022/02/24,264.0
2022/02/25,233.0
2022/02/26,185.0
2022/02/27,37.0
2022/02/28,386.0
2022/03/01,235.0
2022/03/02,281.0
2022/03/03,226.0
2022/03/04,263.0
2022/03/05,186.0
2022/03/06,44.0
2022/03/07,469.0
2022/03/08,310.0
2022/03/09,326.0
2022/03/10,284.0
2022/03/11,336.0
2022/03/12,264.0
2022/03/13,66.0
2022/03/14,585.0
2022/03/15,494.0
2022/03/16,497.0
2022/03/17,539.0
2022/03/18,493.0
2022/03/19,369.0
2022/03/20,71.0
2022/03/21,905.0
2022/03/22,654.0
2022/03/23,656.0
2022/03/24,683.0
2022/03/25,611.0
2022/03/26,490.0
2022/03/27,60.0
2022/03/28,1061.0
2022/03/29,740.0
2022/03/30,706.0
2022/03/31,637.0
2022/04/01,574.0
2022/04/02,425.0
2022/04/03,61.0
2022/04/04,908.0
2022/04/05,746.0
2022/04/06,656.0
2022/04/07,673.0
2022/04/08,651.0
2022/04/09,420.0
2022/04/10,87.0
2022/04/11,849.0
2022/04/12,677.0
2022/04/13,651.0
2022/04/14,535.0
2022/04/15,527.0
2022/04/16,379.0
2022/04/17,50.0
2022/04/18,82.0
2022/04/19,669.0
2022/04/20,478.0
2022/04/21,364.0
2022/04/22,367.0
2022/04/23,293.0
2022/04/24,42.0
2022/04/25,538.0
2022/04/26,421.0
2022/04/27,369.0
2022/04/28,293.0
2022/04/29,318.0
2022/04/30,225.0
2022/05/01,35.0
2022/05/02,418.0
2022/05/03,281.0
2022/05/04,248.0
2022/05/05,210.0
2022/05/06,211.0
2022/05/07,129.0
2022/05/08,28.0
2022/05/09,325.0
2022/05/10,206.0
2022/05/11,143.0
2022/05/12,131.0
2022/05/13,147.0
2022/05/14,95.0
2022/05/15,15.0
2022/05/16,199.0
2022/05/17,131.0
2022/05/18,99.0
2022/05/19,98.0
2022/05/20,90.0
2022/05/21,64.0
2022/05/22,4.0
2022/05/23,109.0
2022/05/24,63.0
2022/05/25,43.0
2022/05/26,7.0
2022/05/27,73.0
2022/05/28,73.0
2022/05/29,6.0
2022/05/30,106.0
2022/05/31,103.0
2022/06/01,95.0
2022/06/02,86.0
2022/06/03,98.0
2022/06/04,67.0
2022/06/05,11.0
2022/06/06,20.0
2022/06/07,211.0
2022/06/08,108.0
2022/06/09,116.0
2022/06/10,122.0
2022/06/11,81.0
2022/06/12,18.0
2022/06/13,220.0
2022/06/14,142.0
2022/06/15,153.0
2022/06/16,131.0
2022/06/17,147.0
2022/06/18,108.0
2022/06/19,16.0
2022/06/20,287.0
2022/06/21,275.0
2022/06/22,240.0
2022/06/23,265.0
2022/06/24,272.0
2022/06/25,223.0
2022/06/26,36.0
2022/06/27,515.0
2022/06/28,453.0
2022/06/29,462.0
2022/06/30,470.0
2022/07/01,437.0
2022/07/02,345.0
2022/07/03,53.0
2022/07/04,899.0
2022/07/05,650.0
2022/07/06,613.0
2022/07/07,496.0
2022/07/08,516.0
2022/07/09,401.0
2022/07/10,46.0
2022/07/11,712.0
2022/07/12,477.0
2022/07/13,435.0
2022/07/14,26.0
2022/07/15,510.0
2022/07/16,282.0
2022/07/17,49.0
2022/07/18,584.0
2022/07/19,359.0
2022/07/20,257.0
2022/07/21,222.0
2022/07/22,287.0
2022/07/23,209.0
2022/07/24,27.0
2022/07/25,303.0
2022/07/26,200.0
2022/07/27,197.0
2022/07/28,162.0
2022/07/29,164.0
2022/07/30,93.0
2022/07/31,17.0
2022/08/01,216.0
2022/08/02,131.0
2022/08/03,106.0
2022/08/04,93.0
2022/08/05,109.0
2022/08/06,64.0
2022/08/07,9.0
2022/08/08,140.0
2022/08/09,107.0
2022/08/10,86.0
2022/08/11,112.0
2022/08/12,71.0
2022/08/13,63.0
2022/08/14,15.0
2022/08/15,20.0
2022/08/16,158.0
2022/08/17,78.0
2022/08/18,62.0
2022/08/19,80.0
2022/08/20,56.0
2022/08/21,8.0
2022/08/22,104.0
2022/08/23,75.0
2022/08/24,79.0
2022/08/25,62.0
2022/08/26,75.0
2022/08/27,47.0
2022/08/28,13.0
2022/08/29,123.0
2022/08/30,58.0
2022/08/31,66.0
2022/09/01,56.0
2022/09/02,58.0
2022/09/03,66.0
2022/09/04,12.0
2022/09/05,151.0
2022/09/06,92.0
2022/09/07,110.0
2022/09/08,91.0
2022/09/09,89.0
2022/09/10,108.0
2022/09/11,27.0
2022/09/12,268.0
2022/09/13,221.0
2022/09/14,167.0
2022/09/15,167.0
2022/09/16,139.0
2022/09/17,118.0
2022/09/18,21.0
2022/09/19,288.0
2022/09/20,215.0
2022/09/21,235.0
2022/09/22,195.0
2022/09/23,199.0
2022/09/24,169.0
2022/09/25,33.0
2022/09/26,408.0
2022/09/27,281.0
2022/09/28,267.0
2022/09/29,257.0
2022/09/30,238.0
2022/10/01,159.0
2022/10/02,22.0
2022/10/03,438.0
2022/10/04,333.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
