Datas,Haute-Corse
2021/06/02,4.0
2021/06/03,3.0
2021/06/04,8.0
2021/06/05,4.0
2021/06/06,0.0
2021/06/07,8.0
2021/06/08,2.0
2021/06/09,0.0
2021/06/10,2.0
2021/06/11,4.0
2021/06/12,5.0
2021/06/13,0.0
2021/06/14,5.0
2021/06/15,1.0
2021/06/16,1.0
2021/06/17,1.0
2021/06/18,2.0
2021/06/19,0.0
2021/06/20,0.0
2021/06/21,4.0
2021/06/22,0.0
2021/06/23,2.0
2021/06/24,1.0
2021/06/25,0.0
2021/06/26,0.0
2021/06/27,0.0
2021/06/28,2.0
2021/06/29,1.0
2021/06/30,0.0
2021/07/01,0.0
2021/07/02,4.0
2021/07/03,6.0
2021/07/04,0.0
2021/07/05,10.0
2021/07/06,4.0
2021/07/07,10.0
2021/07/08,13.0
2021/07/09,75.0
2021/07/10,22.0
2021/07/11,6.0
2021/07/12,121.0
2021/07/13,93.0
2021/07/14,21.0
2021/07/15,119.0
2021/07/16,105.0
2021/07/17,91.0
2021/07/18,31.0
2021/07/19,250.0
2021/07/20,213.0
2021/07/21,247.0
2021/07/22,179.0
2021/07/23,266.0
2021/07/24,141.0
2021/07/25,30.0
2021/07/26,405.0
2021/07/27,242.0
2021/07/28,242.0
2021/07/29,236.0
2021/07/30,252.0
2021/07/31,132.0
2021/08/01,28.0
2021/08/02,325.0
2021/08/03,183.0
2021/08/04,193.0
2021/08/05,148.0
2021/08/06,186.0
2021/08/07,91.0
2021/08/08,33.0
2021/08/09,232.0
2021/08/10,160.0
2021/08/11,148.0
2021/08/12,125.0
2021/08/13,150.0
2021/08/14,72.0
2021/08/15,31.0
2021/08/16,170.0
2021/08/17,86.0
2021/08/18,115.0
2021/08/19,95.0
2021/08/20,85.0
2021/08/21,51.0
2021/08/22,16.0
2021/08/23,111.0
2021/08/24,63.0
2021/08/25,69.0
2021/08/26,52.0
2021/08/27,74.0
2021/08/28,33.0
2021/08/29,5.0
2021/08/30,80.0
2021/08/31,37.0
2021/09/01,53.0
2021/09/02,42.0
2021/09/03,39.0
2021/09/04,21.0
2021/09/05,10.0
2021/09/06,56.0
2021/09/07,33.0
2021/09/08,32.0
2021/09/09,38.0
2021/09/10,35.0
2021/09/11,31.0
2021/09/12,1.0
2021/09/13,40.0
2021/09/14,19.0
2021/09/15,26.0
2021/09/16,26.0
2021/09/17,26.0
2021/09/18,5.0
2021/09/19,5.0
2021/09/20,21.0
2021/09/21,14.0
2021/09/22,14.0
2021/09/23,13.0
2021/09/24,4.0
2021/09/25,11.0
2021/09/26,8.0
2021/09/27,19.0
2021/09/28,12.0
2021/09/29,6.0
2021/09/30,6.0
2021/10/01,4.0
2021/10/02,5.0
2021/10/03,1.0
2021/10/04,15.0
2021/10/05,5.0
2021/10/06,11.0
2021/10/07,5.0
2021/10/08,7.0
2021/10/09,3.0
2021/10/10,2.0
2021/10/11,11.0
2021/10/12,19.0
2021/10/13,13.0
2021/10/14,12.0
2021/10/15,13.0
2021/10/16,7.0
2021/10/17,0.0
2021/10/18,14.0
2021/10/19,15.0
2021/10/20,12.0
2021/10/21,19.0
2021/10/22,18.0
2021/10/23,11.0
2021/10/24,5.0
2021/10/25,31.0
2021/10/26,25.0
2021/10/27,27.0
2021/10/28,28.0
2021/10/29,43.0
2021/10/30,33.0
2021/10/31,3.0
2021/11/01,16.0
2021/11/02,58.0
2021/11/03,34.0
2021/11/04,33.0
2021/11/05,34.0
2021/11/06,39.0
2021/11/07,11.0
2021/11/08,86.0
2021/11/09,55.0
2021/11/10,69.0
2021/11/11,10.0
2021/11/12,108.0
2021/11/13,41.0
2021/11/14,14.0
2021/11/15,135.0
2021/11/16,89.0
2021/11/17,112.0
2021/11/18,103.0
2021/11/19,116.0
2021/11/20,70.0
2021/11/21,20.0
2021/11/22,185.0
2021/11/23,129.0
2021/11/24,124.0
2021/11/25,117.0
2021/11/26,136.0
2021/11/27,86.0
2021/11/28,28.0
2021/11/29,234.0
2021/11/30,108.0
2021/12/01,150.0
2021/12/02,143.0
2021/12/03,158.0
2021/12/04,95.0
2021/12/05,38.0
2021/12/06,281.0
2021/12/07,170.0
2021/12/08,241.0
2021/12/09,178.0
2021/12/10,210.0
2021/12/11,115.0
2021/12/12,51.0
2021/12/13,270.0
2021/12/14,181.0
2021/12/15,179.0
2021/12/16,158.0
2021/12/17,217.0
2021/12/18,103.0
2021/12/19,32.0
2021/12/20,284.0
2021/12/21,233.0
2021/12/22,293.0
2021/12/23,300.0
2021/12/24,382.0
2021/12/25,73.0
2021/12/26,134.0
2021/12/27,976.0
2021/12/28,826.0
2021/12/29,817.0
2021/12/30,868.0
2021/12/31,813.0
2022/01/01,108.0
2022/01/02,214.0
2022/01/03,1531.0
2022/01/04,932.0
2022/01/05,873.0
2022/01/06,670.0
2022/01/07,613.0
2022/01/08,426.0
2022/01/09,140.0
2022/01/10,951.0
2022/01/11,575.0
2022/01/12,602.0
2022/01/13,487.0
2022/01/14,572.0
2022/01/15,460.0
2022/01/16,176.0
2022/01/17,984.0
2022/01/18,721.0
2022/01/19,663.0
2022/01/20,655.0
2022/01/21,642.0
2022/01/22,460.0
2022/01/23,162.0
2022/01/24,997.0
2022/01/25,623.0
2022/01/26,623.0
2022/01/27,603.0
2022/01/28,678.0
2022/01/29,452.0
2022/01/30,190.0
2022/01/31,962.0
2022/02/01,571.0
2022/02/02,537.0
2022/02/03,454.0
2022/02/04,448.0
2022/02/05,353.0
2022/02/06,110.0
2022/02/07,623.0
2022/02/08,468.0
2022/02/09,389.0
2022/02/10,330.0
2022/02/11,301.0
2022/02/12,239.0
2022/02/13,95.0
2022/02/14,482.0
2022/02/15,290.0
2022/02/16,293.0
2022/02/17,216.0
2022/02/18,218.0
2022/02/19,155.0
2022/02/20,48.0
2022/02/21,275.0
2022/02/22,205.0
2022/02/23,184.0
2022/02/24,135.0
2022/02/25,142.0
2022/02/26,116.0
2022/02/27,38.0
2022/02/28,219.0
2022/03/01,146.0
2022/03/02,130.0
2022/03/03,143.0
2022/03/04,125.0
2022/03/05,99.0
2022/03/06,49.0
2022/03/07,237.0
2022/03/08,179.0
2022/03/09,213.0
2022/03/10,183.0
2022/03/11,201.0
2022/03/12,193.0
2022/03/13,72.0
2022/03/14,437.0
2022/03/15,317.0
2022/03/16,329.0
2022/03/17,377.0
2022/03/18,408.0
2022/03/19,276.0
2022/03/20,115.0
2022/03/21,734.0
2022/03/22,492.0
2022/03/23,512.0
2022/03/24,474.0
2022/03/25,463.0
2022/03/26,369.0
2022/03/27,129.0
2022/03/28,933.0
2022/03/29,561.0
2022/03/30,565.0
2022/03/31,541.0
2022/04/01,522.0
2022/04/02,295.0
2022/04/03,98.0
2022/04/04,803.0
2022/04/05,499.0
2022/04/06,465.0
2022/04/07,452.0
2022/04/08,475.0
2022/04/09,319.0
2022/04/10,101.0
2022/04/11,689.0
2022/04/12,438.0
2022/04/13,437.0
2022/04/14,404.0
2022/04/15,420.0
2022/04/16,260.0
2022/04/17,90.0
2022/04/18,121.0
2022/04/19,624.0
2022/04/20,380.0
2022/04/21,326.0
2022/04/22,316.0
2022/04/23,213.0
2022/04/24,54.0
2022/04/25,403.0
2022/04/26,280.0
2022/04/27,204.0
2022/04/28,207.0
2022/04/29,186.0
2022/04/30,106.0
2022/05/01,22.0
2022/05/02,225.0
2022/05/03,133.0
2022/05/04,135.0
2022/05/05,108.0
2022/05/06,125.0
2022/05/07,70.0
2022/05/08,27.0
2022/05/09,199.0
2022/05/10,116.0
2022/05/11,88.0
2022/05/12,91.0
2022/05/13,92.0
2022/05/14,78.0
2022/05/15,25.0
2022/05/16,123.0
2022/05/17,67.0
2022/05/18,75.0
2022/05/19,73.0
2022/05/20,64.0
2022/05/21,41.0
2022/05/22,12.0
2022/05/23,98.0
2022/05/24,43.0
2022/05/25,40.0
2022/05/26,13.0
2022/05/27,57.0
2022/05/28,34.0
2022/05/29,15.0
2022/05/30,84.0
2022/05/31,52.0
2022/06/01,52.0
2022/06/02,38.0
2022/06/03,52.0
2022/06/04,35.0
2022/06/05,23.0
2022/06/06,33.0
2022/06/07,131.0
2022/06/08,88.0
2022/06/09,84.0
2022/06/10,80.0
2022/06/11,54.0
2022/06/12,9.0
2022/06/13,158.0
2022/06/14,110.0
2022/06/15,125.0
2022/06/16,123.0
2022/06/17,164.0
2022/06/18,99.0
2022/06/19,42.0
2022/06/20,279.0
2022/06/21,177.0
2022/06/22,228.0
2022/06/23,194.0
2022/06/24,234.0
2022/06/25,192.0
2022/06/26,60.0
2022/06/27,449.0
2022/06/28,323.0
2022/06/29,347.0
2022/06/30,312.0
2022/07/01,316.0
2022/07/02,272.0
2022/07/03,96.0
2022/07/04,620.0
2022/07/05,390.0
2022/07/06,387.0
2022/07/07,363.0
2022/07/08,347.0
2022/07/09,233.0
2022/07/10,79.0
2022/07/11,546.0
2022/07/12,372.0
2022/07/13,338.0
2022/07/14,72.0
2022/07/15,434.0
2022/07/16,210.0
2022/07/17,65.0
2022/07/18,471.0
2022/07/19,316.0
2022/07/20,225.0
2022/07/21,273.0
2022/07/22,260.0
2022/07/23,178.0
2022/07/24,40.0
2022/07/25,383.0
2022/07/26,281.0
2022/07/27,233.0
2022/07/28,224.0
2022/07/29,175.0
2022/07/30,133.0
2022/07/31,47.0
2022/08/01,331.0
2022/08/02,166.0
2022/08/03,199.0
2022/08/04,186.0
2022/08/05,123.0
2022/08/06,105.0
2022/08/07,22.0
2022/08/08,213.0
2022/08/09,160.0
2022/08/10,120.0
2022/08/11,105.0
2022/08/12,97.0
2022/08/13,58.0
2022/08/14,27.0
2022/08/15,26.0
2022/08/16,171.0
2022/08/17,105.0
2022/08/18,69.0
2022/08/19,78.0
2022/08/20,70.0
2022/08/21,24.0
2022/08/22,137.0
2022/08/23,79.0
2022/08/24,63.0
2022/08/25,72.0
2022/08/26,78.0
2022/08/27,30.0
2022/08/28,23.0
2022/08/29,95.0
2022/08/30,53.0
2022/08/31,56.0
2022/09/01,44.0
2022/09/02,53.0
2022/09/03,25.0
2022/09/04,14.0
2022/09/05,55.0
2022/09/06,42.0
2022/09/07,52.0
2022/09/08,32.0
2022/09/09,49.0
2022/09/10,32.0
2022/09/11,6.0
2022/09/12,92.0
2022/09/13,60.0
2022/09/14,69.0
2022/09/15,39.0
2022/09/16,43.0
2022/09/17,32.0
2022/09/18,15.0
2022/09/19,91.0
2022/09/20,57.0
2022/09/21,60.0
2022/09/22,61.0
2022/09/23,51.0
2022/09/24,28.0
2022/09/25,12.0
2022/09/26,94.0
2022/09/27,72.0
2022/09/28,86.0
2022/09/29,65.0
2022/09/30,63.0
2022/10/01,44.0
2022/10/02,13.0
2022/10/03,164.0
2022/10/04,137.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
