Datas,Bouches-du-Rhône
2020/12/29,804.0
2020/12/30,810.0
2020/12/31,679.0
2021/01/01,80.0
2021/01/02,537.0
2021/01/03,132.0
2021/01/04,1181.0
2021/01/05,929.0
2021/01/06,768.0
2021/01/07,773.0
2021/01/08,844.0
2021/01/09,371.0
2021/01/10,108.0
2021/01/11,1343.0
2021/01/12,977.0
2021/01/13,928.0
2021/01/14,936.0
2021/01/15,950.0
2021/01/16,524.0
2021/01/17,209.0
2021/01/18,1562.0
2021/01/19,1097.0
2021/01/20,1111.0
2021/01/21,1231.0
2021/01/22,1298.0
2021/01/23,617.0
2021/01/24,218.0
2021/01/25,1604.0
2021/01/26,1125.0
2021/01/27,1081.0
2021/01/28,1244.0
2021/01/29,1184.0
2021/01/30,559.0
2021/01/31,213.0
2021/02/01,1700.0
2021/02/02,1281.0
2021/02/03,1133.0
2021/02/04,1230.0
2021/02/05,1058.0
2021/02/06,555.0
2021/02/07,182.0
2021/02/08,1424.0
2021/02/09,1094.0
2021/02/10,924.0
2021/02/11,887.0
2021/02/12,904.0
2021/02/13,416.0
2021/02/14,136.0
2021/02/15,1255.0
2021/02/16,992.0
2021/02/17,844.0
2021/02/18,964.0
2021/02/19,963.0
2021/02/20,405.0
2021/02/21,154.0
2021/02/22,1276.0
2021/02/23,954.0
2021/02/24,765.0
2021/02/25,846.0
2021/02/26,880.0
2021/02/27,437.0
2021/02/28,133.0
2021/03/01,1117.0
2021/03/02,799.0
2021/03/03,754.0
2021/03/04,758.0
2021/03/05,874.0
2021/03/06,457.0
2021/03/07,150.0
2021/03/08,1276.0
2021/03/09,840.0
2021/03/10,844.0
2021/03/11,863.0
2021/03/12,964.0
2021/03/13,464.0
2021/03/14,145.0
2021/03/15,1281.0
2021/03/16,927.0
2021/03/17,930.0
2021/03/18,986.0
2021/03/19,1079.0
2021/03/20,568.0
2021/03/21,171.0
2021/03/22,1603.0
2021/03/23,1276.0
2021/03/24,1344.0
2021/03/25,1355.0
2021/03/26,1471.0
2021/03/27,873.0
2021/03/28,234.0
2021/03/29,2111.0
2021/03/30,1709.0
2021/03/31,1588.0
2021/04/01,1549.0
2021/04/02,1756.0
2021/04/03,894.0
2021/04/04,271.0
2021/04/05,461.0
2021/04/06,2132.0
2021/04/07,1473.0
2021/04/08,1326.0
2021/04/09,1561.0
2021/04/10,898.0
2021/04/11,287.0
2021/04/12,2019.0
2021/04/13,1379.0
2021/04/14,1293.0
2021/04/15,1322.0
2021/04/16,1458.0
2021/04/17,769.0
2021/04/18,283.0
2021/04/19,1965.0
2021/04/20,1321.0
2021/04/21,1308.0
2021/04/22,1237.0
2021/04/23,1228.0
2021/04/24,707.0
2021/04/25,239.0
2021/04/26,1495.0
2021/04/27,1118.0
2021/04/28,780.0
2021/04/29,688.0
2021/04/30,821.0
2021/05/01,115.0
2021/05/02,165.0
2021/05/03,1017.0
2021/05/04,696.0
2021/05/05,511.0
2021/05/06,513.0
2021/05/07,539.0
2021/05/08,126.0
2021/05/09,110.0
2021/05/10,634.0
2021/05/11,409.0
2021/05/12,433.0
2021/05/13,83.0
2021/05/14,457.0
2021/05/15,219.0
2021/05/16,81.0
2021/05/17,456.0
2021/05/18,402.0
2021/05/19,341.0
2021/05/20,322.0
2021/05/21,365.0
2021/05/22,199.0
2021/05/23,71.0
2021/05/24,133.0
2021/05/25,466.0
2021/05/26,316.0
2021/05/27,296.0
2021/05/28,274.0
2021/05/29,186.0
2021/05/30,61.0
2021/05/31,345.0
2021/06/01,206.0
2021/06/02,231.0
2021/06/03,183.0
2021/06/04,211.0
2021/06/05,95.0
2021/06/06,48.0
2021/06/07,207.0
2021/06/08,131.0
2021/06/09,119.0
2021/06/10,116.0
2021/06/11,117.0
2021/06/12,47.0
2021/06/13,16.0
2021/06/14,114.0
2021/06/15,77.0
2021/06/16,53.0
2021/06/17,88.0
2021/06/18,68.0
2021/06/19,34.0
2021/06/20,19.0
2021/06/21,74.0
2021/06/22,44.0
2021/06/23,60.0
2021/06/24,43.0
2021/06/25,52.0
2021/06/26,33.0
2021/06/27,13.0
2021/06/28,96.0
2021/06/29,90.0
2021/06/30,98.0
2021/07/01,78.0
2021/07/02,124.0
2021/07/03,72.0
2021/07/04,43.0
2021/07/05,164.0
2021/07/06,168.0
2021/07/07,187.0
2021/07/08,186.0
2021/07/09,211.0
2021/07/10,140.0
2021/07/11,76.0
2021/07/12,409.0
2021/07/13,472.0
2021/07/14,171.0
2021/07/15,785.0
2021/07/16,753.0
2021/07/17,620.0
2021/07/18,324.0
2021/07/19,1534.0
2021/07/20,1345.0
2021/07/21,1483.0
2021/07/22,1302.0
2021/07/23,1622.0
2021/07/24,1195.0
2021/07/25,488.0
2021/07/26,2549.0
2021/07/27,1961.0
2021/07/28,1991.0
2021/07/29,1920.0
2021/07/30,1975.0
2021/07/31,1410.0
2021/08/01,583.0
2021/08/02,3116.0
2021/08/03,2179.0
2021/08/04,2172.0
2021/08/05,2227.0
2021/08/06,2118.0
2021/08/07,1601.0
2021/08/08,659.0
2021/08/09,3089.0
2021/08/10,2317.0
2021/08/11,2251.0
2021/08/12,2227.0
2021/08/13,2185.0
2021/08/14,1629.0
2021/08/15,629.0
2021/08/16,3116.0
2021/08/17,2215.0
2021/08/18,1985.0
2021/08/19,2043.0
2021/08/20,2198.0
2021/08/21,1512.0
2021/08/22,715.0
2021/08/23,2968.0
2021/08/24,2037.0
2021/08/25,1937.0
2021/08/26,1843.0
2021/08/27,1767.0
2021/08/28,1075.0
2021/08/29,520.0
2021/08/30,2427.0
2021/08/31,1634.0
2021/09/01,1603.0
2021/09/02,1312.0
2021/09/03,1341.0
2021/09/04,906.0
2021/09/05,402.0
2021/09/06,1600.0
2021/09/07,1132.0
2021/09/08,1031.0
2021/09/09,1096.0
2021/09/10,937.0
2021/09/11,587.0
2021/09/12,291.0
2021/09/13,1239.0
2021/09/14,818.0
2021/09/15,743.0
2021/09/16,648.0
2021/09/17,663.0
2021/09/18,388.0
2021/09/19,182.0
2021/09/20,692.0
2021/09/21,474.0
2021/09/22,486.0
2021/09/23,432.0
2021/09/24,434.0
2021/09/25,304.0
2021/09/26,96.0
2021/09/27,577.0
2021/09/28,398.0
2021/09/29,380.0
2021/09/30,318.0
2021/10/01,337.0
2021/10/02,228.0
2021/10/03,106.0
2021/10/04,376.0
2021/10/05,293.0
2021/10/06,276.0
2021/10/07,304.0
2021/10/08,290.0
2021/10/09,251.0
2021/10/10,98.0
2021/10/11,494.0
2021/10/12,343.0
2021/10/13,380.0
2021/10/14,423.0
2021/10/15,252.0
2021/10/16,181.0
2021/10/17,74.0
2021/10/18,351.0
2021/10/19,282.0
2021/10/20,341.0
2021/10/21,328.0
2021/10/22,368.0
2021/10/23,229.0
2021/10/24,85.0
2021/10/25,453.0
2021/10/26,319.0
2021/10/27,326.0
2021/10/28,303.0
2021/10/29,384.0
2021/10/30,222.0
2021/10/31,112.0
2021/11/01,149.0
2021/11/02,578.0
2021/11/03,447.0
2021/11/04,398.0
2021/11/05,445.0
2021/11/06,311.0
2021/11/07,116.0
2021/11/08,675.0
2021/11/09,453.0
2021/11/10,577.0
2021/11/11,208.0
2021/11/12,855.0
2021/11/13,486.0
2021/11/14,219.0
2021/11/15,1173.0
2021/11/16,854.0
2021/11/17,927.0
2021/11/18,901.0
2021/11/19,1052.0
2021/11/20,775.0
2021/11/21,252.0
2021/11/22,1877.0
2021/11/23,1530.0
2021/11/24,1610.0
2021/11/25,1537.0
2021/11/26,1631.0
2021/11/27,1175.0
2021/11/28,463.0
2021/11/29,2582.0
2021/11/30,1947.0
2021/12/01,2009.0
2021/12/02,2162.0
2021/12/03,2138.0
2021/12/04,1533.0
2021/12/05,566.0
2021/12/06,3350.0
2021/12/07,2648.0
2021/12/08,2622.0
2021/12/09,2596.0
2021/12/10,2600.0
2021/12/11,1679.0
2021/12/12,649.0
2021/12/13,3989.0
2021/12/14,2925.0
2021/12/15,3026.0
2021/12/16,2817.0
2021/12/17,2859.0
2021/12/18,2093.0
2021/12/19,826.0
2021/12/20,4273.0
2021/12/21,3598.0
2021/12/22,3962.0
2021/12/23,4391.0
2021/12/24,4215.0
2021/12/25,956.0
2021/12/26,1675.0
2021/12/27,8195.0
2021/12/28,6610.0
2021/12/29,7083.0
2021/12/30,7096.0
2021/12/31,6475.0
2022/01/01,1343.0
2022/01/02,2783.0
2022/01/03,13481.0
2022/01/04,9976.0
2022/01/05,8998.0
2022/01/06,8657.0
2022/01/07,8496.0
2022/01/08,6031.0
2022/01/09,2789.0
2022/01/10,13819.0
2022/01/11,10156.0
2022/01/12,10807.0
2022/01/13,9950.0
2022/01/14,10644.0
2022/01/15,8260.0
2022/01/16,3923.0
2022/01/17,17756.0
2022/01/18,13582.0
2022/01/19,13930.0
2022/01/20,12992.0
2022/01/21,12295.0
2022/01/22,9236.0
2022/01/23,4060.0
2022/01/24,18429.0
2022/01/25,12730.0
2022/01/26,12087.0
2022/01/27,10623.0
2022/01/28,9689.0
2022/01/29,7139.0
2022/01/30,3094.0
2022/01/31,12991.0
2022/02/01,8073.0
2022/02/02,8057.0
2022/02/03,6694.0
2022/02/04,6121.0
2022/02/05,4324.0
2022/02/06,1670.0
2022/02/07,6724.0
2022/02/08,4379.0
2022/02/09,4216.0
2022/02/10,3755.0
2022/02/11,3507.0
2022/02/12,2571.0
2022/02/13,1099.0
2022/02/14,4206.0
2022/02/15,2671.0
2022/02/16,2604.0
2022/02/17,2255.0
2022/02/18,2280.0
2022/02/19,1663.0
2022/02/20,781.0
2022/02/21,3113.0
2022/02/22,2080.0
2022/02/23,1953.0
2022/02/24,1765.0
2022/02/25,1758.0
2022/02/26,1326.0
2022/02/27,541.0
2022/02/28,2665.0
2022/03/01,1883.0
2022/03/02,2054.0
2022/03/03,1800.0
2022/03/04,1715.0
2022/03/05,1400.0
2022/03/06,598.0
2022/03/07,3064.0
2022/03/08,2060.0
2022/03/09,2321.0
2022/03/10,2193.0
2022/03/11,2370.0
2022/03/12,1812.0
2022/03/13,816.0
2022/03/14,4151.0
2022/03/15,2946.0
2022/03/16,3105.0
2022/03/17,2905.0
2022/03/18,2915.0
2022/03/19,2299.0
2022/03/20,905.0
2022/03/21,5378.0
2022/03/22,3794.0
2022/03/23,4204.0
2022/03/24,3912.0
2022/03/25,3841.0
2022/03/26,2946.0
2022/03/27,1133.0
2022/03/28,6685.0
2022/03/29,4550.0
2022/03/30,4593.0
2022/03/31,4163.0
2022/04/01,4005.0
2022/04/02,2873.0
2022/04/03,1092.0
2022/04/04,6288.0
2022/04/05,4371.0
2022/04/06,4683.0
2022/04/07,4282.0
2022/04/08,4224.0
2022/04/09,3064.0
2022/04/10,1006.0
2022/04/11,5828.0
2022/04/12,3943.0
2022/04/13,3848.0
2022/04/14,3710.0
2022/04/15,3553.0
2022/04/16,2586.0
2022/04/17,826.0
2022/04/18,1058.0
2022/04/19,4816.0
2022/04/20,2988.0
2022/04/21,2554.0
2022/04/22,2406.0
2022/04/23,1555.0
2022/04/24,629.0
2022/04/25,3233.0
2022/04/26,1998.0
2022/04/27,1837.0
2022/04/28,1667.0
2022/04/29,1468.0
2022/04/30,1102.0
2022/05/01,299.0
2022/05/02,2110.0
2022/05/03,1334.0
2022/05/04,1371.0
2022/05/05,1180.0
2022/05/06,1232.0
2022/05/07,851.0
2022/05/08,283.0
2022/05/09,1826.0
2022/05/10,1225.0
2022/05/11,1160.0
2022/05/12,1102.0
2022/05/13,952.0
2022/05/14,700.0
2022/05/15,245.0
2022/05/16,1476.0
2022/05/17,896.0
2022/05/18,831.0
2022/05/19,745.0
2022/05/20,697.0
2022/05/21,444.0
2022/05/22,173.0
2022/05/23,985.0
2022/05/24,600.0
2022/05/25,596.0
2022/05/26,150.0
2022/05/27,610.0
2022/05/28,374.0
2022/05/29,154.0
2022/05/30,943.0
2022/05/31,640.0
2022/06/01,639.0
2022/06/02,617.0
2022/06/03,619.0
2022/06/04,476.0
2022/06/05,178.0
2022/06/06,328.0
2022/06/07,1174.0
2022/06/08,889.0
2022/06/09,835.0
2022/06/10,790.0
2022/06/11,600.0
2022/06/12,264.0
2022/06/13,1629.0
2022/06/14,1336.0
2022/06/15,1384.0
2022/06/16,1375.0
2022/06/17,1486.0
2022/06/18,1116.0
2022/06/19,482.0
2022/06/20,2946.0
2022/06/21,2326.0
2022/06/22,2397.0
2022/06/23,2464.0
2022/06/24,2563.0
2022/06/25,2095.0
2022/06/26,762.0
2022/06/27,4956.0
2022/06/28,3744.0
2022/06/29,3921.0
2022/06/30,3691.0
2022/07/01,3653.0
2022/07/02,2750.0
2022/07/03,1121.0
2022/07/04,6355.0
2022/07/05,4293.0
2022/07/06,4790.0
2022/07/07,4251.0
2022/07/08,3929.0
2022/07/09,2898.0
2022/07/10,1168.0
2022/07/11,6330.0
2022/07/12,4250.0
2022/07/13,4060.0
2022/07/14,998.0
2022/07/15,4319.0
2022/07/16,2381.0
2022/07/17,941.0
2022/07/18,4773.0
2022/07/19,2940.0
2022/07/20,2736.0
2022/07/21,2425.0
2022/07/22,2330.0
2022/07/23,1701.0
2022/07/24,648.0
2022/07/25,3340.0
2022/07/26,2148.0
2022/07/27,2017.0
2022/07/28,1722.0
2022/07/29,1668.0
2022/07/30,1212.0
2022/07/31,383.0
2022/08/01,2190.0
2022/08/02,1466.0
2022/08/03,1439.0
2022/08/04,1281.0
2022/08/05,1278.0
2022/08/06,829.0
2022/08/07,320.0
2022/08/08,1669.0
